道具ID	道具名称ID	道具描述ID	道具图标	道具类型	道具的背包位置	道具品级	使用类型	资源ID	道具使用值	是否可以合成	合成需求和目标	是否可以叠加	是否可以出售	是否为战魂经验	战魂经验	卡片经验	徽章经验	秘籍经验	道具出售价格	道具金币价格	道具钻石价格	道具荣誉价格	道具试练币价格	道具公会币价格	觉醒碎片价格	来源
4010020	Item_ItemNameId_4010020	Item_ItemExplainId_4010020	Icon_Tscl1_540	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	100	
4010021	Item_ItemNameId_4010021	Item_ItemExplainId_4010021	Icon_Tscl1_542	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	100	
4010022	Item_ItemNameId_4010022	Item_ItemExplainId_4010022	Icon_Tscl1_544	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	100	
4010023	Item_ItemNameId_4010023	Item_ItemExplainId_4010023	Icon_Tscl1_546	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	100	
4010024	Item_ItemNameId_4010024	Item_ItemExplainId_4010024	Icon_Tscl1_548	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	210	
4010025	Item_ItemNameId_4010025	Item_ItemExplainId_4010025	Icon_Tscl1_550	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	210	
4010026	Item_ItemNameId_4010026	Item_ItemExplainId_4010026	Icon_Tscl1_552	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	210	
4010027	Item_ItemNameId_4010027	Item_ItemExplainId_4010027	Icon_Tscl1_554	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	210	
4010028	Item_ItemNameId_4010028	Item_ItemExplainId_4010028	Icon_Tscl1_556	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	100	
4011001	Item_ItemNameId_4011001	Item_ItemExplainId_4011001	Icon_Tscl1_029	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	
4011002	Item_ItemNameId_4011002	Item_ItemExplainId_4011002	Icon_Tscl1_030	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	
4011003	Item_ItemNameId_4011003	Item_ItemExplainId_4011003	Icon_Tscl1_031	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	
4011004	Item_ItemNameId_4011004	Item_ItemExplainId_4011004	Icon_Tscl1_032	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	
4011005	Item_ItemNameId_4011005	Item_ItemExplainId_4011005	Icon_Tscl1_033	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	
4011006	Item_ItemNameId_4011006	Item_ItemExplainId_4011006	Icon_Tscl1_034	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	
4011007	Item_ItemNameId_4011007	Item_ItemExplainId_4011007	Icon_Tscl1_035	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	
4011008	Item_ItemNameId_4011008	Item_ItemExplainId_4011008	Icon_Tscl1_036	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	
4011009	Item_ItemNameId_4011009	Item_ItemExplainId_4011009	Icon_Tscl1_037	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	
4011010	Item_ItemNameId_4011010	Item_ItemExplainId_4011010	Icon_Tscl1_038	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	
4011011	Item_ItemNameId_4011011	Item_ItemExplainId_4011011	Icon_Tscl1_039	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	
4011012	Item_ItemNameId_4011012	Item_ItemExplainId_4011012	Icon_Tscl1_040	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	
4011013	Item_ItemNameId_4011013	Item_ItemExplainId_4011013	Icon_Tscl1_041	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	
4011014	Item_ItemNameId_4011014	Item_ItemExplainId_4011014	Icon_Tscl1_042	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	
4020000	Item_ItemNameId_4020000	Item_ItemExplainId_4020000	Icon_Tscl1_043	2	2	5	0	0	0	0		1	1	0	0	0	0	0	100	5000	5	0	0	15	0	1:0
4020001	Item_ItemNameId_4020001	Item_ItemExplainId_4020001	Icon_Tscl1_044	2	2	2	0	0	0	0		1	1	1	2	0	0	0	100	1600	6	0	0	10	0	1:10101,1:10203,1:10204,1:10303,1:10304,1:10405,1:10406,1:10407,1:10408,1:10805,1:10806,1:10807
4020002	Item_ItemNameId_4020002	Item_ItemExplainId_4020002	Icon_Tscl1_045	2	2	2	0	0	0	0		1	1	1	2	0	0	0	100	1600	6	0	0	10	0	1:10102,1:10205,1:10206,1:10305,1:10306,1:10402,1:10403,1:10404,1:10407,1:10408,1:10808,1:10809,1:10810
4020003	Item_ItemNameId_4020003	Item_ItemExplainId_4020003	Icon_Tscl1_046	2	2	2	0	0	0	0		1	1	1	2	0	0	0	100	1600	6	0	0	10	0	1:10103,1:10207,1:10208,1:10307,1:10308,1:10403,1:10404,1:10405,1:10406,1:10801,1:10802,1:10803,1:10804
4020004	Item_ItemNameId_4020004	Item_ItemExplainId_4020004	Icon_Tscl1_047	2	2	2	0	0	0	0		1	1	1	2	0	0	0	100	2400	6	0	0	10	0	1:10403,1:10404,1:10502,1:10503,1:10504,1:10605,1:10606,1:10607,1:10608,1:10609,1:10610,1:10708,1:10709,1:10710,1:11005,1:11006,1:11007
4020005	Item_ItemNameId_4020005	Item_ItemExplainId_4020005	Icon_Tscl1_048	2	2	2	0	0	0	0		1	1	1	2	0	0	0	100	2400	6	0	0	10	0	1:10405,1:10406,1:10508,1:10509,1:10510,1:10601,1:10602,1:10603,1:10604,1:10608,1:10609,1:10610,1:10705,1:10706,1:10707,1:11008,1:11009,1:11010
4020006	Item_ItemNameId_4020006	Item_ItemExplainId_4020006	Icon_Tscl1_049	2	2	2	0	0	0	0		1	1	1	2	0	0	0	100	2400	6	0	0	10	0	1:10407,1:10408,1:10505,1:10506,1:10507,1:10601,1:10602,1:10603,1:10604,1:10605,1:10606,1:10607,1:10701,1:10702,1:10703,1:10704,1:11001,1:11002,1:11003,1:11004
4020007	Item_ItemNameId_4020007	Item_ItemExplainId_4020007	Icon_Tscl1_050	2	2	5	0	0	0	0		1	1	1	3	0	0	0	100	4000	6	0	0	10	0	1:10601,1:10602,1:10603,1:10604,1:10701,1:10702,1:10703,1:10704,1:10808,1:10809,1:10810,1:10908,1:10909,1:10910,1:11205,1:11206,1:11207
4020008	Item_ItemNameId_4020008	Item_ItemExplainId_4020008	Icon_Tscl1_051	2	2	5	0	0	0	0		1	1	1	3	0	0	0	100	4000	6	0	0	10	0	1:10605,1:10606,1:10607,1:10708,1:10709,1:10710,1:10801,1:10802,1:10803,1:10804,1:10905,1:10906,1:10907,1:11208,1:11209,1:11210
4020009	Item_ItemNameId_4020009	Item_ItemExplainId_4020009	Icon_Tscl1_052	2	2	5	0	0	0	0		1	1	1	3	0	0	0	100	4000	6	0	0	10	0	1:10608,1:10609,1:10610,1:10705,1:10706,1:10707,1:10805,1:10806,1:10807,1:10901,1:10902,1:10903,1:10904,1:11201,1:11202,1:11203,1:11204
4020010	Item_ItemNameId_4020010	Item_ItemExplainId_4020010	Icon_Tscl1_053	2	2	5	0	0	0	0		1	1	1	3	0	0	0	100	6400	7	0	0	10	0	1:10801,1:10802,1:10803,1:10804,1:10901,1:10902,1:10903,1:10904,1:11008,1:11009,1:11010,1:11108,1:11109,1:11110,1:11405,1:11406,1:11407
4020011	Item_ItemNameId_4020011	Item_ItemExplainId_4020011	Icon_Tscl1_054	2	2	5	0	0	0	0		1	1	1	3	0	0	0	100	6400	7	0	0	10	0	1:10805,1:10806,1:10807,1:10908,1:10909,1:10910,1:11001,1:11002,1:11003,1:11004,1:11105,1:11106,1:11107,1:11408,1:11409,1:11410
4020012	Item_ItemNameId_4020012	Item_ItemExplainId_4020012	Icon_Tscl1_055	2	2	5	0	0	0	0		1	1	1	3	0	0	0	100	6400	7	0	0	10	0	1:10808,1:10809,1:10810,1:10905,1:10906,1:10907,1:11005,1:11006,1:11007,1:11101,1:11102,1:11103,1:11104,1:11401,1:11402,1:11403,1:11404
4020013	Item_ItemNameId_4020013	Item_ItemExplainId_4020013	Icon_Tscl1_056	2	2	5	0	0	0	0		1	1	1	3	0	0	0	100	8000	8	0	0	10	0	1:11001,1:11002,1:11003,1:11004,1:11101,1:11102,1:11103,1:11104,1:11605,1:11606,1:11607
4020014	Item_ItemNameId_4020014	Item_ItemExplainId_4020014	Icon_Tscl1_057	2	2	5	0	0	0	0		1	1	1	3	0	0	0	100	8000	8	0	0	10	0	1:11005,1:11006,1:11007,1:11108,1:11109,1:11110,1:11608,1:11609,1:11610
4020015	Item_ItemNameId_4020015	Item_ItemExplainId_4020015	Icon_Tscl1_058	2	2	5	0	0	0	0		1	1	1	3	0	0	0	100	8000	8	0	0	10	0	1:11008,1:11009,1:11010,1:11105,1:11106,1:11107,1:11601,1:11602,1:11603,1:11604
4020016	Item_ItemNameId_4020016	Item_ItemExplainId_4020016	Icon_Tscl1_059	2	2	9	0	0	0	0		1	1	1	4	0	0	0	100	9600	9	0	0	10	0	1:11201,1:11202,1:11203,1:11204,1:11301,1:11302,1:11303,1:11304,1:11805,1:11806,1:11807
4020017	Item_ItemNameId_4020017	Item_ItemExplainId_4020017	Icon_Tscl1_060	2	2	9	0	0	0	0		1	1	1	4	0	0	0	100	9600	9	0	0	10	0	1:11205,1:11206,1:11207,1:11305,1:11306,1:11307,1:11808,1:11809,1:11810
4020018	Item_ItemNameId_4020018	Item_ItemExplainId_4020018	Icon_Tscl1_061	2	2	9	0	0	0	0		1	1	1	4	0	0	0	100	9600	9	0	0	10	0	1:11208,1:11209,1:11210,1:11308,1:11309,1:11310,1:11801,1:11802,1:11803,1:11804
4020019	Item_ItemNameId_4020019	Item_ItemExplainId_4020019	Icon_Tscl1_062	2	2	9	0	0	0	0		1	1	1	4	0	0	0	100	12000	10	0	0	10	0	1:11401,1:11402,1:11403,1:11404,1:11501,1:11502,1:11503,1:11504,1:12005,1:12006,1:12007,1:12005,1:12006,1:12007
4020020	Item_ItemNameId_4020020	Item_ItemExplainId_4020020	Icon_Tscl1_063	2	2	9	0	0	0	0		1	1	1	4	0	0	0	100	12000	10	0	0	10	0	1:11405,1:11406,1:11407,1:11505,1:11506,1:11507,1:12008,1:12009,1:12010,1:12008,1:12009,1:12010
4020021	Item_ItemNameId_4020021	Item_ItemExplainId_4020021	Icon_Tscl1_064	2	2	9	0	0	0	0		1	1	1	4	0	0	0	100	12000	10	0	0	10	0	1:11408,1:11409,1:11410,1:11508,1:11509,1:11510,1:12001,1:12002,1:12003,1:12004,1:12001,1:12002,1:12003,1:12004
4020022	Item_ItemNameId_4020022	Item_ItemExplainId_4020022	Icon_Tscl1_065	2	2	9	0	0	0	0		1	1	1	4	0	0	0	100	14400	11	0	0	10	0	1:11601,1:11602,1:11603,1:11604,1:11701,1:11702,1:11703,1:11704
4020023	Item_ItemNameId_4020023	Item_ItemExplainId_4020023	Icon_Tscl1_066	2	2	9	0	0	0	0		1	1	1	4	0	0	0	100	14400	11	0	0	10	0	1:11605,1:11606,1:11607,1:11705,1:11706,1:11707
4020024	Item_ItemNameId_4020024	Item_ItemExplainId_4020024	Icon_Tscl1_067	2	2	9	0	0	0	0		1	1	1	4	0	0	0	100	14400	11	0	0	10	0	1:11608,1:11609,1:11610,1:11708,1:11709,1:11710
4020025	Item_ItemNameId_4020025	Item_ItemExplainId_4020025	Icon_Tscl1_068	2	2	9	0	0	0	0		1	1	1	4	0	0	0	100	16000	12	0	0	10	0	1:11801,1:11802,1:11803,1:11804
4020026	Item_ItemNameId_4020026	Item_ItemExplainId_4020026	Icon_Tscl1_069	2	2	9	0	0	0	0		1	1	1	4	0	0	0	100	16000	12	0	0	10	0	1:11805,1:11806,1:11807
4020027	Item_ItemNameId_4020027	Item_ItemExplainId_4020027	Icon_Tscl1_070	2	2	9	0	0	0	0		1	1	1	4	0	0	0	100	16000	12	0	0	10	0	1:11808,1:11809,1:11810
4020028	Item_ItemNameId_4020028	Item_ItemExplainId_4020028	Icon_Tscl1_071	2	2	14	0	0	0	0		1	1	1	5	0	0	0	100	17600	13	0	0	10	0	1:11901,1:11902,1:11903,1:11904
4020029	Item_ItemNameId_4020029	Item_ItemExplainId_4020029	Icon_Tscl1_072	2	2	14	0	0	0	0		1	1	1	5	0	0	0	100	17600	13	0	0	10	0	1:11905,1:11906,1:11907
4020030	Item_ItemNameId_4020030	Item_ItemExplainId_4020030	Icon_Tscl1_073	2	2	14	0	0	0	0		1	1	1	5	0	0	0	100	17600	13	0	0	10	0	1:11908,1:11909,1:11910
4020031	Item_ItemNameId_4020031	Item_ItemExplainId_4020031	Icon_Tscl1_074	2	2	14	0	0	0	0		1	1	1	5	0	0	0	100	20800	14	0	0	10	0	1:12001,1:12002,1:12003,1:12004,1:12001,1:12002,1:12003,1:12004
4020032	Item_ItemNameId_4020032	Item_ItemExplainId_4020032	Icon_Tscl1_075	2	2	14	0	0	0	0		1	1	1	5	0	0	0	100	20800	14	0	0	10	0	1:12005,1:12006,1:12007,1:12005,1:12006,1:12007
4020033	Item_ItemNameId_4020033	Item_ItemExplainId_4020033	Icon_Tscl1_076	2	2	14	0	0	0	0		1	1	1	5	0	0	0	100	20800	14	0	0	10	0	1:12008,1:12009,1:12010,1:12008,1:12009,1:12010
4020034	Item_ItemNameId_4020034	Item_ItemExplainId_4020034	Icon_Tscl1_077	2	2	14	0	0	0	0		1	1	1	5	0	0	0	100	20800	15	0	0	10	0	1:10101,1:10201
4020035	Item_ItemNameId_4020035	Item_ItemExplainId_4020035	Icon_Tscl1_078	2	2	14	0	0	0	0		1	1	1	5	0	0	0	100	20800	15	0	0	10	0	1:10101,1:10201
4020036	Item_ItemNameId_4020036	Item_ItemExplainId_4020036	Icon_Tscl1_079	2	2	14	0	0	0	0		1	1	1	5	0	0	0	100	20800	15	0	0	10	0	1:10101,1:10201
4020037	Item_ItemNameId_4020037	Item_ItemExplainId_4020037	Icon_Tscl1_079	2	2	14	0	0	0	0		1	1	1	5	0	0	0	100	24000	16	0	0	10	0	1:10101,1:10201
4020038	Item_ItemNameId_4020038	Item_ItemExplainId_4020038	Icon_Tscl1_079	2	2	14	0	0	0	0		1	1	1	5	0	0	0	100	24000	16	0	0	10	0	1:10101,1:10201
4020039	Item_ItemNameId_4020039	Item_ItemExplainId_4020039	Icon_Tscl1_079	2	2	14	0	0	0	0		1	1	1	5	0	0	0	100	24000	16	0	0	10	0	1:10101,1:10201
4030001	Item_ItemNameId_4030001	Item_ItemExplainId_4030001	Icon_Tscl1_083	3	2	1	0	0	0	0		1	1	1	3	0	0	0	10000	0	0	0	0	0	0	1:20101,1:20102,1:20103,1:20201,1:20202,1:20203,1:20204
4030002	Item_ItemNameId_4030002	Item_ItemExplainId_4030002	Icon_Tscl1_084	3	2	2	0	0	0	0		1	1	1	4	0	0	0	10500	0	0	0	0	0	0	1:20301,1:20302,1:20303,1:20304,1:20401,1:20402,1:20403,1:20404
4030003	Item_ItemNameId_4030003	Item_ItemExplainId_4030003	Icon_Tscl1_085	3	2	2	0	0	0	0		1	1	1	4	0	0	0	11000	0	0	0	0	0	0	1:20501,1:20502,1:20503,1:20504,1:20505,1:20601,1:20602,1:20603,1:20604,1:20605
4030004	Item_ItemNameId_4030004	Item_ItemExplainId_4030004	Icon_Tscl1_086	3	2	2	0	0	0	0		1	1	1	4	0	0	0	11500	0	0	0	0	0	0	1:20701,1:20702,1:20703,1:20704,1:20705
4030005	Item_ItemNameId_4030005	Item_ItemExplainId_4030005	Icon_Tscl1_087	3	2	5	0	0	0	0		1	1	1	6	0	0	0	12000	0	0	0	0	0	0	1:20801,1:20802,1:20803,1:20804,1:20805
4030006	Item_ItemNameId_4030006	Item_ItemExplainId_4030006	Icon_Tscl1_088	3	2	5	0	0	0	0		1	1	1	6	0	0	0	12500	0	0	0	0	0	0	1:20901,1:20902,1:20903,1:20904,1:20905
4030007	Item_ItemNameId_4030007	Item_ItemExplainId_4030007	Icon_Tscl1_089	3	2	5	0	0	0	0		1	1	1	6	0	0	0	13000	0	0	0	0	0	0	1:21001,1:21002,1:21003,1:21004,1:21005
4030008	Item_ItemNameId_4030008	Item_ItemExplainId_4030008	Icon_Tscl1_090	3	2	5	0	0	0	0		1	1	1	8	0	0	0	13500	0	0	0	0	0	0	1:21101,1:21102,1:21103,1:21104,1:21105
4030009	Item_ItemNameId_4030009	Item_ItemExplainId_4030009	Icon_Tscl1_091	3	2	9	0	0	0	0		1	1	1	8	0	0	0	14000	0	0	0	0	0	0	1:21201,1:21202,1:21203,1:21204,1:21205
4030010	Item_ItemNameId_4030010	Item_ItemExplainId_4030010	Icon_Tscl1_092	3	2	9	0	0	0	0		1	1	1	8	0	0	0	14500	0	0	0	0	0	0	1:21301,1:21302,1:21303,1:21304,1:21305
4030011	Item_ItemNameId_4030011	Item_ItemExplainId_4030011	Icon_Tscl1_093	3	2	9	0	0	0	0		1	1	1	10	0	0	0	15000	0	0	0	0	0	0	1:21401,1:21402,1:21403,1:21404,1:21405
4030012	Item_ItemNameId_4030012	Item_ItemExplainId_4030012	Icon_Tscl1_094	3	2	9	0	0	0	0		1	1	1	10	0	0	0	15500	0	0	0	0	0	0	1:21501,1:21502,1:21503,1:21504,1:21505
4030013	Item_ItemNameId_4030013	Item_ItemExplainId_4030013	Icon_Tscl1_095	3	2	9	0	0	0	0		1	1	1	10	0	0	0	16000	0	0	0	0	0	0	1:21601,1:21602,1:21603,1:21604,1:21605
4030014	Item_ItemNameId_4030014	Item_ItemExplainId_4030014	Icon_Tscl1_096	3	2	14	0	0	0	0		1	1	1	12	0	0	0	16500	0	0	0	0	0	0	1:21701,1:21702,1:21703,1:21704,1:21705
4030015	Item_ItemNameId_4030015	Item_ItemExplainId_4030015	Icon_Tscl1_097	3	2	14	0	0	0	0		1	1	1	12	0	0	0	17000	0	0	0	0	0	0	1:21801,1:21802,1:21803,1:21804,1:21805
4030016	Item_ItemNameId_4030016	Item_ItemExplainId_4030016	Icon_Tscl1_098	3	2	14	0	0	0	0		1	1	1	12	0	0	0	18000	0	0	0	0	0	0	1:21901,1:21902,1:21903,1:21904,1:21905
4030017	Item_ItemNameId_4030017	Item_ItemExplainId_4030017	Icon_Tscl1_099	3	2	14	0	0	0	0		1	1	1	14	0	0	0	19000	0	0	0	0	0	0	1:22001,1:22002,1:22003,1:22004,1:22005,1:22101,1:22102,1:22103,1:22104,1:22105
4030018	Item_ItemNameId_4030018	Item_ItemExplainId_4030018	Icon_Tscl1_100	3	2	14	0	0	0	0		1	1	1	14	0	0	0	20000	0	0	0	0	0	0	1:20101,1:20201
4030019	Item_ItemNameId_4030019	Item_ItemExplainId_4030019	Icon_Tscl1_100	3	2	14	0	0	0	0		1	1	1	14	0	0	0	21000	0	0	0	0	0	0	1:20101,1:20201
4040001	Item_ItemNameId_4040001	Item_ItemExplainId_4040001	Icon_Tscl1_102	4	2	2	0	0	0	0		1	1	0	0	0	30	0	100	30000	20	60	0	0	0	2:6,2:4
4040002	Item_ItemNameId_4040002	Item_ItemExplainId_4040002	Icon_Tscl1_103	4	2	5	0	0	0	0		1	1	0	0	0	150	0	100	150000	100	300	0	0	0	2:6,2:4
4040003	Item_ItemNameId_4040003	Item_ItemExplainId_4040003	Icon_Tscl1_104	4	2	9	0	0	0	0		1	1	0	0	0	500	0	100	450000	300	1000	0	0	0	2:6,2:4
4050001	Item_ItemNameId_4050001	Item_ItemExplainId_4050001	Icon_Tscl1_105	5	2	2	0	0	0	0		1	1	0	0	0	0	30	100	30000	20	0	60	0	0	2:6,2:4
4050002	Item_ItemNameId_4050002	Item_ItemExplainId_4050002	Icon_Tscl1_106	5	2	5	0	0	0	0		1	1	0	0	0	0	150	100	150000	100	0	300	0	0	2:6,2:4
4050003	Item_ItemNameId_4050003	Item_ItemExplainId_4050003	Icon_Tscl1_107	5	2	9	0	0	0	0		1	1	0	0	0	0	500	100	450000	300	0	1000	0	0	2:6,2:4
4060001	Item_ItemNameId_4060001	Item_ItemExplainId_4060001	Icon_Tscl1_107	6	2	2	1	14	5	0		1	1	0	0	0	0	0	100	2000	10	0	0	0	0	
4060002	Item_ItemNameId_4060002	Item_ItemExplainId_4060002	Icon_Tscl1_107	6	2	2	1	14	5	0		1	1	0	0	0	0	0	100	2000	10	0	0	0	0	
4060003	Item_ItemNameId_4060003	Item_ItemExplainId_4060003	Icon_Tscl1_107	6	2	2	1	14	5	0		1	1	0	0	0	0	0	100	2000	10	0	0	0	0	
4060004	Item_ItemNameId_4060004	Item_ItemExplainId_4060004	Icon_Tscl1_107	6	2	2	1	14	5	0		1	1	0	0	0	0	0	100	2000	10	0	0	0	0	
4060005	Item_ItemNameId_4060005	Item_ItemExplainId_4060005	Icon_Tscl1_107	6	2	2	1	14	5	0		1	1	0	0	0	0	0	100	2000	10	0	0	0	0	
4060006	Item_ItemNameId_4060006	Item_ItemExplainId_4060006	Icon_Tscl1_107	6	2	2	1	14	5	0		1	1	0	0	0	0	0	100	2000	10	0	0	0	0	
4060007	Item_ItemNameId_4060007	Item_ItemExplainId_4060007	Icon_Tscl1_107	6	2	2	1	14	5	0		1	1	0	0	0	0	0	100	2000	10	0	0	0	0	
4060008	Item_ItemNameId_4060008	Item_ItemExplainId_4060008	Icon_Tscl1_107	6	2	2	1	14	5	0		1	1	0	0	0	0	0	100	2000	10	0	0	0	0	
4060009	Item_ItemNameId_4060009	Item_ItemExplainId_4060009	Icon_Tscl1_107	6	2	2	1	14	5	0		1	1	0	0	0	0	0	100	2000	10	0	0	0	0	
4060010	Item_ItemNameId_4060010	Item_ItemExplainId_4060010	Icon_Tscl1_107	6	2	2	1	14	5	0		1	1	0	0	0	0	0	100	2000	10	0	0	0	0	
4060011	Item_ItemNameId_4060011	Item_ItemExplainId_4060011	Icon_Tscl1_107	6	2	2	1	14	5	0		1	1	0	0	0	0	0	100	2000	10	0	0	0	0	
4060012	Item_ItemNameId_4060012	Item_ItemExplainId_4060012	Icon_Tscl1_107	6	2	2	1	14	5	0		1	1	0	0	0	0	0	100	2000	10	0	0	0	0	
4060013	Item_ItemNameId_4060013	Item_ItemExplainId_4060013	Icon_Tscl1_107	6	2	2	1	14	5	0		1	1	0	0	0	0	0	100	2000	10	0	0	0	0	
4060014	Item_ItemNameId_4060014	Item_ItemExplainId_4060014	Icon_Tscl1_107	6	2	2	1	14	5	0		1	1	0	0	0	0	0	100	2000	10	0	0	0	0	
4060015	Item_ItemNameId_4060015	Item_ItemExplainId_4060015	Icon_Tscl1_107	6	2	2	1	14	5	0		1	1	0	0	0	0	0	100	2000	10	0	0	0	0	
4060016	Item_ItemNameId_4060016	Item_ItemExplainId_4060016	Icon_Tscl1_107	6	2	2	1	14	5	0		1	1	0	0	0	0	0	100	2000	10	0	0	0	0	
4060017	Item_ItemNameId_4060017	Item_ItemExplainId_4060017	Icon_Tscl1_107	6	2	2	1	14	5	0		1	1	0	0	0	0	0	100	2000	10	0	0	0	0	
