主ID	掉落组ID	等级区间	掉落权重	掉落物品ID	最小掉落	最大掉落
56	51	1:100	526	4070028	2	2
57	51	1:100	526	4070005	2	2
58	100	1:100	119	4060001	1	10
59	100	1:100	119	4060002	1	10
60	100	1:100	119	4060003	1	10
61	100	1:100	119	4060004	1	10
62	100	1:100	119	4060005	1	10
63	100	1:100	119	4060006	1	10
64	100	1:100	119	4060007	1	10
65	100	1:100	119	4060008	1	10
66	100	1:100	119	4060009	1	10
67	100	1:100	119	4060010	1	10
68	100	1:100	119	4060011	1	10
69	100	1:100	119	4060012	1	10
70	100	1:100	119	4060013	1	10
71	100	1:100	119	4060014	1	10
72	100	1:100	119	4060015	1	10
73	100	1:100	119	4060016	1	10
74	100	1:100	119	4060017	1	10
75	100	1:100	119	4060018	1	10
76	100	1:100	119	4060019	1	10
77	100	1:100	119	4060020	1	10
78	100	1:100	119	4060021	1	10
79	100	1:100	119	4060022	1	10
80	100	1:100	119	4060023	1	10
81	100	1:100	119	4060024	1	10
82	100	1:100	119	4060025	1	10
83	100	1:100	119	4060026	1	10
84	100	1:100	119	4060027	1	10
85	100	1:100	119	4060028	1	10
86	100	1:100	119	4060501	1	10
87	100	1:100	119	4060502	1	10
88	100	1:100	119	4060503	1	10
89	100	1:100	119	4060504	1	10
90	100	1:100	119	4060505	1	10
91	100	1:100	119	4060506	1	10
92	100	1:100	119	4060507	1	10
93	100	1:100	119	4060508	1	10
94	100	1:100	119	4060509	1	10
95	100	1:100	119	4060510	1	10
96	100	1:100	119	4060511	1	10
97	100	1:100	119	4060512	1	10
98	100	1:100	119	4060513	1	10
99	100	1:100	119	4060514	1	10
100	100	1:100	119	4060515	1	10
101	100	1:100	119	4060516	1	10
102	100	1:100	119	4060517	1	10
103	100	1:100	119	4060518	1	10
104	100	1:100	119	4060519	1	10
105	100	1:100	119	4060520	1	10
106	100	1:100	119	4060521	1	10
107	100	1:100	119	4060522	1	10
108	100	1:100	119	4060523	1	10
109	100	1:100	119	4060524	1	10
110	100	1:100	119	4060525	1	10
111	100	1:100	119	4060526	1	10
112	100	1:100	119	4060527	1	10
113	100	1:100	119	4060528	1	10
114	100	1:100	119	4061001	1	10
115	100	1:100	119	4061002	1	10
116	100	1:100	119	4061003	1	10
117	100	1:100	119	4061004	1	10
118	100	1:100	119	4061005	1	10
119	100	1:100	119	4061006	1	10
120	100	1:100	119	4061007	1	10
121	100	1:100	119	4061008	1	10
122	100	1:100	119	4061009	1	10
123	100	1:100	119	4061010	1	10
124	100	1:100	119	4061011	1	10
125	100	1:100	119	4061012	1	10
126	100	1:100	119	4061013	1	10
127	100	1:100	119	4061014	1	10
128	100	1:100	119	4061015	1	10
129	100	1:100	119	4061016	1	10
130	100	1:100	119	4061017	1	10
131	100	1:100	119	4061018	1	10
132	100	1:100	119	4061019	1	10
133	100	1:100	119	4061020	1	10
134	100	1:100	119	4061021	1	10
135	100	1:100	119	4061022	1	10
136	100	1:100	119	4061023	1	10
137	100	1:100	119	4061024	1	10
138	100	1:100	120	4061025	1	10
139	100	1:100	120	4061026	1	10
140	100	1:100	120	4061027	1	10
141	100	1:100	120	4061028	1	10
142	150	1:100	1000	4080001	1	10
143	150	1:100	1000	4080002	1	10
144	150	1:100	1000	4080003	1	10
145	150	1:100	1000	4080004	1	10
146	150	1:100	1000	4080005	1	10
147	150	1:100	1000	4080006	1	10
148	150	1:100	4000	4020000	1	10
149	200	1:100	5000	4040003	1	1
150	200	1:100	5000	4050003	1	1
151	201	1:100	5000	4040001	1	1
152	201	1:100	5000	4040002	1	1
153	201	1:100	5000	4040003	1	1
154	201	1:100	5000	4050001	1	1
155	201	1:100	5000	4050002	1	1
156	201	1:100	5000	4050003	1	1
157	250	1:100	2500	4110101	1	1
158	250	1:100	2500	4110102	1	1
159	250	1:100	2500	4110103	1	1
160	250	1:100	2500	4110104	1	1
161	300	1:100	4000	4100002	3	10
162	300	1:100	4000	4100006	10	10
163	300	1:100	2000	4090010	1	10
164	301	1:100	4000	4100002	3	10
165	301	1:100	4000	4100006	10	10
166	301	1:100	1902	4090010	1	10
167	301	1:100	7	4011001	1	1
168	301	1:100	7	4011002	1	1
169	301	1:100	7	4011003	1	1
170	301	1:100	7	4011004	1	1
171	301	1:100	7	4011005	1	1
172	301	1:100	7	4011006	1	1
173	301	1:100	7	4011007	1	1
174	301	1:100	7	4011008	1	1
175	301	1:100	7	4011009	1	1
176	301	1:100	7	4011010	1	1
177	301	1:100	7	4011011	1	1
178	301	1:100	7	4011012	1	1
179	301	1:100	7	4011013	1	1
180	301	1:100	7	4011014	1	1
181	302	1:100	2500	4090001	1	1
182	302	1:100	2500	4090002	1	1
183	302	1:100	2500	4090003	1	1
184	302	1:100	2500	4090004	1	1
185	501	1:100	6000	4080001	0	1
186	501	1:100	4000	4090006	0	2
187	502	1:100	6000	4080001	0	2
188	502	1:100	4000	4090006	0	2
189	503	1:100	6000	4080002	0	1
190	503	1:100	4000	4090006	0	2
191	506	1:100	6000	4080002	0	2
192	506	1:100	4000	4090006	0	2
193	509	1:100	6000	4080002	0	3
194	509	1:100	4000	4090006	0	2
195	510	1:100	6000	4080003	0	1
196	510	1:100	4000	4090006	0	3
197	601	1:100	3400	4070028	1	1
198	601	1:100	6600	4030001	1	1
199	602	1:100	3400	4070018	1	1
200	602	1:100	6600	4030001	1	1
201	603	1:100	3400	4070002	1	1
202	603	1:100	6600	4030001	1	1
203	604	1:100	3400	4070001	1	1
204	604	1:100	6600	4030001	1	1
205	605	1:100	3400	4070020	1	1
206	605	1:100	6600	4030002	1	1
207	606	1:100	3400	4070022	1	1
208	606	1:100	6600	4030002	1	1
209	607	1:100	3400	4070005	1	1
210	607	1:100	6600	4030002	1	1
211	608	1:100	3400	4070018	1	1
212	608	1:100	6600	4030002	1	1
213	609	1:100	3400	4070017	1	1
214	609	1:100	6600	4030002	1	1
215	610	1:100	3400	4070028	1	1
216	610	1:100	6600	4030002	1	1
217	611	1:100	3400	4070023	1	1
218	611	1:100	6600	4030002	1	1
219	612	1:100	3400	4070004	1	1
220	612	1:100	6600	4030003	1	1
221	613	1:100	3400	4070005	1	1
222	613	1:100	6600	4030003	1	1
223	614	1:100	3400	4070025	1	1
224	614	1:100	6600	4030003	1	1
225	615	1:100	3400	4070016	1	1
226	615	1:100	6600	4030003	1	1
227	616	1:100	3400	4070024	1	1
228	616	1:100	6600	4030003	1	1
229	617	1:100	3400	4070001	1	1
230	617	1:100	6600	4030003	1	1
231	618	1:100	3400	4070021	1	1
232	618	1:100	6600	4030003	1	1
233	619	1:100	3400	4070010	1	1
234	619	1:100	6600	4030003	1	1
235	620	1:100	3400	4070027	1	1
236	620	1:100	6600	4030004	1	1
237	621	1:100	3400	4070025	1	1
238	621	1:100	6600	4030004	1	1
239	622	1:100	3400	4070001	1	1
240	622	1:100	6600	4030004	1	1
241	623	1:100	3400	4070009	1	1
242	623	1:100	6600	4030004	1	1
243	624	1:100	3400	4070004	1	1
244	624	1:100	6600	4030005	1	1
245	625	1:100	3400	4070018	1	1
246	625	1:100	6600	4030005	1	1
247	626	1:100	3400	4070020	1	1
248	626	1:100	6600	4030005	1	1
249	627	1:100	3400	4070006	1	1
250	627	1:100	6600	4030005	1	1
251	628	1:100	3400	4070024	1	1
252	628	1:100	6600	4030006	1	1
253	629	1:100	3400	4070028	1	1
254	629	1:100	6600	4030006	1	1
255	630	1:100	3400	4070009	1	1
256	630	1:100	6600	4030006	1	1
257	631	1:100	3400	4070011	1	1
258	631	1:100	6600	4030006	1	1
259	632	1:100	3400	4070023	1	1
260	632	1:100	6600	4030006	1	1
261	633	1:100	3400	4070017	1	1
262	633	1:100	6600	4030007	1	1
263	634	1:100	3400	4070006	1	1
264	634	1:100	6600	4030007	1	1
265	635	1:100	3400	4070005	1	1
266	635	1:100	6600	4030007	1	1
267	636	1:100	3400	4070008	1	1
268	636	1:100	6600	4030007	1	1
269	637	1:100	3400	4070018	1	1
270	637	1:100	6600	4030008	1	1
271	638	1:100	3400	4070022	1	1
272	638	1:100	6600	4030008	1	1
273	639	1:100	3400	4070002	1	1
274	639	1:100	6600	4030008	1	1
275	640	1:100	3400	4070001	1	1
276	640	1:100	6600	4030008	1	1
277	641	1:100	3400	4070008	1	1
278	641	1:100	6600	4030009	1	1
279	642	1:100	3400	4070025	1	1
280	642	1:100	6600	4030009	1	1
281	643	1:100	3400	4070005	1	1
282	643	1:100	6600	4030009	1	1
283	644	1:100	3400	4070021	1	1
284	644	1:100	6600	4030009	1	1
285	645	1:100	3400	4070007	1	1
286	645	1:100	6600	4030009	1	1
287	646	1:100	3400	4070016	1	1
288	646	1:100	6600	4030010	1	1
289	647	1:100	3400	4070026	1	1
290	647	1:100	6600	4030010	1	1
291	648	1:100	3400	4070010	1	1
292	648	1:100	6600	4030010	1	1
293	649	1:100	3400	4070022	1	1
294	649	1:100	6600	4030010	1	1
295	650	1:100	3400	4070019	1	1
296	650	1:100	6600	4030010	1	1
297	651	1:100	3400	4070009	1	1
298	651	1:100	6600	4030011	1	1
299	652	1:100	3400	4070019	1	1
300	652	1:100	6600	4030011	1	1
301	653	1:100	3400	4070016	1	1
302	653	1:100	6600	4030011	1	1
303	654	1:100	3400	4070010	1	1
304	654	1:100	6600	4030011	1	1
305	655	1:100	3400	4070001	1	1
306	655	1:100	6600	4030012	1	1
307	656	1:100	3400	4070024	1	1
308	656	1:100	6600	4030012	1	1
309	657	1:100	3400	4070003	1	1
310	657	1:100	6600	4030012	1	1
311	658	1:100	3400	4070027	1	1
312	658	1:100	6600	4030012	1	1
313	659	1:100	3400	4070011	1	1
314	659	1:100	6600	4030012	1	1
315	660	1:100	3400	4070004	1	1
316	660	1:100	6600	4030013	1	1
317	661	1:100	3400	4070027	1	1
318	661	1:100	6600	4030013	1	1
319	662	1:100	3400	4070006	1	1
320	662	1:100	6600	4030013	1	1
321	663	1:100	3400	4070003	1	1
322	663	1:100	6600	4030013	1	1
323	664	1:100	3400	4070024	1	1
324	664	1:100	6600	4030014	1	1
325	665	1:100	3400	4070026	1	1
326	665	1:100	6600	4030014	1	1
327	666	1:100	3400	4070006	1	1
328	666	1:100	6600	4030014	1	1
329	667	1:100	3400	4070020	1	1
330	667	1:100	6600	4030014	1	1
331	668	1:100	3400	4070027	1	1
332	668	1:100	6600	4030014	1	1
333	669	1:100	3400	4070018	1	1
334	669	1:100	6600	4030015	1	1
335	670	1:100	3400	4070009	1	1
336	670	1:100	6600	4030015	1	1
337	671	1:100	3400	4070007	1	1
338	671	1:100	6600	4030015	1	1
339	672	1:100	3400	4070021	1	1
340	672	1:100	6600	4030016	1	1
341	673	1:100	3400	4070002	1	1
342	673	1:100	6600	4030016	1	1
343	674	1:100	3400	4070025	1	1
344	674	1:100	6600	4030016	1	1
345	675	1:100	3400	4070001	1	1
346	675	1:100	6600	4030017	1	1
347	676	1:100	3400	4070005	1	1
348	676	1:100	6600	4030017	1	1
349	677	1:100	3400	4070016	1	1
350	677	1:100	6600	4030017	1	1
351	678	1:15	3300	4020001	30	30
352	678	1:15	3300	4020002	30	30
353	678	1:15	3400	4020003	30	30
354	679	1:15	3300	4020004	30	30
355	679	1:15	3300	4020005	30	30
356	679	1:15	3400	4020006	30	30
357	680	16:22	3300	4020007	30	30
358	680	16:22	3300	4020008	30	30
359	680	16:22	3400	4020009	30	30
360	681	23:34	3300	4020010	30	30
361	681	23:34	3300	4020011	30	30
362	681	23:34	3400	4020012	30	30
363	682	35:44	3300	4020013	30	30
364	682	35:44	3300	4020014	30	30
365	682	35:44	3400	4020015	30	30
366	683	45:54	3300	4020016	30	30
367	683	45:54	3300	4020017	30	30
368	683	45:54	3400	4020018	30	30
369	684	55:64	3300	4020019	30	30
370	684	55:64	3300	4020020	30	30
371	684	55:64	3400	4020021	30	30
372	685	65:74	3300	4020022	30	30
373	685	65:74	3300	4020023	30	30
374	685	65:74	3400	4020024	30	30
375	686	75:79	3300	4020025	30	30
376	686	75:79	3300	4020026	30	30
377	686	75:79	3400	4020027	30	30
378	687	80:84	3300	4020028	30	30
379	687	80:84	3300	4020029	30	30
380	687	80:84	3400	4020030	30	30
381	688	85:89	3300	4020031	30	30
382	688	85:89	3300	4020032	30	30
383	688	85:89	3400	4020033	30	30
384	689	90:94	3300	4020034	30	30
385	689	90:94	3300	4020035	30	30
386	689	90:94	3400	4020036	30	30
387	690	95:105	3300	4020037	30	30
388	690	95:105	3300	4020038	30	30
389	690	95:105	3400	4020039	30	30
390	691	1:100	770	4070001	1	1
391	691	1:100	770	4070002	1	1
392	691	1:100	770	4070004	1	1
393	691	1:100	770	4070007	1	1
394	691	1:100	770	4070008	1	1
395	691	1:100	770	4070009	1	1
396	691	1:100	770	4070025	1	1
397	691	1:100	770	4070016	1	1
398	691	1:100	770	4070018	1	1
399	691	1:100	770	4070020	1	1
400	691	1:100	770	4070022	1	1
401	691	1:100	765	4070028	1	1
402	691	1:100	765	4070026	1	1
403	692	1:100	120	4060001	10	10
404	692	1:100	120	4060002	10	10
405	692	1:100	120	4060003	10	10
406	692	1:100	120	4060004	10	10
407	692	1:100	120	4060005	10	10
408	692	1:100	120	4060006	10	10
409	692	1:100	120	4060007	10	10
410	692	1:100	120	4060008	10	10
411	692	1:100	120	4060009	10	10
412	692	1:100	120	4060010	10	10
413	692	1:100	120	4060011	10	10
414	692	1:100	120	4060012	10	10
415	692	1:100	120	4060013	10	10
416	692	1:100	120	4060014	10	10
417	692	1:100	120	4060015	10	10
418	692	1:100	120	4060016	10	10
419	692	1:100	120	4060017	10	10
420	692	1:100	120	4060018	10	10
421	692	1:100	120	4060019	10	10
422	692	1:100	120	4060020	10	10
423	692	1:100	120	4060021	10	10
424	692	1:100	120	4060022	10	10
425	692	1:100	120	4060023	10	10
426	692	1:100	120	4060024	10	10
427	692	1:100	120	4060025	10	10
428	692	1:100	120	4060026	10	10
429	692	1:100	120	4060027	10	10
430	692	1:100	120	4060028	10	10
431	692	1:100	120	4060501	10	10
432	692	1:100	120	4060502	10	10
433	692	1:100	120	4060503	10	10
434	692	1:100	120	4060504	10	10
435	692	1:100	120	4060505	10	10
436	692	1:100	120	4060506	10	10
437	692	1:100	120	4060507	10	10
438	692	1:100	120	4060508	10	10
439	692	1:100	120	4060509	10	10
440	692	1:100	120	4060510	10	10
441	692	1:100	120	4060511	10	10
442	692	1:100	120	4060512	10	10
443	692	1:100	120	4060513	10	10
444	692	1:100	120	4060514	10	10
445	692	1:100	120	4060515	10	10
446	692	1:100	120	4060516	10	10
447	692	1:100	120	4060517	10	10
448	692	1:100	120	4060518	10	10
449	692	1:100	120	4060519	10	10
450	692	1:100	120	4060520	10	10
451	692	1:100	120	4060521	10	10
452	692	1:100	120	4060522	10	10
453	692	1:100	120	4060523	10	10
454	692	1:100	120	4060524	10	10
455	692	1:100	120	4060525	10	10
456	692	1:100	120	4060526	10	10
457	692	1:100	120	4060527	10	10
458	692	1:100	120	4060528	10	10
459	692	1:100	120	4061001	10	10
460	692	1:100	120	4061002	10	10
461	692	1:100	120	4061003	10	10
462	692	1:100	120	4061004	10	10
463	692	1:100	120	4061005	10	10
464	692	1:100	120	4061006	10	10
465	692	1:100	120	4061007	10	10
466	692	1:100	120	4061008	10	10
467	692	1:100	120	4061009	10	10
468	692	1:100	120	4061010	10	10
469	692	1:100	120	4061011	10	10
470	692	1:100	120	4061012	10	10
471	692	1:100	120	4061013	10	10
472	692	1:100	120	4061014	10	10
473	692	1:100	120	4061015	10	10
474	692	1:100	120	4061016	10	10
475	692	1:100	120	4061017	10	10
476	692	1:100	120	4061018	10	10
477	692	1:100	120	4061019	10	10
478	692	1:100	120	4061020	10	10
479	692	1:100	120	4061021	10	10
480	692	1:100	120	4061022	10	10
481	692	1:100	120	4061023	10	10
482	692	1:100	120	4061024	10	10
483	692	1:100	120	4061025	10	10
484	692	1:100	120	4061026	10	10
485	692	1:100	80	4061027	10	10
486	692	1:100	80	4061028	10	10
487	693	1:15	1666	4020004	10	10
488	693	1:15	1666	4020005	10	10
489	693	1:15	1666	4020006	10	10
490	693	1:15	1666	4020001	10	10
491	693	1:15	1667	4020002	10	10
492	693	1:15	1669	4020003	10	10
493	694	16:22	1666	4020007	10	10
494	694	16:22	1666	4020008	10	10
495	694	16:22	1666	4020009	10	10
496	694	1:22	1666	4020004	10	10
497	694	1:22	1667	4020005	10	10
498	694	1:22	1669	4020006	10	10
499	695	23:34	1666	4020010	10	10
500	695	23:34	1666	4020011	10	10
501	695	23:34	1666	4020012	10	10
502	695	16:34	1666	4020007	10	10
503	695	16:34	1667	4020008	10	10
504	695	16:34	1669	4020009	10	10
505	696	35:44	1666	4020013	10	10
506	696	35:44	1666	4020014	10	10
507	696	35:44	1666	4020015	10	10
508	696	23:44	1666	4020010	10	10
509	696	23:44	1667	4020011	10	10
510	696	23:44	1669	4020012	10	10
511	697	45:54	1666	4020016	10	10
512	697	45:54	1666	4020017	10	10
513	697	45:54	1666	4020018	10	10
514	697	35:54	1666	4020013	10	10
515	697	35:54	1667	4020014	10	10
516	697	35:54	1669	4020015	10	10
517	698	55:64	1666	4020019	20	20
518	698	55:64	1666	4020020	20	20
519	698	55:64	1666	4020021	20	20
520	698	45:64	1666	4020016	10	10
521	698	45:64	1667	4020017	10	10
522	698	45:64	1669	4020018	10	10
523	699	65:74	1666	4020022	20	20
524	699	65:74	1666	4020023	20	20
525	699	65:74	1666	4020024	20	20
526	699	55:74	1666	4020019	20	20
527	699	55:74	1667	4020020	20	20
528	699	55:74	1669	4020021	20	20
529	700	75:79	1666	4020025	30	30
530	700	75:79	1666	4020026	30	30
531	700	75:79	1666	4020027	30	30
532	700	65:79	1666	4020022	20	20
533	700	65:79	1667	4020023	20	20
534	700	65:79	1669	4020024	20	20
535	701	80:84	1666	4020028	30	30
536	701	80:84	1666	4020029	30	30
537	701	80:84	1666	4020030	30	30
538	701	75:84	1666	4020025	30	30
539	701	75:84	1667	4020026	30	30
540	701	75:84	1669	4020027	30	30
541	702	85:89	1666	4020031	40	40
542	702	85:89	1666	4020032	40	40
543	702	85:89	1666	4020033	40	40
544	702	80:89	1666	4020028	30	30
545	702	80:89	1667	4020029	30	30
546	702	80:89	1669	4020030	30	30
547	703	90:94	1666	4020034	40	40
548	703	90:94	1666	4020035	40	40
549	703	90:94	1666	4020036	40	40
550	703	85:94	1666	4020031	40	40
551	703	85:94	1667	4020032	40	40
552	703	85:94	1669	4020033	40	40
553	704	95:105	1666	4020037	50	50
554	704	95:105	1666	4020038	50	50
555	704	95:105	1666	4020039	50	50
556	704	90:105	1666	4020034	40	40
557	704	90:105	1667	4020035	40	40
558	704	90:105	1669	4020036	40	40
559	705	1:100	3	4011001	1	1
560	705	1:100	3	4011002	1	1
561	705	1:100	3	4011003	1	1
562	705	1:100	3	4011004	1	1
563	705	1:100	3	4011005	1	1
564	705	1:100	3	4011006	1	1
565	705	1:100	6	4011007	1	1
566	705	1:100	6	4011008	1	1
567	705	1:100	6	4011009	1	1
568	705	1:100	6	4011010	1	1
569	705	1:100	6	4011011	1	1
570	705	1:100	6	4011012	1	1
571	705	1:100	6	4011013	1	1
572	705	1:100	6	4011014	1	1
573	705	1:100	1700	4040001	1	1
574	705	1:100	1020	4040002	1	1
575	705	1:100	680	4040003	1	1
576	705	1:100	1700	4050001	3	5
577	705	1:100	1020	4050002	3	5
578	705	1:100	680	4050003	3	5
579	705	1:100	1567	4100002	5	10
580	705	1:100	1567	4090010	5	10
581	706	1:100	5000	4050001	1	1
582	706	1:100	3000	4050002	1	1
583	706	1:100	2000	4050003	1	1
584	707	1:100	4000	4050001	1	1
585	707	1:100	4000	4050002	1	1
586	707	1:100	2000	4050003	1	1
587	708	1:100	3000	4050001	1	1
588	708	1:100	4500	4050002	1	1
589	708	1:100	2500	4050003	1	1
590	709	1:100	3333	7	20	20
591	709	1:100	3333	7	30	30
592	709	1:100	3334	7	50	50
593	710	1:100	833	1000001	1	1
594	710	1:100	833	1000002	1	1
595	710	1:100	833	1000004	1	1
596	710	1:100	833	1000007	1	1
597	710	1:100	833	1000008	1	1
598	710	1:100	833	1000009	1	1
599	710	1:100	833	1000016	1	1
600	710	1:100	833	1000018	1	1
601	710	1:100	833	1000020	1	1
602	710	1:100	833	1000022	1	1
603	710	1:100	833	1000026	1	1
604	710	1:100	837	1000028	1	1
605	711	1:100	120	4060001	1	2
606	711	1:100	120	4060002	1	2
607	711	1:100	120	4060003	1	2
608	711	1:100	120	4060004	1	2
609	711	1:100	120	4060005	1	2
610	711	1:100	120	4060006	1	2
611	711	1:100	120	4060007	1	2
612	711	1:100	120	4060008	1	2
613	711	1:100	120	4060009	1	2
614	711	1:100	120	4060010	1	2
615	711	1:100	120	4060011	1	2
616	711	1:100	120	4060012	1	2
617	711	1:100	120	4060013	1	2
618	711	1:100	120	4060014	1	2
619	711	1:100	120	4060015	1	2
620	711	1:100	120	4060016	1	2
621	711	1:100	120	4060017	1	2
622	711	1:100	120	4060018	1	2
623	711	1:100	120	4060019	1	2
624	711	1:100	120	4060020	1	2
625	711	1:100	120	4060021	1	2
626	711	1:100	120	4060022	1	2
627	711	1:100	120	4060023	1	2
628	711	1:100	120	4060024	1	2
629	711	1:100	120	4060025	1	2
630	711	1:100	120	4060026	1	2
631	711	1:100	120	4060027	1	2
632	711	1:100	120	4060028	1	2
633	711	1:100	120	4060501	1	2
634	711	1:100	120	4060502	1	2
635	711	1:100	120	4060503	1	2
636	711	1:100	120	4060504	1	2
637	711	1:100	120	4060505	1	2
638	711	1:100	120	4060506	1	2
639	711	1:100	120	4060507	1	2
640	711	1:100	120	4060508	1	2
641	711	1:100	120	4060509	1	2
642	711	1:100	120	4060510	1	2
643	711	1:100	120	4060511	1	2
644	711	1:100	120	4060512	1	2
645	711	1:100	120	4060513	1	2
646	711	1:100	120	4060514	1	2
647	711	1:100	120	4060515	1	2
648	711	1:100	120	4060516	1	2
649	711	1:100	120	4060517	1	2
650	711	1:100	120	4060518	1	2
651	711	1:100	120	4060519	1	2
652	711	1:100	120	4060520	1	2
653	711	1:100	120	4060521	1	2
654	711	1:100	120	4060522	1	2
655	711	1:100	120	4060523	1	2
656	711	1:100	120	4060524	1	2
657	711	1:100	120	4060525	1	2
658	711	1:100	120	4060526	1	2
659	711	1:100	120	4060527	1	2
660	711	1:100	120	4060528	1	2
661	711	1:100	120	4061001	1	2
662	711	1:100	120	4061002	1	2
663	711	1:100	120	4061003	1	2
664	711	1:100	120	4061004	1	2
665	711	1:100	120	4061005	1	2
666	711	1:100	120	4061006	1	2
667	711	1:100	120	4061007	1	2
668	711	1:100	120	4061008	1	2
669	711	1:100	120	4061009	1	2
670	711	1:100	120	4061010	1	2
671	711	1:100	120	4061011	1	2
672	711	1:100	120	4061012	1	2
673	711	1:100	120	4061013	1	2
674	711	1:100	120	4061014	1	2
675	711	1:100	120	4061015	1	2
676	711	1:100	120	4061016	1	2
677	711	1:100	120	4061017	1	2
678	711	1:100	120	4061018	1	2
679	711	1:100	120	4061019	1	2
680	711	1:100	120	4061020	1	2
681	711	1:100	120	4061021	1	2
682	711	1:100	120	4061022	1	2
683	711	1:100	120	4061023	1	2
684	711	1:100	120	4061024	1	2
685	711	1:100	120	4061025	1	2
686	711	1:100	120	4061026	1	2
687	711	1:100	80	4061027	1	2
688	711	1:100	80	4061028	1	2
689	712	1:69	10000	4080002	1	1
690	712	70:105	10000	4080004	1	1
691	713	1:100	5000	4090003	0	2
692	713	1:100	4000	4090002	0	2
693	713	1:100	1000	4090004	0	1
694	714	1:100	4000	4090003	0	2
695	714	1:100	4000	4090002	0	2
696	714	1:100	2000	4090004	0	1
697	715	1:100	3000	4090003	0	2
698	715	1:100	5000	4090002	0	2
699	715	1:100	2000	4090004	0	1
700	716	1:100	1000	4090003	0	2
701	716	1:100	4000	4090002	0	2
702	716	1:100	4000	4090004	0	2
703	716	1:100	1000	4090005	0	1
704	717	1:100	2000	4090003	0	2
705	717	1:100	3000	4090002	0	2
706	717	1:100	4000	4090004	0	2
707	717	1:100	1000	4090005	0	1
708	718	1:100	1000	4090003	0	2
709	718	1:100	3000	4090002	0	2
710	718	1:100	4000	4090004	0	2
711	718	1:100	2000	4090005	0	2
712	719	1:100	2000	4090002	0	2
713	719	1:100	5000	4090004	0	2
714	719	1:100	3000	4090005	0	2
715	723	1:100	10000	1	180000	180000
716	724	1:100	10000	1	300000	300000
717	725	1:100	10000	1	450000	450000
718	726	1:100	10000	1	650000	650000
719	727	1:100	10000	1	850000	850000
720	728	1:100	10000	1	1000000	1000000
721	729	1:100	10000	1	1200000	1200000
722	744	1:100	3000	4070009	1	1
723	744	1:100	3000	4070018	1	1
724	744	1:100	3000	4070024	1	1
725	744	1:100	1000	4070011	1	1
726	745	1:100	3500	4100002	5	10
727	745	1:100	6500	4080002	15	20
728	746	1:100	3000	4070008	1	1
729	746	1:100	3000	4070027	1	1
730	746	1:100	3000	4070017	1	1
731	746	1:100	1000	4070015	1	1
732	747	1:100	3500	4100002	5	10
733	747	1:100	6500	4080005	2	3
734	748	1:69	10000	4080001	1	1
735	748	70:105	10000	4080003	1	1
736	749	1:100	100	4110107	1	1
737	749	1:100	400	4110104	1	1
738	749	1:100	8000	4110101	1	1
739	749	1:100	1500	4110102	1	1
740	750	1:100	238	4010001	1	1
741	750	1:100	238	4010002	1	1
742	750	1:100	238	4010003	1	1
743	750	1:100	238	4010004	1	1
744	750	1:100	238	4010005	1	1
745	750	1:100	238	4010006	1	1
746	750	1:100	238	4010007	1	1
747	750	1:100	238	4010008	1	1
748	750	1:100	238	4010009	1	1
749	750	1:100	238	4010010	1	1
