基础ID	卡片类型	卡片资质类型	卡片等级	卡片品质	攻击比例	防御比例	生命比例	材料1ID	材料1数量	材料2ID	材料2数量	材料3ID	材料3数量	材料4ID	材料4数量	材料5ID	材料5数量
1123	1	1	101	23	220000	220000	220000	1	640000	4020000	4500	4020034	2700	4020035	900	4020036	900
1124	1	1	101	24	230000	230000	230000	1	700000	4020000	5000	4020034	3750	4020035	1250	4020036	1250
1125	1	1	101	25	240000	240000	240000	1	780000	4020000	5500	4020034	4800	4020035	1600	4020036	1600
1126	1	1	101	26	250000	250000	250000	1	860000	4020000	6000	4020034	6000	4020035	2000	4020036	2000
1201	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1202	2	1	1	2	10000	10000	10000	1	3000	4020000	1	4020002	1	4020003	1	4020001	1
1203	2	1	1	3	20000	20000	20000	1	6000	4020000	10	4020002	3	4020003	2	4020001	2
1204	2	1	10	4	30000	30000	30000	1	10000	4020000	15	4020005	6	4020006	3	4020004	3
1205	2	1	16	5	40000	40000	40000	1	20000	4020000	20	4020005	12	4020006	4	4020004	4
1206	2	1	22	6	50000	50000	50000	1	40000	4020000	30	4020008	18	4020009	8	4020007	8
1207	2	1	28	7	60000	60000	60000	1	60000	4020000	40	4020011	24	4020012	8	4020010	8
1208	2	1	34	8	70000	70000	70000	1	80000	4020000	60	4020011	30	4020012	10	4020010	10
1209	2	1	40	9	80000	80000	80000	1	100000	4020000	90	4020014	45	4020015	15	4020013	15
1210	2	1	45	10	90000	90000	90000	1	120000	4020000	120	4020014	60	4020015	20	4020013	20
1211	2	1	50	11	100000	100000	100000	1	140000	4020000	200	4020017	96	4020018	32	4020016	32
1212	2	1	55	12	110000	110000	110000	1	160000	4020000	320	4020017	144	4020018	48	4020016	48
1213	2	1	60	13	120000	120000	120000	1	180000	4020000	400	4020020	192	4020021	64	4020019	64
1214	2	1	65	14	130000	130000	130000	1	200000	4020000	600	4020020	200	4020021	96	4020019	96
1215	2	1	70	15	140000	140000	140000	1	240000	4020000	800	4020023	384	4020024	128	4020022	128
1216	2	1	75	16	150000	150000	150000	1	280000	4020000	1250	4020023	600	4020024	200	4020022	200
1217	2	1	80	17	160000	160000	160000	1	320000	4020000	2240	4020026	900	4020027	300	4020025	300
1218	2	1	85	18	170000	170000	170000	1	360000	4020000	2350	4020029	1125	4020030	380	4020028	380
1219	2	1	90	19	180000	180000	180000	1	400000	4020000	2500	4020032	1350	4020033	450	4020031	450
1220	2	1	95	20	190000	190000	190000	1	460000	4020000	2800	4020035	1500	4020036	500	4020034	500
1221	2	1	101	21	200000	200000	200000	1	520000	4020000	3500	4020035	1800	4020036	600	4020034	600
1222	2	1	101	22	210000	210000	210000	1	580000	4020000	4000	4020035	2250	4020036	750	4020034	750
1223	2	1	101	23	220000	220000	220000	1	640000	4020000	4500	4020035	2700	4020036	900	4020034	900
1224	2	1	101	24	230000	230000	230000	1	700000	4020000	5000	4020035	3750	4020036	1250	4020034	1250
1225	2	1	101	25	240000	240000	240000	1	780000	4020000	5500	4020035	4800	4020036	1600	4020034	1600
1226	2	1	101	26	250000	250000	250000	1	860000	4020000	6000	4020035	6000	4020036	2000	4020034	2000
1301	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1302	3	1	1	2	10000	10000	10000	1	3000	4020000	1	4020003	1	4020001	1	4020002	1
1303	3	1	1	3	20000	20000	20000	1	6000	4020000	10	4020003	3	4020001	2	4020002	2
1304	3	1	10	4	30000	30000	30000	1	10000	4020000	15	4020006	6	4020004	3	4020005	3
1305	3	1	16	5	40000	40000	40000	1	20000	4020000	20	4020006	12	4020004	4	4020005	4
1306	3	1	22	6	50000	50000	50000	1	40000	4020000	30	4020009	18	4020007	8	4020008	8
1307	3	1	28	7	60000	60000	60000	1	60000	4020000	40	4020012	24	4020010	8	4020011	8
1308	3	1	34	8	70000	70000	70000	1	80000	4020000	60	4020012	30	4020010	10	4020011	10
1309	3	1	40	9	80000	80000	80000	1	100000	4020000	90	4020015	45	4020013	15	4020014	15
1310	3	1	45	10	90000	90000	90000	1	120000	4020000	120	4020015	60	4020013	20	4020014	20
1311	3	1	50	11	100000	100000	100000	1	140000	4020000	200	4020018	96	4020016	32	4020017	32
1312	3	1	55	12	110000	110000	110000	1	160000	4020000	320	4020018	144	4020016	48	4020017	48
1313	3	1	60	13	120000	120000	120000	1	180000	4020000	400	4020021	192	4020019	64	4020020	64
1314	3	1	65	14	130000	130000	130000	1	200000	4020000	600	4020021	200	4020019	96	4020020	96
1315	3	1	70	15	140000	140000	140000	1	240000	4020000	800	4020024	384	4020022	128	4020023	128
1316	3	1	75	16	150000	150000	150000	1	280000	4020000	1250	4020024	600	4020022	200	4020023	200
1317	3	1	80	17	160000	160000	160000	1	320000	4020000	2240	4020027	900	4020025	300	4020026	300
1318	3	1	85	18	170000	170000	170000	1	360000	4020000	2350	4020030	1125	4020028	380	4020029	380
1319	3	1	90	19	180000	180000	180000	1	400000	4020000	2500	4020033	1350	4020031	450	4020032	450
1320	3	1	95	20	190000	190000	190000	1	460000	4020000	2800	4020036	1500	4020034	500	4020035	500
1321	3	1	101	21	200000	200000	200000	1	520000	4020000	3500	4020036	1800	4020034	600	4020035	600
1322	3	1	101	22	210000	210000	210000	1	580000	4020000	4000	4020036	2250	4020034	750	4020035	750
1323	3	1	101	23	220000	220000	220000	1	640000	4020000	4500	4020036	2700	4020034	900	4020035	900
1324	3	1	101	24	230000	230000	230000	1	700000	4020000	5000	4020036	3750	4020034	1250	4020035	1250
1325	3	1	101	25	240000	240000	240000	1	780000	4020000	5500	4020036	4800	4020034	1600	4020035	1600
1326	3	1	101	26	250000	250000	250000	1	860000	4020000	6000	4020036	6000	4020034	2000	4020035	2000
2101	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2102	1	2	1	2	10000	10000	10000	1	3000	4020000	1	4020001	1	4020002	1	4020003	1
2103	1	2	1	3	20000	20000	20000	1	6000	4020000	10	4020001	3	4020002	2	4020003	2
2104	1	2	10	4	30000	30000	30000	1	10000	4020000	15	4020004	6	4020005	3	4020006	3
2105	1	2	16	5	40000	40000	40000	1	20000	4020000	20	4020004	12	4020005	4	4020006	4
2106	1	2	22	6	50000	50000	50000	1	40000	4020000	30	4020007	18	4020008	8	4020009	8
2107	1	2	28	7	60000	60000	60000	1	60000	4020000	40	4020010	24	4020011	8	4020012	8
2108	1	2	34	8	70000	70000	70000	1	80000	4020000	60	4020010	30	4020011	10	4020012	10
2109	1	2	40	9	80000	80000	80000	1	100000	4020000	90	4020013	45	4020014	15	4020015	15
2110	1	2	45	10	90000	90000	90000	1	120000	4020000	120	4020013	60	4020014	20	4020015	20
2111	1	2	50	11	100000	100000	100000	1	140000	4020000	200	4020016	96	4020017	32	4020018	32
2112	1	2	55	12	110000	110000	110000	1	160000	4020000	320	4020016	144	4020017	48	4020018	48
2113	1	2	60	13	120000	120000	120000	1	180000	4020000	400	4020019	192	4020020	64	4020021	64
2114	1	2	65	14	130000	130000	130000	1	200000	4020000	600	4020019	200	4020020	96	4020021	96
2115	1	2	70	15	140000	140000	140000	1	240000	4020000	800	4020022	384	4020023	128	4020024	128
2116	1	2	75	16	150000	150000	150000	1	280000	4020000	1250	4020022	600	4020023	200	4020024	200
2117	1	2	80	17	160000	160000	160000	1	320000	4020000	2240	4020025	900	4020026	300	4020027	300
2118	1	2	85	18	170000	170000	170000	1	360000	4020000	2350	4020028	1125	4020029	380	4020030	380
2119	1	2	90	19	180000	180000	180000	1	400000	4020000	2500	4020031	1350	4020032	450	4020033	450
2120	1	2	95	20	190000	190000	190000	1	460000	4020000	2800	4020034	1500	4020035	500	4020036	500
2121	1	2	101	21	200000	200000	200000	1	520000	4020000	3500	4020034	1800	4020035	600	4020036	600
2122	1	2	101	22	210000	210000	210000	1	580000	4020000	4000	4020034	2250	4020035	750	4020036	750
2123	1	2	101	23	220000	220000	220000	1	640000	4020000	4500	4020034	2700	4020035	900	4020036	900
2124	1	2	101	24	230000	230000	230000	1	700000	4020000	5000	4020034	3750	4020035	1250	4020036	1250
2125	1	2	101	25	240000	240000	240000	1	780000	4020000	5500	4020034	4800	4020035	1600	4020036	1600
2126	1	2	101	26	250000	250000	250000	1	860000	4020000	6000	4020034	6000	4020035	2000	4020036	2000
2201	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2202	2	2	1	2	10000	10000	10000	1	3000	4020000	1	4020002	1	4020003	1	4020001	1
2203	2	2	1	3	20000	20000	20000	1	6000	4020000	10	4020002	3	4020003	2	4020001	2
2204	2	2	10	4	30000	30000	30000	1	10000	4020000	15	4020005	6	4020006	3	4020004	3
2205	2	2	16	5	40000	40000	40000	1	20000	4020000	20	4020005	12	4020006	4	4020004	4
2206	2	2	22	6	50000	50000	50000	1	40000	4020000	30	4020008	18	4020009	8	4020007	8
2207	2	2	28	7	60000	60000	60000	1	60000	4020000	40	4020011	24	4020012	8	4020010	8
2208	2	2	34	8	70000	70000	70000	1	80000	4020000	60	4020011	30	4020012	10	4020010	10
2209	2	2	40	9	80000	80000	80000	1	100000	4020000	90	4020014	45	4020015	15	4020013	15
2210	2	2	45	10	90000	90000	90000	1	120000	4020000	120	4020014	60	4020015	20	4020013	20
2211	2	2	50	11	100000	100000	100000	1	140000	4020000	200	4020017	96	4020018	32	4020016	32
2212	2	2	55	12	110000	110000	110000	1	160000	4020000	320	4020017	144	4020018	48	4020016	48
2213	2	2	60	13	120000	120000	120000	1	180000	4020000	400	4020020	192	4020021	64	4020019	64
2214	2	2	65	14	130000	130000	130000	1	200000	4020000	600	4020020	200	4020021	96	4020019	96
2215	2	2	70	15	140000	140000	140000	1	240000	4020000	800	4020023	384	4020024	128	4020022	128
2216	2	2	75	16	150000	150000	150000	1	280000	4020000	1250	4020023	600	4020024	200	4020022	200
2217	2	2	80	17	160000	160000	160000	1	320000	4020000	2240	4020026	900	4020027	300	4020025	300
2218	2	2	85	18	170000	170000	170000	1	360000	4020000	2350	4020029	1125	4020030	380	4020028	380
2219	2	2	90	19	180000	180000	180000	1	400000	4020000	2500	4020032	1350	4020033	450	4020031	450
2220	2	2	95	20	190000	190000	190000	1	460000	4020000	2800	4020035	1500	4020036	500	4020034	500
2221	2	2	101	21	200000	200000	200000	1	520000	4020000	3500	4020035	1800	4020036	600	4020034	600
2222	2	2	101	22	210000	210000	210000	1	580000	4020000	4000	4020035	2250	4020036	750	4020034	750
2223	2	2	101	23	220000	220000	220000	1	640000	4020000	4500	4020035	2700	4020036	900	4020034	900
2224	2	2	101	24	230000	230000	230000	1	700000	4020000	5000	4020035	3750	4020036	1250	4020034	1250
2225	2	2	101	25	240000	240000	240000	1	780000	4020000	5500	4020035	4800	4020036	1600	4020034	1600
2226	2	2	101	26	250000	250000	250000	1	860000	4020000	6000	4020035	6000	4020036	2000	4020034	2000
2301	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2302	3	2	1	2	10000	10000	10000	1	3000	4020000	1	4020003	1	4020001	1	4020002	1
2303	3	2	1	3	20000	20000	20000	1	6000	4020000	10	4020003	3	4020001	2	4020002	2
2304	3	2	10	4	30000	30000	30000	1	10000	4020000	15	4020006	6	4020004	3	4020005	3
2305	3	2	16	5	40000	40000	40000	1	20000	4020000	20	4020006	12	4020004	4	4020005	4
2306	3	2	22	6	50000	50000	50000	1	40000	4020000	30	4020009	18	4020007	8	4020008	8
2307	3	2	28	7	60000	60000	60000	1	60000	4020000	40	4020012	24	4020010	8	4020011	8
2308	3	2	34	8	70000	70000	70000	1	80000	4020000	60	4020012	30	4020010	10	4020011	10
2309	3	2	40	9	80000	80000	80000	1	100000	4020000	90	4020015	45	4020013	15	4020014	15
2310	3	2	45	10	90000	90000	90000	1	120000	4020000	120	4020015	60	4020013	20	4020014	20
2311	3	2	50	11	100000	100000	100000	1	140000	4020000	200	4020018	96	4020016	32	4020017	32
2312	3	2	55	12	110000	110000	110000	1	160000	4020000	320	4020018	144	4020016	48	4020017	48
2313	3	2	60	13	120000	120000	120000	1	180000	4020000	400	4020021	192	4020019	64	4020020	64
2314	3	2	65	14	130000	130000	130000	1	200000	4020000	600	4020021	200	4020019	96	4020020	96
2315	3	2	70	15	140000	140000	140000	1	240000	4020000	800	4020024	384	4020022	128	4020023	128
2316	3	2	75	16	150000	150000	150000	1	280000	4020000	1250	4020024	600	4020022	200	4020023	200
2317	3	2	80	17	160000	160000	160000	1	320000	4020000	2240	4020027	900	4020025	300	4020026	300
2318	3	2	85	18	170000	170000	170000	1	360000	4020000	2350	4020030	1125	4020028	380	4020029	380
2319	3	2	90	19	180000	180000	180000	1	400000	4020000	2500	4020033	1350	4020031	450	4020032	450
2320	3	2	95	20	190000	190000	190000	1	460000	4020000	2800	4020036	1500	4020034	500	4020035	500
2321	3	2	101	21	200000	200000	200000	1	520000	4020000	3500	4020036	1800	4020034	600	4020035	600
2322	3	2	101	22	210000	210000	210000	1	580000	4020000	4000	4020036	2250	4020034	750	4020035	750
2323	3	2	101	23	220000	220000	220000	1	640000	4020000	4500	4020036	2700	4020034	900	4020035	900
2324	3	2	101	24	230000	230000	230000	1	700000	4020000	5000	4020036	3750	4020034	1250	4020035	1250
2325	3	2	101	25	240000	240000	240000	1	780000	4020000	5500	4020036	4800	4020034	1600	4020035	1600
2326	3	2	101	26	250000	250000	250000	1	860000	4020000	6000	4020036	6000	4020034	2000	4020035	2000
