ID	层类型	层首领模型	简单战斗力百分比	简单等级浮动	简单怪物星级浮动	中等战斗力百分比	中等等级浮动	中等怪物星级浮动	困难战斗力百分比	困难等级浮动	困难怪物星级浮动	奖励	开箱子	状态1消耗积分	状态2消耗积分	状态3消耗积分
17	1	1000009	6572	38:42	5:6	7886	27:33	6:7	9200	29:35	6:7	0	0	0	0	0
18	2	0	0	0	0	0	0	0	0	0	0	20352	20370	0	0	0
19	1	1000010	7558	25:30	5:6	9069	33:39	6:7	10580	35:41	6:7	0	0	0	0	0
20	2	0	0	0	0	0	0	0	0	0	0	20353	20371	0	0	0
21	1	1000001	6572	31:36	5:6	7886	27:34	6:7	9200	29:36	6:7	0	0	0	0	0
22	3	0	0	0	0	0	0	0	0	0	0	0	0	80001:5:1000,80004:5:1000,80007:5:1000,80010:5:1000,80013:5:1000,80016:5:1000,80019:5:1000,80022:5:1000,80041:5:1000,80044:5:1000	80002:20:1000,80005:20:1000,80008:20:1000,80011:20:1000,80014:20:1000,80017:20:1000,80020:20:1000,80023:20:1000,80042:20:1000,80045:20:1000	80003:40:1000,80006:40:1000,80009:40:1000,80012:40:1000,80015:40:1000,80018:40:1000,80021:40:1000,80024:40:1000,80043:40:1000,80046:40:1000
23	1	1000002	7230	38:43	5:6	8675	33:40	6:7	10120	35:42	6:7	0	0	0	0	0
24	2	0	0	0	0	0	0	0	0	0	0	20354	20372	0	0	0
25	1	1000003	7953	25:31	5:6	9543	27:35	6:7	11132	29:37	6:7	0	0	0	0	0
26	3	0	0	0	0	0	0	0	0	0	0	0	0	80001:5:1000,80004:5:1000,80007:5:1000,80010:5:1000,80013:5:1000,80016:5:1000,80019:5:1000,80022:5:1000,80041:5:1000,80044:5:1000	80002:20:1000,80005:20:1000,80008:20:1000,80011:20:1000,80014:20:1000,80017:20:1000,80020:20:1000,80023:20:1000,80042:20:1000,80045:20:1000	80003:40:1000,80006:40:1000,80009:40:1000,80012:40:1000,80015:40:1000,80018:40:1000,80021:40:1000,80024:40:1000,80043:40:1000,80046:40:1000
27	1	1000004	8749	31:37	5:6	10498	33:41	6:7	12246	35:43	6:7	0	0	0	0	0
28	2	0	0	0	0	0	0	0	0	0	0	20355	20373	0	0	0
29	1	1000005	9624	38:44	5:6	11548	27:36	6:7	13471	29:38	6:7	0	0	0	0	0
30	2	0	0	0	0	0	0	0	0	0	0	20356	20374	0	0	0
31	1	1000006	8749	25:32	5:6	10498	33:42	6:7	12246	35:44	6:7	0	0	0	0	0
32	3	0	0	0	0	0	0	0	0	0	0	0	0	80001:5:1000,80004:5:1000,80007:5:1000,80010:5:1000,80013:5:1000,80016:5:1000,80019:5:1000,80022:5:1000,80041:5:1000,80044:5:1000	80002:20:1000,80005:20:1000,80008:20:1000,80011:20:1000,80014:20:1000,80017:20:1000,80020:20:1000,80023:20:1000,80042:20:1000,80045:20:1000	80003:40:1000,80006:40:1000,80009:40:1000,80012:40:1000,80015:40:1000,80018:40:1000,80021:40:1000,80024:40:1000,80043:40:1000,80046:40:1000
33	1	1000007	9362	31:38	5:6	11233	27:37	6:7	13104	29:39	6:7	0	0	0	0	0
34	2	0	0	0	0	0	0	0	0	0	0	20357	20375	0	0	0
35	1	1000008	10018	38:45	5:6	12020	33:43	6:7	14022	35:45	6:7	0	0	0	0	0
36	3	0	0	0	0	0	0	0	0	0	0	0	0	80001:5:1000,80004:5:1000,80007:5:1000,80010:5:1000,80013:5:1000,80016:5:1000,80019:5:1000,80022:5:1000,80041:5:1000,80044:5:1000	80002:20:1000,80005:20:1000,80008:20:1000,80011:20:1000,80014:20:1000,80017:20:1000,80020:20:1000,80023:20:1000,80042:20:1000,80045:20:1000	80003:40:1000,80006:40:1000,80009:40:1000,80012:40:1000,80015:40:1000,80018:40:1000,80021:40:1000,80024:40:1000,80043:40:1000,80046:40:1000
37	1	1000009	10720	25:33	5:6	12862	27:38	6:7	15004	29:40	6:7	0	0	0	0	0
38	2	0	0	0	0	0	0	0	0	0	0	20358	20376	0	0	0
39	1	1000010	11471	31:39	5:6	13763	33:44	6:7	16055	35:46	6:7	0	0	0	0	0
40	2	0	0	0	0	0	0	0	0	0	0	20359	20377	0	0	0
41	1	1000001	10720	38:46	5:6	12862	27:39	6:7	15004	29:41	6:7	0	0	0	0	0
42	3	0	0	0	0	0	0	0	0	0	0	0	0	80001:5:1000,80004:5:1000,80007:5:1000,80010:5:1000,80013:5:1000,80016:5:1000,80019:5:1000,80022:5:1000,80041:5:1000,80044:5:1000	80002:20:1000,80005:20:1000,80008:20:1000,80011:20:1000,80014:20:1000,80017:20:1000,80020:20:1000,80023:20:1000,80042:20:1000,80045:20:1000	80003:40:1000,80006:40:1000,80009:40:1000,80012:40:1000,80015:40:1000,80018:40:1000,80021:40:1000,80024:40:1000,80043:40:1000,80046:40:1000
43	1	1000002	11256	25:34	5:6	13506	33:45	6:7	15755	35:47	6:7	0	0	0	0	0
44	2	0	0	0	0	0	0	0	0	0	0	20360	20378	0	0	0
45	1	1000003	11819	31:40	5:6	14182	27:40	6:7	16543	29:42	6:7	0	0	0	0	0
46	3	0	0	0	0	0	0	0	0	0	0	0	0	80001:5:1000,80004:5:1000,80007:5:1000,80010:5:1000,80013:5:1000,80016:5:1000,80019:5:1000,80022:5:1000,80041:5:1000,80044:5:1000	80002:20:1000,80005:20:1000,80008:20:1000,80011:20:1000,80014:20:1000,80017:20:1000,80020:20:1000,80023:20:1000,80042:20:1000,80045:20:1000	80003:40:1000,80006:40:1000,80009:40:1000,80012:40:1000,80015:40:1000,80018:40:1000,80021:40:1000,80024:40:1000,80043:40:1000,80046:40:1000
47	1	1000004	12410	38:47	5:6	14892	33:46	6:7	17371	35:48	6:7	0	0	0	0	0
48	2	0	0	0	0	0	0	0	0	0	0	20361	20379	0	0	0
49	1	1000005	13031	25:35	5:6	15637	27:41	6:7	18240	29:43	6:7	0	0	0	0	0
50	2	0	0	0	0	0	0	0	0	0	0	20362	20380	0	0	0
51	1	1000006	12410	31:41	5:6	14892	33:47	6:7	17371	35:49	6:7	0	0	0	0	0
52	3	0	0	0	0	0	0	0	0	0	0	0	0	80001:5:1000,80004:5:1000,80007:5:1000,80010:5:1000,80013:5:1000,80016:5:1000,80019:5:1000,80022:5:1000,80041:5:1000,80044:5:1000	80002:20:1000,80005:20:1000,80008:20:1000,80011:20:1000,80014:20:1000,80017:20:1000,80020:20:1000,80023:20:1000,80042:20:1000,80045:20:1000	80003:40:1000,80006:40:1000,80009:40:1000,80012:40:1000,80015:40:1000,80018:40:1000,80021:40:1000,80024:40:1000,80043:40:1000,80046:40:1000
53	1	1000007	12783	38:48	5:6	15339	27:42	6:7	17893	29:44	6:7	0	0	0	0	0
54	2	0	0	0	0	0	0	0	0	0	0	20363	20381	0	0	0
55	1	1000008	13167	25:36	5:6	15800	33:48	6:7	18430	35:50	6:7	0	0	0	0	0
56	3	0	0	0	0	0	0	0	0	0	0	0	0	80001:5:1000,80004:5:1000,80007:5:1000,80010:5:1000,80013:5:1000,80016:5:1000,80019:5:1000,80022:5:1000,80041:5:1000,80044:5:1000	80002:20:1000,80005:20:1000,80008:20:1000,80011:20:1000,80014:20:1000,80017:20:1000,80020:20:1000,80023:20:1000,80042:20:1000,80045:20:1000	80003:40:1000,80006:40:1000,80009:40:1000,80012:40:1000,80015:40:1000,80018:40:1000,80021:40:1000,80024:40:1000,80043:40:1000,80046:40:1000
57	1	1000009	13563	31:42	5:6	16274	27:43	6:7	18983	29:45	6:7	0	0	0	0	0
58	2	0	0	0	0	0	0	0	0	0	0	20364	20382	0	0	0
59	1	1000010	13970	38:49	5:6	16763	33:49	6:7	19553	35:51	6:7	0	0	0	0	0
60	2	0	0	0	0	0	0	0	0	0	0	20365	20383	0	0	0
