ID	玩家体力	战队经验	12资质卡片经验	13资质卡片经验	14资质卡片经验	15资质卡片经验	社团训练所增加经验/分钟	好感度阶段1经验	好感度阶段2经验	好感度阶段3经验	好感度阶段4经验	好感度阶段5经验	好感度阶段6经验	好感度阶段7经验	特殊装备经验	第一战魂经验	第二战魂经验	第三战魂经验	第四战魂经验
45	124	1420	39600	46200	59400	79200	52	100	110	120	140	160	180	200	440	0	0	0	0
46	125	1520	44399	51800	66600	88800	59	110	120	130	150	170	190	210	480	0	0	0	0
47	126	1620	49199	57399	73799	98398	65	110	120	130	150	170	190	210	520	0	0	0	0
48	127	1720	53999	62999	80999	107998	71	110	120	130	150	170	190	210	560	0	0	0	0
49	128	1820	58800	68600	88200	117600	78	110	120	130	150	170	190	210	600	0	0	0	0
50	129	1920	64799	75600	97199	129600	85	110	120	130	150	170	190	210	640	0	0	0	0
51	130	2160	79200	92400	118799	158400	104	120	130	140	160	180	200	220	680	0	0	0	0
52	131	2400	86400	100800	129599	172800	114	120	130	140	160	180	200	220	720	0	0	0	0
53	132	2640	94800	110600	142199	189600	125	120	130	140	160	180	200	220	760	0	0	0	0
54	133	2880	103199	120399	154799	206398	136	120	130	140	160	180	200	220	800	0	0	0	0
55	134	3120	115200	134400	172799	230400	152	120	130	140	160	180	200	220	840	0	0	0	0
56	135	3360	132000	154000	197999	264000	174	130	140	150	170	190	210	230	880	0	0	0	0
57	136	3600	144000	168000	215999	288000	189	130	140	150	170	190	210	230	920	0	0	0	0
58	137	3840	156000	182000	233999	312000	205	130	140	150	170	190	210	230	960	0	0	0	0
59	138	4080	168000	196000	251999	336000	221	130	140	150	170	190	210	230	1000	0	0	0	0
60	139	4320	192000	224000	287999	384000	252	130	140	150	170	190	210	230	1080	0	0	0	0
61	140	4560	240000	280000	359999	480000	315	140	150	160	180	200	220	240	1160	0	0	0	0
62	141	4920	264000	308000	395999	528000	347	140	150	160	180	200	220	240	1240	0	0	0	0
63	142	5280	300000	350000	449999	600000	394	140	150	160	180	200	220	240	1320	0	0	0	0
64	143	5640	324000	378000	485999	648000	425	140	150	160	180	200	220	240	1400	0	0	0	0
65	144	6000	360000	420000	539999	720000	473	140	150	160	180	200	220	240	1480	0	0	0	0
66	145	6360	384000	448000	575999	768000	504	150	160	170	190	210	230	250	1560	0	0	0	0
67	146	6720	419999	489999	629999	839998	551	150	160	170	190	210	230	250	1640	0	0	0	0
68	147	7080	468000	546000	701999	936000	614	150	160	170	190	210	230	250	1720	0	0	0	0
69	148	7440	504000	588000	755999	1008000	662	150	160	170	190	210	230	250	1800	0	0	0	0
70	149	7800	576000	672000	863999	1152000	756	150	160	170	190	210	230	250	1920	0	0	0	0
71	150	8820	636000	742000	953999	1272000	835	160	170	180	200	220	240	260	2040	0	0	0	0
72	151	9880	720000	840000	1079999	1440000	945	160	170	180	200	220	240	260	2160	0	0	0	0
73	152	10940	791999	923999	1187999	1583998	1039	160	170	180	200	220	240	260	2280	0	0	0	0
74	153	12000	875999	1021999	1313999	1751998	1150	160	170	180	200	220	240	260	2400	0	0	0	0
75	154	13060	1043999	1218000	1565999	2088000	1370	160	170	180	200	220	240	260	2520	0	0	0	0
76	155	14120	1188000	1386000	1781999	2376000	1559	170	180	190	210	230	250	270	2640	0	0	0	0
77	156	15180	1320000	1540000	1979999	2640000	1732	170	180	190	210	230	250	270	2760	0	0	0	0
78	157	16240	1440000	1680000	2159999	2880000	1889	170	180	190	210	230	250	270	2880	0	0	0	0
79	158	17300	1679999	1959999	2519999	3359998	2204	170	180	190	210	230	250	270	3000	0	0	0	0
80	159	18360	1679999	1959999	2519999	3359998	2204	170	180	190	210	230	250	270	3200	0	0	0	0
81	160	18840	1679999	1959999	2519999	3359998	2204	180	190	200	220	240	260	280	3400	0	0	0	0
82	161	19320	1679999	1959999	2519999	3359998	2204	180	190	200	220	240	260	280	3600	0	0	0	0
83	162	19800	1800000	2100000	2699999	3600000	2362	180	190	200	220	240	260	280	3800	0	0	0	0
84	163	20280	1800000	2100000	2699999	3600000	2362	180	190	200	220	240	260	280	4000	0	0	0	0
85	164	20760	1920000	2240000	2879999	3840000	2519	180	190	200	220	240	260	280	4200	0	0	0	0
86	165	21240	2040000	2380000	3059999	4080000	2676	190	200	210	230	250	270	290	4400	0	0	0	0
87	166	21720	2160000	2520000	3239999	4320000	2834	190	200	210	230	250	270	290	4600	0	0	0	0
88	167	22200	2280000	2660000	3419999	4560000	2991	190	200	210	230	250	270	290	4800	0	0	0	0
89	168	22680	2400000	2800000	3599999	4800000	3149	190	200	210	230	250	270	290	5000	0	0	0	0
90	169	23160	2160000	2520000	3239999	4320000	2834	190	200	210	230	250	270	290	5200	0	0	0	0
91	170	24120	2220000	2590000	3329999	4440000	2913	200	210	220	240	260	280	300	5400	0	0	0	0
92	171	24720	2280000	2660000	3419999	4560000	2991	200	210	220	240	260	280	300	5600	0	0	0	0
93	172	25320	2340000	2730000	3509999	4680000	3070	200	210	220	240	260	280	300	5800	0	0	0	0
94	173	25920	2400000	2800000	3599999	4800000	3149	200	210	220	240	260	280	300	6000	0	0	0	0
95	174	26520	2472000	2884000	3707999	4944000	3243	200	210	220	240	260	280	300	6200	0	0	0	0
96	175	27120	2544000	2968000	3815999	5088000	3338	210	220	230	250	270	290	310	6400	0	0	0	0
97	176	27720	2616000	3052000	3923999	5232000	3432	210	220	230	250	270	290	310	6600	0	0	0	0
98	177	28320	2688000	3136000	4031999	5376000	3526	210	220	230	250	270	290	310	6800	0	0	0	0
99	178	28920	2760000	3220000	4140000	5520000	3621	210	220	230	250	270	290	310	7000	0	0	0	0
100	179	29520	2832000	3304000	4248000	5664000	3715	210	220	230	250	270	290	310	7200	0	0	0	0
101	180	30120	2904000	3388000	4356000	5808000	3810	220	230	240	260	280	300	320	7400	0	0	0	0
102	181	30720	2976000	3472000	4464000	5952000	3904	220	230	240	260	280	300	320	7600	0	0	0	0
103	182	31320	3048000	3556000	4572000	6096000	3999	220	230	240	260	280	300	320	7800	0	0	0	0
104	183	31920	3120000	3640000	4680000	6239999	4093	220	230	240	260	280	300	320	8000	0	0	0	0
105	184	32520	3192000	3724000	4788000	6383999	4188	220	230	240	260	280	300	320	8200	0	0	0	0
