缘分ID	缘分名称	缘分说明	缘分类型	缘分影响	技能实际结果	条件卡片	攻击加成	防御加成	生命加成	缘分所属
90082	Card_YokeNameId_36	Card_YokeExplainId_36	4	1	0	1000003,1000007,1000019,1000008,1000005	0	35	2000	1000008
90092	Card_YokeNameId_37	Card_YokeExplainId_37	4	1	0	1000005,1000017,1000009	2000	36	0	1000009
90102	Card_YokeNameId_38	Card_YokeExplainId_38	4	1	0	1000010,1000008,1000016	2000	37	0	1000010
90112	Card_YokeNameId_39	Card_YokeExplainId_39	4	1	0	1000001,1000011,1000019	2000	38	0	1000011
90122	Card_YokeNameId_40	Card_YokeExplainId_40	4	1	0	1000012,1000001,1000011,1000019	0	39	2500	1000012
90132	Card_YokeNameId_41	Card_YokeExplainId_41	4	1	0	1000013,1000015,1000028,1000027	2500	40	0	1000013
90142	Card_YokeNameId_42	Card_YokeExplainId_42	4	1	0	1000028,1000018,1000014,1000002,1000016	2500	41	0	1000014
90152	Card_YokeNameId_43	Card_YokeExplainId_43	4	1	0	1000015,1000012,1000028,1000027,1000024	2500	42	0	1000015
90162	Card_YokeNameId_44	Card_YokeExplainId_44	4	1	0	1000003,1000007,1000019,1000008,1000005	0	43	2000	1000016
90172	Card_YokeNameId_45	Card_YokeExplainId_45	4	1	0	1000006,1000017,1000014,1000020	2000	44	0	1000017
90182	Card_YokeNameId_46	Card_YokeExplainId_46	4	1	0	1000028,1000018,1000014,1000002,1000016	2000	45	0	1000018
90192	Card_YokeNameId_47	Card_YokeExplainId_47	4	1	0	1000001,1000011,1000019	2000	46	0	1000019
90202	Card_YokeNameId_48	Card_YokeExplainId_48	4	1	0	1000020,1000001	0	47	2000	1000020
90212	Card_YokeNameId_49	Card_YokeExplainId_49	4	1	0	1000007,1000025,1000021	2000	48	0	1000021
90222	Card_YokeNameId_50	Card_YokeExplainId_50	4	1	0	1000023,1000014,1000028	2000	49	0	1000022
90232	Card_YokeNameId_51	Card_YokeExplainId_51	4	1	0	1000019,1000026,1000022	2000	50	0	1000023
90242	Card_YokeNameId_52	Card_YokeExplainId_52	4	1	0	1000026,1000008,1000027,1000024	2000	51	0	1000024
90252	Card_YokeNameId_53	Card_YokeExplainId_53	4	1	0	1000025,1000026	2000	52	0	1000025
90262	Card_YokeNameId_54	Card_YokeExplainId_54	4	1	0	1000028,1000005,1000026	2000	53	0	1000026
90272	Card_YokeNameId_55	Card_YokeExplainId_55	4	1	0	1000026,1000008,1000027,1000024	2000	54	0	1000027
90282	Card_YokeNameId_56	Card_YokeExplainId_56	4	1	0	1000028,1000018,1000014,1000002,1000016	2000	55	0	1000028
90013	Card_YokeNameId_57	Card_YokeExplainId_57	4	1	0	1000001,1000020	2000	56	0	1000001
90023	Card_YokeNameId_58	Card_YokeExplainId_58	4	1	0	1000028,1000018,1000014,1000002,1000016	2000	57	0	1000002
90033	Card_YokeNameId_59	Card_YokeExplainId_59	4	1	0	1000017,1000009,1000003	2000	58	0	1000003
90043	Card_YokeNameId_60	Card_YokeExplainId_60	4	1	0	1000018,1000021,1000004	0	59	2000	1000004
90053	Card_YokeNameId_61	Card_YokeExplainId_61	4	1	0	1000028,1000005,1000026	2000	60	0	1000005
90063	Card_YokeNameId_62	Card_YokeExplainId_62	4	1	0	1000021,1000022,1000016	0	61	2000	1000006
90073	Card_YokeNameId_63	Card_YokeExplainId_63	4	1	0	1000002,1000010,1000023,1000007,1000022	2000	62	0	1000007
90083	Card_YokeNameId_64	Card_YokeExplainId_64	4	1	0	1000026,1000008,1000027,1000024	2000	63	0	1000008
90093	Card_YokeNameId_65	Card_YokeExplainId_65	4	1	0	1000017,1000009,1000003	2000	64	0	1000009
90103	Card_YokeNameId_66	Card_YokeExplainId_66	4	1	0	1000010,1000018,1000002,1000004	0	65	2000	1000010
90113	Card_YokeNameId_67	Card_YokeExplainId_67	4	1	0	1000001,1000011,1000012	2000	66	0	1000011
90123	Card_YokeNameId_68	Card_YokeExplainId_68	4	1	0	1000012,1000026,1000027,1000028	2500	67	0	1000012
90133	Card_YokeNameId_69	Card_YokeExplainId_69	4	1	0	1000013,1000002,1000018,1000020	2500	68	0	1000013
90143	Card_YokeNameId_70	Card_YokeExplainId_70	4	1	0	1000006,1000017,1000014,1000020	2500	69	0	1000014
90153	Card_YokeNameId_71	Card_YokeExplainId_71	4	1	0	1000015,1000028,1000010	2500	70	0	1000015
90163	Card_YokeNameId_72	Card_YokeExplainId_72	4	1	0	1000021,1000022,1000016,1000006	0	71	2000	1000016
90173	Card_YokeNameId_73	Card_YokeExplainId_73	4	1	0	1000017,1000009,1000003	2000	72	0	1000017
90183	Card_YokeNameId_74	Card_YokeExplainId_74	4	1	0	1000018,1000021,1000004	0	73	2000	1000018
90193	Card_YokeNameId_75	Card_YokeExplainId_75	4	1	0	1000003,1000007,1000019,1000008,1000005	0	74	2000	1000019
90203	Card_YokeNameId_76	Card_YokeExplainId_76	4	1	0	1000020,1000028,1000017	0	75	2000	1000020
90213	Card_YokeNameId_77	Card_YokeExplainId_77	4	1	0	1000018,1000021,1000004	0	76	2000	1000021
90223	Card_YokeNameId_78	Card_YokeExplainId_78	4	1	0	1000025,1000023,1000004,1000028	0	77	2000	1000022
90233	Card_YokeNameId_79	Card_YokeExplainId_79	4	1	0	1000002,1000010,1000023,1000007,1000022	2000	78	0	1000023
90243	Card_YokeNameId_80	Card_YokeExplainId_80	4	1	0	1000030,1000027,1000024	2000	79	0	1000024
90253	Card_YokeNameId_81	Card_YokeExplainId_81	4	1	0	1000025,1000023,1000004,1000028	0	80	2000	1000025
90263	Card_YokeNameId_82	Card_YokeExplainId_82	4	1	0	1000026,1000008,1000027,1000024	2000	81	0	1000026
90273	Card_YokeNameId_83	Card_YokeExplainId_83	4	1	0	1000028,1000027,1000024	2000	82	0	1000027
90283	Card_YokeNameId_84	Card_YokeExplainId_84	4	1	0	1000028,1000005,1000026	2000	83	0	1000028
90014	Card_YokeNameId_85	Card_YokeExplainId_85	1	2	70001	2100001	0	84	0	0
90024	Card_YokeNameId_86	Card_YokeExplainId_86	1	2	70002	2100002	0	85	0	0
90034	Card_YokeNameId_87	Card_YokeExplainId_87	1	2	70003	2100003	0	86	0	0
90044	Card_YokeNameId_88	Card_YokeExplainId_88	1	2	70004	2100004	1500	87	0	0
90054	Card_YokeNameId_89	Card_YokeExplainId_89	1	2	70005	2100005	0	88	0	0
90064	Card_YokeNameId_90	Card_YokeExplainId_90	1	2	70006	2100006	0	89	0	0
90074	Card_YokeNameId_91	Card_YokeExplainId_91	1	2	70007	2100007	0	90	0	0
90084	Card_YokeNameId_92	Card_YokeExplainId_92	1	2	70008	2100008	0	91	0	0
90094	Card_YokeNameId_93	Card_YokeExplainId_93	1	2	70009	2100009	1500	92	0	0
90104	Card_YokeNameId_94	Card_YokeExplainId_94	1	2	70010	2100010	0	93	0	0
90114	Card_YokeNameId_95	Card_YokeExplainId_95	1	2	70011	2100011	0	94	0	0
90124	Card_YokeNameId_96	Card_YokeExplainId_96	1	2	70012	2100012	0	95	0	0
90134	Card_YokeNameId_97	Card_YokeExplainId_97	1	2	70013	2100013	0	96	0	0
90144	Card_YokeNameId_98	Card_YokeExplainId_98	1	2	70014	2100014	0	97	0	0
90154	Card_YokeNameId_99	Card_YokeExplainId_99	1	2	70015	2100015	0	98	0	0
90164	Card_YokeNameId_100	Card_YokeExplainId_100	1	2	70016	2100016	0	99	0	0
90174	Card_YokeNameId_101	Card_YokeExplainId_101	1	2	70017	2100017	1500	100	0	0
90184	Card_YokeNameId_102	Card_YokeExplainId_102	1	2	70018	2100018	1500	101	0	0
90194	Card_YokeNameId_103	Card_YokeExplainId_103	1	2	70019	2100019	0	102	0	0
90204	Card_YokeNameId_104	Card_YokeExplainId_104	1	2	70020	2100020	1500	103	0	0
90214	Card_YokeNameId_105	Card_YokeExplainId_105	1	2	70021	2100021	1500	104	0	0
90224	Card_YokeNameId_106	Card_YokeExplainId_106	1	2	70022	2100022	1500	105	0	0
90234	Card_YokeNameId_107	Card_YokeExplainId_107	1	2	70023	2100023	1500	106	0	0
90244	Card_YokeNameId_108	Card_YokeExplainId_108	1	2	70024	2100024	1500	107	0	0
90254	Card_YokeNameId_109	Card_YokeExplainId_109	1	2	70025	2100025	1500	108	0	0
90264	Card_YokeNameId_110	Card_YokeExplainId_110	1	2	70026	2100026	0	109	0	0
90274	Card_YokeNameId_111	Card_YokeExplainId_111	1	2	70027	2100027	1500	110	0	0
90284	Card_YokeNameId_112	Card_YokeExplainId_112	1	2	70028	2100028	1500	111	0	0
90015	Card_YokeNameId_113	Card_YokeExplainId_113	2	1	0	3500001	0	112	1500	0
90025	Card_YokeNameId_114	Card_YokeExplainId_114	2	1	0	3500002	0	113	1500	0
90035	Card_YokeNameId_115	Card_YokeExplainId_115	2	1	0	3500003	0	114	1500	0
90045	Card_YokeNameId_116	Card_YokeExplainId_116	2	1	0	3500004	0	115	1500	0
90055	Card_YokeNameId_117	Card_YokeExplainId_117	2	1	0	3500005	0	116	1500	0
90065	Card_YokeNameId_118	Card_YokeExplainId_118	2	1	0	3500004	0	117	1500	0
90075	Card_YokeNameId_119	Card_YokeExplainId_119	2	1	0	3500002	0	118	1500	0
90085	Card_YokeNameId_120	Card_YokeExplainId_120	2	1	0	3500004	0	119	1500	0
90095	Card_YokeNameId_121	Card_YokeExplainId_121	2	1	0	3500001	0	120	1500	0
90105	Card_YokeNameId_122	Card_YokeExplainId_122	2	1	0	3500006	0	121	1500	0
90115	Card_YokeNameId_123	Card_YokeExplainId_123	2	1	0	3500006	0	122	1500	0
90125	Card_YokeNameId_124	Card_YokeExplainId_124	2	1	0	3500006	0	123	1500	0
90135	Card_YokeNameId_125	Card_YokeExplainId_125	2	1	0	3500001	0	124	1500	0
90145	Card_YokeNameId_126	Card_YokeExplainId_126	2	1	0	3500002	0	125	1500	0
90155	Card_YokeNameId_127	Card_YokeExplainId_127	2	1	0	3500006	0	126	1500	0
90165	Card_YokeNameId_128	Card_YokeExplainId_128	2	1	0	3500004	0	127	1500	0
90175	Card_YokeNameId_129	Card_YokeExplainId_129	2	1	0	3500003	0	128	1500	0
90185	Card_YokeNameId_130	Card_YokeExplainId_130	2	1	0	3500003	0	129	1500	0
90195	Card_YokeNameId_131	Card_YokeExplainId_131	2	1	0	3500005	0	130	1500	0
90205	Card_YokeNameId_132	Card_YokeExplainId_132	2	1	0	3500001	0	131	1500	0
90215	Card_YokeNameId_133	Card_YokeExplainId_133	2	1	0	3500004	0	132	1500	0
90225	Card_YokeNameId_134	Card_YokeExplainId_134	2	1	0	3500003	0	133	1500	0
90235	Card_YokeNameId_135	Card_YokeExplainId_135	2	1	0	3500004	0	134	1500	0
90245	Card_YokeNameId_136	Card_YokeExplainId_136	2	1	0	3500006	0	135	1500	0
90255	Card_YokeNameId_137	Card_YokeExplainId_137	2	1	0	3500001	0	136	1500	0
90265	Card_YokeNameId_138	Card_YokeExplainId_138	2	1	0	3500001	0	137	1500	0
90275	Card_YokeNameId_139	Card_YokeExplainId_139	2	1	0	3500006	0	138	1500	0
90285	Card_YokeNameId_140	Card_YokeExplainId_140	2	1	0	3500005	0	139	1500	0
90016	Card_YokeNameId_141	Card_YokeExplainId_141	3	1	0	3500001	1500	140	0	0
90026	Card_YokeNameId_142	Card_YokeExplainId_142	3	1	0	3600001	1500	141	0	0
90036	Card_YokeNameId_143	Card_YokeExplainId_143	3	1	0	3600002	1500	142	0	0
90046	Card_YokeNameId_144	Card_YokeExplainId_144	3	1	0	3600003	1500	143	0	0
90056	Card_YokeNameId_145	Card_YokeExplainId_145	3	1	0	3600003	1500	144	0	0
90066	Card_YokeNameId_146	Card_YokeExplainId_146	3	1	0	3600004	1500	145	0	0
90076	Card_YokeNameId_147	Card_YokeExplainId_147	3	1	0	3600003	1500	146	0	0
90086	Card_YokeNameId_148	Card_YokeExplainId_148	3	1	0	3600002	1500	147	0	0
90096	Card_YokeNameId_149	Card_YokeExplainId_149	3	1	0	3600005	1500	148	0	0
90106	Card_YokeNameId_150	Card_YokeExplainId_150	3	1	0	3600004	1500	149	0	0
90116	Card_YokeNameId_151	Card_YokeExplainId_151	3	1	0	3600002	1500	150	0	0
90126	Card_YokeNameId_152	Card_YokeExplainId_152	3	1	0	3600001	1500	151	0	0
90136	Card_YokeNameId_153	Card_YokeExplainId_153	3	1	0	3600006	1500	152	0	0
90146	Card_YokeNameId_154	Card_YokeExplainId_154	3	1	0	3600001	1500	153	0	0
90156	Card_YokeNameId_155	Card_YokeExplainId_155	3	1	0	3600007	1500	154	0	0
90166	Card_YokeNameId_156	Card_YokeExplainId_156	3	1	0	3600001	1500	155	0	0
90176	Card_YokeNameId_157	Card_YokeExplainId_157	3	1	0	3600002	1500	156	0	0
90186	Card_YokeNameId_158	Card_YokeExplainId_158	3	1	0	3600004	1500	157	0	0
90196	Card_YokeNameId_159	Card_YokeExplainId_159	3	1	0	3600005	1500	158	0	0
90206	Card_YokeNameId_160	Card_YokeExplainId_160	3	1	0	3600006	1500	159	0	0
90216	Card_YokeNameId_161	Card_YokeExplainId_161	3	1	0	3600001	1500	160	0	0
90226	Card_YokeNameId_162	Card_YokeExplainId_162	3	1	0	3600008	1500	161	0	0
90236	Card_YokeNameId_163	Card_YokeExplainId_163	3	1	0	3600007	1500	162	0	0
90246	Card_YokeNameId_164	Card_YokeExplainId_164	3	1	0	3600008	1500	163	0	0
90256	Card_YokeNameId_165	Card_YokeExplainId_165	3	1	0	3600006	1500	164	0	0
90266	Card_YokeNameId_166	Card_YokeExplainId_166	3	1	0	3600001	1500	165	0	0
90276	Card_YokeNameId_167	Card_YokeExplainId_167	3	1	0	3600001	1500	166	0	0
90286	Card_YokeNameId_168	Card_YokeExplainId_168	3	1	0	3600006	1500	167	0	0
