主id	名称	星级	品质	等级	战斗力	头像	宣言	前排怪1	前排怪2	前排怪3	后排1	后排2	后排3
136	光头强38	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
137	光头强39	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
138	光头强40	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
139	光头强41	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
140	光头强42	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
141	光头强43	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
142	光头强44	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
143	光头强45	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
144	光头强46	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
145	光头强47	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
146	光头强48	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
147	光头强49	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
148	光头强50	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
149	光头强51	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
150	光头强1	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
151	光头强2	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
152	光头强3	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
153	光头强4	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
154	光头强5	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
155	光头强6	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
156	光头强7	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
157	光头强8	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
158	光头强9	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
159	光头强10	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
160	光头强11	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
161	光头强12	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
162	光头强13	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
163	光头强14	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
164	光头强15	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
165	光头强16	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
166	光头强17	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
167	光头强18	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
168	光头强19	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
169	光头强20	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
170	光头强21	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
171	光头强22	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
172	光头强23	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
173	光头强24	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
174	光头强25	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
175	光头强26	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
176	光头强27	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
177	光头强28	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
178	光头强29	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
179	光头强30	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
180	光头强31	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
181	光头强32	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
182	光头强33	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
183	光头强34	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
184	光头强35	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
185	光头强36	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
186	光头强37	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
187	光头强38	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
188	光头强39	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
189	光头强40	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
190	光头强41	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
191	光头强42	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
192	光头强43	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
193	光头强44	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
194	光头强45	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
195	光头强46	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
196	光头强47	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
197	光头强48	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
198	光头强49	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
199	光头强50	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
200	光头强51	4	2	15	8030	1	我是超级格斗家	100	109	117	105	104	101
201	光头强52	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
202	光头强53	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
203	光头强54	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
204	光头强55	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
205	光头强56	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
206	光头强57	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
207	光头强58	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
208	光头强59	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
209	光头强60	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
210	光头强61	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
211	光头强62	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
212	光头强63	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
213	光头强64	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
214	光头强65	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
215	光头强66	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
216	光头强67	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
217	光头强68	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
218	光头强69	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
219	光头强70	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
220	光头强71	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
221	光头强72	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
222	光头强73	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
223	光头强74	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
224	光头强75	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
225	光头强76	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
226	光头强77	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
227	光头强78	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
228	光头强79	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
229	光头强80	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
230	光头强81	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
231	光头强82	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
232	光头强83	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
233	光头强84	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
234	光头强85	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
235	光头强86	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
236	光头强87	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
237	光头强88	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
238	光头强89	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
239	光头强90	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
240	光头强91	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
241	光头强92	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
242	光头强93	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
243	光头强94	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
244	光头强95	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
245	光头强96	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
246	光头强97	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
247	光头强98	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
248	光头强99	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
249	光头强100	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
250	光头强101	4	1	15	8030	1	我是超级格斗家	100	109	117	105	104	101
251	穆罕穆德超10	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
252	穆罕穆德超11	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
253	穆罕穆德超12	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
254	穆罕穆德超13	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
255	穆罕穆德超14	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
256	穆罕穆德超15	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
257	穆罕穆德超16	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
258	穆罕穆德超17	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
259	穆罕穆德超18	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
260	穆罕穆德超19	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
261	穆罕穆德超20	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
262	穆罕穆德超21	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
263	穆罕穆德超22	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
264	穆罕穆德超23	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
265	穆罕穆德超24	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
266	穆罕穆德超25	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
267	穆罕穆德超26	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
268	穆罕穆德超27	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
269	穆罕穆德超28	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
270	穆罕穆德超29	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
271	穆罕穆德超30	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
272	穆罕穆德超31	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
273	穆罕穆德超32	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
274	穆罕穆德超33	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
275	穆罕穆德超34	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
276	穆罕穆德超35	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
277	穆罕穆德超36	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
278	穆罕穆德超37	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
279	穆罕穆德超38	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
280	穆罕穆德超39	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
281	穆罕穆德超40	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
282	穆罕穆德超41	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
283	穆罕穆德超42	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
284	穆罕穆德超43	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
285	穆罕穆德超44	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
286	穆罕穆德超45	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
287	穆罕穆德超46	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
288	穆罕穆德超47	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
289	穆罕穆德超48	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
290	穆罕穆德超49	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
291	穆罕穆德超50	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
292	穆罕穆德超51	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
293	穆罕穆德超52	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
294	穆罕穆德超53	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
295	穆罕穆德超54	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
296	穆罕穆德超55	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
297	穆罕穆德超56	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
298	穆罕穆德超57	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
299	穆罕穆德超58	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
300	穆罕穆德超59	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
301	穆罕穆德超60	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
302	穆罕穆德超61	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
303	穆罕穆德超62	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
304	穆罕穆德超63	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
305	穆罕穆德超64	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
306	穆罕穆德超65	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
307	穆罕穆德超66	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
308	穆罕穆德超67	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
309	穆罕穆德超68	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
310	穆罕穆德超69	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
311	穆罕穆德超70	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
312	穆罕穆德超71	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
313	穆罕穆德超72	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
314	穆罕穆德超73	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
315	穆罕穆德超74	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
316	穆罕穆德超75	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
317	穆罕穆德超76	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
318	穆罕穆德超77	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
319	穆罕穆德超78	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
320	穆罕穆德超79	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
321	穆罕穆德超80	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
322	穆罕穆德超81	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
323	穆罕穆德超82	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
324	穆罕穆德超83	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
325	穆罕穆德超84	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
326	穆罕穆德超85	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
327	穆罕穆德超86	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
328	穆罕穆德超87	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
329	穆罕穆德超88	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
330	穆罕穆德超89	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
331	穆罕穆德超90	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
332	穆罕穆德超91	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
333	穆罕穆德超92	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
334	穆罕穆德超93	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
335	穆罕穆德超94	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
336	穆罕穆德超95	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
337	穆罕穆德超96	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
338	穆罕穆德超97	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
339	穆罕穆德超98	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
340	穆罕穆德超99	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
341	穆罕穆德超100	4	1	15	6755	1	我是超级格斗家	100	117	119	125	101	124
