地图ID	地图名称	开放时间描述	特殊规则描述	地图背景	地图路线	地图等级需求	地图类型	前置地图	地图开放时间	地图关卡起始ID	宝箱1星数	宝箱2星数	宝箱3星数	宝箱1	宝箱2	宝箱3
121	Map_MapNameId_21			stage_dt01	stage_xl01	1	1	120	0	12101	10	20	30	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000
201	Map_MapNameId_1			stage_dt02	stage_xl02	1	2	0	0	20101	9	0	0	4070010:1,6:1,2:100,1:20000	0	0
202	Map_MapNameId_2			stage_dt02	stage_xl02	1	2	201	0	20201	12	0	0	4070010:1,6:1,2:100,1:24000	0	0
203	Map_MapNameId_3			stage_dt02	stage_xl02	1	2	202	0	20301	12	0	0	4070010:1,6:1,2:100,1:28000	0	0
204	Map_MapNameId_4			stage_dt02	stage_xl02	1	2	203	0	20401	12	0	0	4070010:1,6:1,2:100,1:28000	0	0
205	Map_MapNameId_5			stage_dt02	stage_xl02	1	2	204	0	20501	15	0	0	4070010:1,6:1,2:100,1:28000	0	0
206	Map_MapNameId_6			stage_dt02	stage_xl02	1	2	205	0	20601	15	0	0	4070010:1,6:1,2:100,1:28000	0	0
207	Map_MapNameId_7			stage_dt02	stage_xl02	1	2	206	0	20701	15	0	0	4070010:1,6:1,2:100,1:28000	0	0
208	Map_MapNameId_8			stage_dt02	stage_xl02	1	2	207	0	20801	15	0	0	4070010:1,6:1,2:100,1:28000	0	0
209	Map_MapNameId_9			stage_dt02	stage_xl02	1	2	208	0	20901	15	0	0	4070010:1,6:1,2:100,1:28000	0	0
210	Map_MapNameId_10			stage_dt02	stage_xl02	1	2	209	0	21001	15	0	0	4070010:1,6:1,2:100,1:28000	0	0
211	Map_MapNameId_11			stage_dt02	stage_xl02	1	2	210	0	21101	15	0	0	4070010:1,6:1,2:100,1:28000	0	0
212	Map_MapNameId_12			stage_dt02	stage_xl02	1	2	211	0	21201	15	0	0	4070010:1,6:1,2:100,1:28000	0	0
213	Map_MapNameId_13			stage_dt02	stage_xl02	1	2	212	0	21301	15	0	0	4070010:1,6:1,2:100,1:28000	0	0
214	Map_MapNameId_14			stage_dt02	stage_xl02	1	2	213	0	21401	15	0	0	4070010:1,6:1,2:100,1:28000	0	0
215	Map_MapNameId_15			stage_dt02	stage_xl02	1	2	214	0	21501	15	0	0	4070010:1,6:1,2:100,1:28000	0	0
216	Map_MapNameId_16			stage_dt02	stage_xl02	1	2	215	0	21601	15	0	0	4070010:1,6:1,2:100,1:28000	0	0
217	Map_MapNameId_17			stage_dt02	stage_xl02	1	2	216	0	21701	15	0	0	4070010:1,6:1,2:100,1:28000	0	0
218	Map_MapNameId_18			stage_dt02	stage_xl02	1	2	217	0	21801	15	0	0	4070010:1,6:1,2:100,1:28000	0	0
219	Map_MapNameId_19			stage_dt02	stage_xl02	1	2	218	0	21901	15	0	0	4070010:1,6:1,2:100,1:28000	0	0
220	Map_MapNameId_20			stage_dt02	stage_xl02	1	2	219	0	22001	15	0	0	4070010:1,6:1,2:100,1:28000	0	0
221	Map_MapNameId_21			stage_dt02	stage_xl02	1	2	220	0	22101	15	0	0	4070010:1,6:1,2:100,1:28000	0	0
301	Map_MapNameId_1			stage_dt01	stage_xl01	1	3	0	0	30101	9	0	0	4070010:1,6:1,2:100,1:20000	0	0
302	Map_MapNameId_2			stage_dt01	stage_xl01	1	3	301	0	30102	12	0	0	4070010:1,6:1,2:100,1:24000	0	0
303	Map_MapNameId_3			stage_dt01	stage_xl01	1	3	302	0	30103	12	0	0	4070010:1,6:1,2:100,1:28000	0	0
501	Map_MapNameId_501	OpenTimeDescription_501	RuleDescription_501	Dekaron_Dailystage_dt01	Dekaron_Dailystage_jinbitiaozhan	1	5	0	0	0	0	0	0	4070010,6,4080002,4080001		
601	Map_MapNameId_601	OpenTimeDescription_601	RuleDescription_601	Dekaron_Dailystage_dt01	Dekaron_Dailystage_jingyantiaozhan	1	6	0	0	0	0	0	0	4070010,6,4080002,4080001		
701	Map_MapNameId_701	OpenTimeDescription_701	RuleDescription_701	Dekaron_Dailystage_dt01	Dekaron_Dailystage_huanxiangtiaozhan	1	7	0	0	0	0	0	0	4070010,6,4080002,4080001		
801	Map_MapNameId_801	OpenTimeDescription_801	RuleDescription_801	Dekaron_Dailystage_dt01	Dekaron_Dailystage_nvgedoujia	1	8	0	0	0	0	0	0	4070010,6,4080002,4080001		
