任务ID	是否启用	完成后继续显示	任务名称	任务内容描述	任务ICON	任务Icon品质框	跳转功能界面	跳转界面标签页	任务类型	任务小类型	任务开启等级	前置任务	后置任务	任务ID	任务完成类型	任务完成数量需求	任务奖励1	任务奖励1数量	任务奖励2	任务奖励2数量	任务奖励3	任务奖励3数量	任务奖励4	任务奖励4数量
229	0	0	TaskNameId_200	TaskDesId_229	Icon_Tscl1_003	14	UIStagePanel	NormalTab	2	1	1	228	230	229		11207	1	4000	4080002	5	0	0	0	0
230	0	0	TaskNameId_200	TaskDesId_230	Icon_Tscl1_001	14	UIStagePanel	NormalTab	2	1	1	229	231	230		11210	1	5000	4080003	5	0	0	0	0
231	0	0	TaskNameId_200	TaskDesId_231	Icon_Tscl1_002	14	UIStagePanel	NormalTab	2	1	1	230	232	231		11304	0	0	4080001	5	4	100	0	0
232	0	0	TaskNameId_200	TaskDesId_232	Icon_Tscl1_003	14	UIStagePanel	NormalTab	2	1	1	231	233	232		11307	1	4000	4080002	5	0	0	0	0
233	0	0	TaskNameId_200	TaskDesId_233	Icon_Tscl1_001	14	UIStagePanel	NormalTab	2	1	1	232	234	233		11310	1	5000	4080003	5	0	0	0	0
234	0	0	TaskNameId_200	TaskDesId_234	Icon_Tscl1_002	14	UIStagePanel	NormalTab	2	1	1	233	235	234		11404	1	3000	4080001	5	0	0	0	0
235	0	0	TaskNameId_200	TaskDesId_235	Icon_Tscl1_003	14	UIStagePanel	NormalTab	2	1	1	234	236	235		11407	1	4000	4080002	5	0	0	0	0
236	0	0	TaskNameId_200	TaskDesId_236	Icon_Tscl1_001	14	UIStagePanel	NormalTab	2	1	1	235	237	236		11410	1	5000	4080003	5	0	0	0	0
237	0	0	TaskNameId_200	TaskDesId_237	Icon_Tscl1_002	14	UIStagePanel	NormalTab	2	1	1	236	238	237		11504	0	0	4080001	5	4	100	0	0
238	0	0	TaskNameId_200	TaskDesId_238	Icon_Tscl1_003	14	UIStagePanel	NormalTab	2	1	1	237	239	238		11507	1	4000	4080002	5	0	0	0	0
239	0	0	TaskNameId_200	TaskDesId_239	Icon_Tscl1_001	14	UIStagePanel	NormalTab	2	1	1	238	240	239		11510	1	5000	4080003	5	0	0	0	0
240	0	0	TaskNameId_200	TaskDesId_240	Icon_Tscl1_002	14	UIStagePanel	NormalTab	2	1	1	239	241	240		11604	1	3000	4080001	5	0	0	0	0
241	0	0	TaskNameId_200	TaskDesId_241	Icon_Tscl1_003	14	UIStagePanel	NormalTab	2	1	1	240	242	241		11607	1	4000	4080002	5	0	0	0	0
242	0	0	TaskNameId_200	TaskDesId_242	Icon_Tscl1_001	14	UIStagePanel	NormalTab	2	1	1	241	243	242		11610	1	5000	4080003	5	0	0	0	0
243	0	0	TaskNameId_200	TaskDesId_243	Icon_Tscl1_002	14	UIStagePanel	NormalTab	2	1	1	242	244	243		11704	0	0	4080001	5	4	100	0	0
244	0	0	TaskNameId_200	TaskDesId_244	Icon_Tscl1_003	14	UIStagePanel	NormalTab	2	1	1	243	245	244		11707	1	4000	4080002	5	0	0	0	0
245	0	0	TaskNameId_200	TaskDesId_245	Icon_Tscl1_001	14	UIStagePanel	NormalTab	2	1	1	244	246	245		11710	1	5000	4080003	5	0	0	0	0
246	0	0	TaskNameId_200	TaskDesId_246	Icon_Tscl1_002	14	UIStagePanel	NormalTab	2	1	1	245	247	246		11804	1	3000	4080001	5	0	0	0	0
247	0	0	TaskNameId_200	TaskDesId_247	Icon_Tscl1_003	14	UIStagePanel	NormalTab	2	1	1	246	248	247		11807	1	4000	4080002	5	0	0	0	0
248	0	0	TaskNameId_200	TaskDesId_248	Icon_Tscl1_001	14	UIStagePanel	NormalTab	2	1	1	247	249	248		11810	1	5000	4080003	5	0	0	0	0
249	0	0	TaskNameId_200	TaskDesId_249	Icon_Tscl1_002	14	UIStagePanel	NormalTab	2	1	1	248	250	249		11904	0	0	4080001	5	4	100	0	0
250	0	0	TaskNameId_200	TaskDesId_250	Icon_Tscl1_003	14	UIStagePanel	NormalTab	2	1	1	249	251	250		11907	1	4000	4080002	5	0	0	0	0
251	0	0	TaskNameId_200	TaskDesId_251	Icon_Tscl1_001	14	UIStagePanel	NormalTab	2	1	1	250	252	251		11910	1	5000	4080003	5	0	0	0	0
252	0	0	TaskNameId_200	TaskDesId_252	Icon_Tscl1_002	14	UIStagePanel	NormalTab	2	1	1	251	253	252		12004	1	3000	4080001	5	0	0	0	0
253	0	0	TaskNameId_200	TaskDesId_253	Icon_Tscl1_003	14	UIStagePanel	NormalTab	2	1	1	252	254	253		12007	1	4000	4080002	5	0	0	0	0
254	0	0	TaskNameId_200	TaskDesId_254	Icon_Tscl1_001	14	UIStagePanel	NormalTab	2	1	1	253	255	254		12010	1	5000	4080003	5	0	0	0	0
255	0	0	TaskNameId_200	TaskDesId_255	Icon_Tscl1_002	14	UIStagePanel	NormalTab	2	1	1	254	256	255		12104	0	0	4080001	5	4	100	0	0
256	0	0	TaskNameId_200	TaskDesId_256	Icon_Tscl1_003	14	UIStagePanel	NormalTab	2	1	1	255	257	256		12107	1	4000	4080002	5	0	0	0	0
257	0	0	TaskNameId_200	TaskDesId_257	Icon_Tscl1_004	14	UIStagePanel	NormalTab	2	1	1	256	0	257		12110	1	5000	4080003	5	0	0	0	0
300	0	0	TaskNameId_300	TaskDesId_300	Icon_Tscl1_001	14			2	1	1	0	301	300		3	1	1000	4080001	5	0	0	0	0
301	0	0	TaskNameId_300	TaskDesId_301	Icon_Tscl1_001	14			2	1	1	300	302	301		4	1	1000	4080001	5	0	0	0	0
302	0	0	TaskNameId_300	TaskDesId_302	Icon_Tscl1_001	14			2	1	1	301	303	302		5	1	1000	4080001	5	0	0	0	0
303	0	0	TaskNameId_300	TaskDesId_303	Icon_Tscl1_001	14			2	1	1	302	304	303		6	1	3000	4080001	5	0	0	0	0
304	0	0	TaskNameId_300	TaskDesId_304	Icon_Tscl1_001	14			2	1	1	303	305	304		7	1	3000	4080001	5	0	0	0	0
305	0	0	TaskNameId_300	TaskDesId_305	Icon_Tscl1_001	14			2	1	1	304	306	305		8	1	3000	4080001	5	0	0	0	0
306	0	0	TaskNameId_300	TaskDesId_306	Icon_Tscl1_001	14			2	1	1	305	307	306		9	1	5000	4080002	5	0	0	0	0
307	0	0	TaskNameId_300	TaskDesId_307	Icon_Tscl1_001	14			2	1	1	306	308	307		10	1	5000	4080002	5	0	0	0	0
308	0	0	TaskNameId_300	TaskDesId_308	Icon_Tscl1_001	14			2	1	1	307	309	308		11	1	5000	4080002	5	0	0	0	0
309	0	0	TaskNameId_300	TaskDesId_309	Icon_Tscl1_001	14			2	1	1	308	310	309		12	1	5000	4080002	5	0	0	0	0
310	0	0	TaskNameId_300	TaskDesId_310	Icon_Tscl1_001	14			2	1	1	309	311	310		13	1	7500	4080002	10	0	0	0	0
311	0	0	TaskNameId_300	TaskDesId_311	Icon_Tscl1_001	14			2	1	1	310	312	311		14	1	7500	4080002	10	0	0	0	0
312	0	0	TaskNameId_300	TaskDesId_312	Icon_Tscl1_001	14			2	1	1	311	313	312		15	1	7500	4080002	10	0	0	0	0
313	0	0	TaskNameId_300	TaskDesId_313	Icon_Tscl1_001	14			2	1	1	312	314	313		16	1	10000	4080002	10	0	0	0	0
314	0	0	TaskNameId_300	TaskDesId_314	Icon_Tscl1_001	14			2	1	1	313	315	314		17	1	10000	4080002	10	0	0	0	0
315	0	0	TaskNameId_300	TaskDesId_315	Icon_Tscl1_001	14			2	1	1	314	316	315		18	1	10000	4080002	10	0	0	0	0
316	0	0	TaskNameId_300	TaskDesId_316	Icon_Tscl1_001	14			2	1	1	315	0	316		19	1	10000	4080002	10	0	0	0	0
400	1	0	TaskNameId_400	TaskDesId_400	Icon_Tscl1_001	14			2	1	1	0	401	400	Player_LevelUp	2	1	4000	2	10	0	0	0	0
401	1	0	TaskNameId_400	TaskDesId_401	Icon_Tscl1_001	14			2	1	1	400	402	401	Player_LevelUp	4	1	4000	2	10	0	0	0	0
402	1	0	TaskNameId_400	TaskDesId_402	Icon_Tscl1_001	14			2	1	1	401	403	402	Player_LevelUp	6	1	4000	2	10	0	0	0	0
403	1	0	TaskNameId_400	TaskDesId_403	Icon_Tscl1_001	14			2	1	1	402	404	403	Player_LevelUp	8	1	4000	2	10	0	0	0	0
404	1	0	TaskNameId_400	TaskDesId_404	Icon_Tscl1_001	14			2	1	1	403	405	404	Player_LevelUp	10	1	4000	2	10	0	0	0	0
405	1	0	TaskNameId_400	TaskDesId_405	Icon_Tscl1_001	14			2	1	1	404	406	405	Player_LevelUp	12	1	4000	2	10	0	0	0	0
406	1	0	TaskNameId_400	TaskDesId_406	Icon_Tscl1_001	14			2	1	1	405	407	406	Player_LevelUp	14	1	4000	2	10	0	0	0	0
407	1	0	TaskNameId_400	TaskDesId_407	Icon_Tscl1_001	14			2	1	1	406	408	407	Player_LevelUp	16	1	4000	2	10	0	0	0	0
408	1	0	TaskNameId_400	TaskDesId_408	Icon_Tscl1_001	14			2	1	1	407	409	408	Player_LevelUp	18	1	4000	2	10	0	0	0	0
409	1	0	TaskNameId_400	TaskDesId_409	Icon_Tscl1_001	14			2	1	1	408	410	409	Player_LevelUp	20	1	4000	2	10	0	0	0	0
410	1	0	TaskNameId_400	TaskDesId_410	Icon_Tscl1_001	14			2	1	1	409	411	410	Player_LevelUp	22	1	4000	2	15	0	0	0	0
411	1	0	TaskNameId_400	TaskDesId_411	Icon_Tscl1_001	14			2	1	1	410	412	411	Player_LevelUp	24	1	4000	2	15	0	0	0	0
412	1	0	TaskNameId_400	TaskDesId_412	Icon_Tscl1_001	14			2	1	1	411	413	412	Player_LevelUp	26	1	4000	2	15	0	0	0	0
413	1	0	TaskNameId_400	TaskDesId_413	Icon_Tscl1_001	14			2	1	1	412	414	413	Player_LevelUp	28	1	4000	2	15	0	0	0	0
414	1	0	TaskNameId_400	TaskDesId_414	Icon_Tscl1_001	14			2	1	1	413	415	414	Player_LevelUp	30	1	4000	2	15	0	0	0	0
415	1	0	TaskNameId_400	TaskDesId_415	Icon_Tscl1_001	14			2	1	1	414	416	415	Player_LevelUp	32	1	4000	2	15	0	0	0	0
416	1	0	TaskNameId_400	TaskDesId_416	Icon_Tscl1_001	14			2	1	1	415	417	416	Player_LevelUp	34	1	4000	2	15	0	0	0	0
417	1	0	TaskNameId_400	TaskDesId_417	Icon_Tscl1_001	14			2	1	1	416	418	417	Player_LevelUp	36	1	4000	2	15	0	0	0	0
418	1	0	TaskNameId_400	TaskDesId_418	Icon_Tscl1_001	14			2	1	1	417	419	418	Player_LevelUp	38	1	4000	2	15	0	0	0	0
419	1	0	TaskNameId_400	TaskDesId_419	Icon_Tscl1_001	14			2	1	1	418	420	419	Player_LevelUp	40	1	4000	2	15	0	0	0	0
420	1	0	TaskNameId_400	TaskDesId_420	Icon_Tscl1_001	14			2	1	1	419	421	420	Player_LevelUp	41	1	4000	2	20	0	0	0	0
421	1	0	TaskNameId_400	TaskDesId_421	Icon_Tscl1_001	14			2	1	1	420	422	421	Player_LevelUp	42	1	4000	2	20	0	0	0	0
422	1	0	TaskNameId_400	TaskDesId_422	Icon_Tscl1_001	14			2	1	1	421	423	422	Player_LevelUp	43	1	4000	2	20	0	0	0	0
423	1	0	TaskNameId_400	TaskDesId_423	Icon_Tscl1_001	14			2	1	1	422	424	423	Player_LevelUp	44	1	4000	2	20	0	0	0	0
424	1	0	TaskNameId_400	TaskDesId_424	Icon_Tscl1_001	14			2	1	1	423	425	424	Player_LevelUp	45	1	4000	2	20	0	0	0	0
425	1	0	TaskNameId_400	TaskDesId_425	Icon_Tscl1_001	14			2	1	1	424	426	425	Player_LevelUp	46	1	4000	2	20	0	0	0	0
426	1	0	TaskNameId_400	TaskDesId_426	Icon_Tscl1_001	14			2	1	1	425	427	426	Player_LevelUp	47	1	4000	2	20	0	0	0	0
427	1	0	TaskNameId_400	TaskDesId_427	Icon_Tscl1_001	14			2	1	1	426	428	427	Player_LevelUp	48	1	4000	2	20	0	0	0	0
428	1	0	TaskNameId_400	TaskDesId_428	Icon_Tscl1_001	14			2	1	1	427	429	428	Player_LevelUp	49	1	4000	2	20	0	0	0	0
429	1	0	TaskNameId_400	TaskDesId_429	Icon_Tscl1_001	14			2	1	1	428	430	429	Player_LevelUp	50	1	4000	2	20	0	0	0	0
430	1	0	TaskNameId_400	TaskDesId_430	Icon_Tscl1_001	14			2	1	1	429	431	430	Player_LevelUp	51	1	5000	2	20	0	0	0	0
431	1	0	TaskNameId_400	TaskDesId_431	Icon_Tscl1_001	14			2	1	1	430	432	431	Player_LevelUp	52	1	5000	2	20	0	0	0	0
432	1	0	TaskNameId_400	TaskDesId_432	Icon_Tscl1_001	14			2	1	1	431	433	432	Player_LevelUp	53	1	5000	2	20	0	0	0	0
433	1	0	TaskNameId_400	TaskDesId_433	Icon_Tscl1_001	14			2	1	1	432	434	433	Player_LevelUp	54	1	5000	2	20	0	0	0	0
434	1	0	TaskNameId_400	TaskDesId_434	Icon_Tscl1_001	14			2	1	1	433	435	434	Player_LevelUp	55	1	5000	2	20	0	0	0	0
435	1	0	TaskNameId_400	TaskDesId_435	Icon_Tscl1_001	14			2	1	1	434	436	435	Player_LevelUp	56	1	5000	2	20	0	0	0	0
436	1	0	TaskNameId_400	TaskDesId_436	Icon_Tscl1_001	14			2	1	1	435	437	436	Player_LevelUp	57	1	5000	2	20	0	0	0	0
437	1	0	TaskNameId_400	TaskDesId_437	Icon_Tscl1_001	14			2	1	1	436	438	437	Player_LevelUp	58	1	5000	2	20	0	0	0	0
438	1	0	TaskNameId_400	TaskDesId_438	Icon_Tscl1_001	14			2	1	1	437	439	438	Player_LevelUp	59	1	5000	2	20	0	0	0	0
439	1	0	TaskNameId_400	TaskDesId_439	Icon_Tscl1_001	14			2	1	1	438	440	439	Player_LevelUp	60	1	5000	2	20	0	0	0	0
440	1	0	TaskNameId_400	TaskDesId_440	Icon_Tscl1_001	14			2	1	1	439	441	440	Player_LevelUp	61	1	5000	2	20	0	0	0	0
441	1	0	TaskNameId_400	TaskDesId_441	Icon_Tscl1_001	14			2	1	1	440	442	441	Player_LevelUp	62	1	5000	2	20	0	0	0	0
442	1	0	TaskNameId_400	TaskDesId_442	Icon_Tscl1_001	14			2	1	1	441	443	442	Player_LevelUp	63	1	5000	2	20	0	0	0	0
443	1	0	TaskNameId_400	TaskDesId_443	Icon_Tscl1_001	14			2	1	1	442	444	443	Player_LevelUp	64	1	5000	2	20	0	0	0	0
444	1	0	TaskNameId_400	TaskDesId_444	Icon_Tscl1_001	14			2	1	1	443	445	444	Player_LevelUp	65	1	5000	2	20	0	0	0	0
445	1	0	TaskNameId_400	TaskDesId_445	Icon_Tscl1_001	14			2	1	1	444	446	445	Player_LevelUp	66	1	5000	2	20	0	0	0	0
446	1	0	TaskNameId_400	TaskDesId_446	Icon_Tscl1_001	14			2	1	1	445	447	446	Player_LevelUp	67	1	5000	2	20	0	0	0	0
447	1	0	TaskNameId_400	TaskDesId_447	Icon_Tscl1_001	14			2	1	1	446	448	447	Player_LevelUp	68	1	5000	2	20	0	0	0	0
448	1	0	TaskNameId_400	TaskDesId_448	Icon_Tscl1_001	14			2	1	1	447	449	448	Player_LevelUp	69	1	5000	2	20	0	0	0	0
449	1	0	TaskNameId_400	TaskDesId_449	Icon_Tscl1_001	14			2	1	1	448	450	449	Player_LevelUp	70	1	5000	2	20	0	0	0	0
450	1	0	TaskNameId_400	TaskDesId_450	Icon_Tscl1_001	14			2	1	1	449	451	450	Player_LevelUp	71	1	5000	2	20	0	0	0	0
451	1	0	TaskNameId_400	TaskDesId_451	Icon_Tscl1_001	14			2	1	1	450	452	451	Player_LevelUp	72	1	5000	2	20	0	0	0	0
452	1	0	TaskNameId_400	TaskDesId_452	Icon_Tscl1_001	14			2	1	1	451	453	452	Player_LevelUp	73	1	5000	2	20	0	0	0	0
453	1	0	TaskNameId_400	TaskDesId_453	Icon_Tscl1_001	14			2	1	1	452	454	453	Player_LevelUp	74	1	5000	2	20	0	0	0	0
454	1	0	TaskNameId_400	TaskDesId_454	Icon_Tscl1_001	14			2	1	1	453	455	454	Player_LevelUp	75	1	5000	2	20	0	0	0	0
455	1	0	TaskNameId_400	TaskDesId_455	Icon_Tscl1_001	14			2	1	1	454	456	455	Player_LevelUp	76	1	5000	2	25	0	0	0	0
456	1	0	TaskNameId_400	TaskDesId_456	Icon_Tscl1_001	14			2	1	1	455	457	456	Player_LevelUp	77	1	5000	2	25	0	0	0	0
457	1	0	TaskNameId_400	TaskDesId_457	Icon_Tscl1_001	14			2	1	1	456	458	457	Player_LevelUp	78	1	5000	2	25	0	0	0	0
458	1	0	TaskNameId_400	TaskDesId_458	Icon_Tscl1_001	14			2	1	1	457	459	458	Player_LevelUp	79	1	5000	2	25	0	0	0	0
459	1	0	TaskNameId_400	TaskDesId_459	Icon_Tscl1_001	14			2	1	1	458	460	459	Player_LevelUp	80	1	5000	2	25	0	0	0	0
460	1	0	TaskNameId_400	TaskDesId_460	Icon_Tscl1_001	14			2	1	1	459	461	460	Player_LevelUp	81	1	5000	2	25	0	0	0	0
461	1	0	TaskNameId_400	TaskDesId_461	Icon_Tscl1_001	14			2	1	1	460	462	461	Player_LevelUp	82	1	5000	2	25	0	0	0	0
462	1	0	TaskNameId_400	TaskDesId_462	Icon_Tscl1_001	14			2	1	1	461	463	462	Player_LevelUp	83	1	5000	2	25	0	0	0	0
463	1	0	TaskNameId_400	TaskDesId_463	Icon_Tscl1_001	14			2	1	1	462	464	463	Player_LevelUp	84	1	5000	2	25	0	0	0	0
464	1	0	TaskNameId_400	TaskDesId_464	Icon_Tscl1_001	14			2	1	1	463	465	464	Player_LevelUp	85	1	5000	2	25	0	0	0	0
465	1	0	TaskNameId_400	TaskDesId_465	Icon_Tscl1_001	14			2	1	1	464	466	465	Player_LevelUp	86	1	5000	2	25	0	0	0	0
466	1	0	TaskNameId_400	TaskDesId_466	Icon_Tscl1_001	14			2	1	1	465	467	466	Player_LevelUp	87	1	5000	2	25	0	0	0	0
467	1	0	TaskNameId_400	TaskDesId_467	Icon_Tscl1_001	14			2	1	1	466	468	467	Player_LevelUp	88	1	5000	2	25	0	0	0	0
468	1	0	TaskNameId_400	TaskDesId_468	Icon_Tscl1_001	14			2	1	1	467	469	468	Player_LevelUp	89	1	5000	2	25	0	0	0	0
469	1	0	TaskNameId_400	TaskDesId_469	Icon_Tscl1_001	14			2	1	1	468	470	469	Player_LevelUp	90	1	5000	2	25	0	0	0	0
470	1	0	TaskNameId_400	TaskDesId_470	Icon_Tscl1_001	14			2	1	1	469	471	470	Player_LevelUp	91	1	5000	2	25	0	0	0	0
471	1	0	TaskNameId_400	TaskDesId_471	Icon_Tscl1_001	14			2	1	1	470	472	471	Player_LevelUp	92	1	5000	2	25	0	0	0	0
472	1	0	TaskNameId_400	TaskDesId_472	Icon_Tscl1_001	14			2	1	1	471	473	472	Player_LevelUp	93	1	5000	2	25	0	0	0	0
473	1	0	TaskNameId_400	TaskDesId_473	Icon_Tscl1_001	14			2	1	1	472	474	473	Player_LevelUp	94	1	5000	2	25	0	0	0	0
474	1	0	TaskNameId_400	TaskDesId_474	Icon_Tscl1_001	14			2	1	1	473	475	474	Player_LevelUp	95	1	5000	2	25	0	0	0	0
