关卡ID	关卡名称	关卡描述	关卡目标对话	关卡目标类型	关卡目标	关卡类型	所在地图ID	关卡需求等级	首次通关后是否再挑战	每天挑战次数	关卡战斗背景	关卡正常背景	前置关卡	首次掉落	活动掉落	关卡掉落	关卡宝箱	扫荡额外掉落	关卡开启时间	体力消耗	通关角色经验	通关卡片经验	通关金钱	保底金钱	保底经验	推荐战斗力	最大回合	关卡回合	1回合前排怪1	1回合前排怪2	1回合前排怪3	1回合后排1	1回合后排2	1回合后排3	2回合前排怪1	2回合前排怪2	2回合前排怪3	2回合后排1	2回合后排2	2回合后排3	3回合前排怪1	3回合前排怪2	3回合前排怪3	3回合后排1	3回合后排2	3回合后排3	掉落显示	怪物显示	关卡图标位置
10302	Stage_StageNameId_10113	Stage_StageExplainId_10113	Stage_StageTargetTalk_2002	1,4	10,0	2	103	1	0	0	battle03	stage_xqnm03	10301	0	0	40000,50300	0	60300	0	6	6	35	673	0	0	1500	20	2	1029	0	1029	1029	0	1029	0	1035	0	1029	0	1029	0	0	0	0	0	0	4020000	1029,1035	-455,-50
10303	Stage_StageNameId_10114	Stage_StageExplainId_10114	Stage_StageTargetTalk_2003	1,4	10,0	2	103	1	0	0	battle03	stage_xqnm03	10302	0	0	40000,50303,50300	2:10,4020001:2,4020002:2,4020003:2	60300	0	6	6	35	679	0	0	1600	20	2	1030	1030	0	1030	1030	0	0	1036	0	0	0	0	0	0	0	0	0	0	4020000,4020001	1030,1036	-357,130
10304	Stage_StageNameId_10115	Stage_StageExplainId_10115	Stage_StageTargetTalk_2004	1,4	10,0	2	103	1	0	0	battle03	stage_xqnm03	10303	0	0	40000,50303,50300	0	60300	0	6	6	35	685	0	0	1700	20	2	1030	1030	1030	0	0	0	0	1037	0	0	0	0	0	0	0	0	0	0	4020000,4020001	1030,1037	-156,93
10305	Stage_StageNameId_10116	Stage_StageExplainId_10116	Stage_StageTargetTalk_2005	1,4	10,0	1	103	1	0	0	battle03	stage_xqnm03	10304	0	0	40000,50305,50300	2:10,4020001:2,4020002:2,4020003:2	60300	0	6	6	35	691	0	0	1800	20	1	1038	0	1038	1038	0	1038	0	0	0	0	0	0	0	0	0	0	0	0	4020000,4020002	1038	-48,-25
10306	Stage_StageNameId_10117	Stage_StageExplainId_10117	Stage_StageTargetTalk_2006	1,4	10,0	2	103	1	0	0	battle03	stage_xqnm03	10305	0	0	40000,50305,50300	0	60300	0	6	6	35	697	0	0	1900	20	2	1038	0	1038	1038	0	1038	0	1044	0	0	1045	0	0	0	0	0	0	0	4020000,4020002	1038,1044	80,-125
10307	Stage_StageNameId_10118	Stage_StageExplainId_10118	Stage_StageTargetTalk_2007	1,4	10,0	2	103	1	0	0	battle03	stage_xqnm03	10306	0	0	40000,50307,50300	2:10,4020001:2,4020002:2,4020003:2	60300	0	6	6	35	703	0	0	2000	20	2	0	1039	0	1039	1039	1039	0	1046	0	0	0	0	0	0	0	0	0	0	4020000,4020003	1039,1046	56,157
10308	Stage_StageNameId_10119	Stage_StageExplainId_10119	Stage_StageTargetTalk_2008	1,4	10,0	3	103	1	0	0	battle03	stage_xqnm03	10307	0	0	40000,50307,50300	0	60300	0	6	6	35	709	0	0	2100	20	2	0	1039	0	1039	0	1039	0	1047	0	0	0	0	0	0	0	0	0	0	4020000,4020003	1039,1047	336,145
10401	Stage_StageNameId_10120	Stage_StageExplainId_10120	Stage_StageTargetTalk_2009	1,4	10,0	1	104	1	0	0	battle04	stage_xqnm03	10308			40000,50400	0	60400	0	6	6	40	715	0	0	0	20	1	1048	0	1048	1048	0	1048	0	0	0	0	0	0	0	0	0	0	0	0	4020000	1048	-95,-195
10402	Stage_StageNameId_10121	Stage_StageExplainId_10121	Stage_StageTargetTalk_2000	1,4	10,0	2	104	1	0	0	battle04	stage_xqnm03	10401			40000,50402,50400	0	60400	0	6	6	40	721	0	0	0	20	2	0	1048	1048	1048	1048	0	0	1054	0	0	1055	0	0	0	0	0	0	0	4020000,4020002	1048,1054	-455,-50
10403	Stage_StageNameId_10122	Stage_StageExplainId_10122	Stage_StageTargetTalk_2001	1,4	10,0	1	104	1	0	0	battle04	stage_xqnm03	10402			40000,50403,50400	4020005:3,2:10,1:3000	60400	0	6	6	40	727	0	0	0	20	1	1049	0	1049	0	1049	0	0	0	0	0	0	0	0	0	0	0	0	0	4020000,4020004,4020002,4020003	1049	-357,130
10404	Stage_StageNameId_10123	Stage_StageExplainId_10123	Stage_StageTargetTalk_2002	1,4	10,0	2	104	1	0	0	battle04	stage_xqnm03	10403			40000,50403,50400	0	60400	0	6	6	40	733	0	0	0	20	2	1049	1049	1049	0	0	0	1049	1049	1049	0	1056	0	0	0	0	0	0	0	4020000,4020004,4020002,4020003	1049,1049	-156,93
10405	Stage_StageNameId_10124	Stage_StageExplainId_10124	Stage_StageTargetTalk_2003	1,4	10,0	1	104	1	0	0	battle04	stage_xqnm03	10404			40000,50405,50400	4020004:3,2:10,1:3000	60400	0	6	6	40	739	0	0	0	20	1	1050	0	1050	0	1050	0	0	0	0	0	0	0	0	0	0	0	0	0	4020000,4020005,4020001,4020003	1050	-48,-25
10406	Stage_StageNameId_10125	Stage_StageExplainId_10125	Stage_StageTargetTalk_2004	1,4	10,0	2	104	1	0	0	battle04	stage_xqnm03	10405			40000,50405,50400	0	60400	0	6	6	40	745	0	0	0	20	2	1050	1050	1050	0	0	0	1057	0	1058	0	0	0	0	0	0	0	0	0	4020000,4020005,4020001,4020003	1050,1057	80,-125
10407	Stage_StageNameId_10126	Stage_StageExplainId_10126	Stage_StageTargetTalk_2005	1,4	10,0	2	104	1	0	0	battle04	stage_xqnm03	10406			40000,50407,50400	4020006:3,2:10,1:3000	60400	0	6	6	40	751	0	0	0	20	2	0	1050	0	0	1050	0	0	1057	0	0	0	0	0	0	0	0	0	0	4020000,4020006,4020001,4020002	1050,1057	56,157
10408	Stage_StageNameId_10127	Stage_StageExplainId_10127	Stage_StageTargetTalk_2006	1,4	10,0	3	104	1	0	0	battle04	stage_xqnm03	10407			40000,50407,50400	0	60400	0	6	6	40	757	0	0	0	20	2	1050	0	1050	0	0	0	0	1059	0	0	0	0	0	0	0	0	0	0	4020000,4020006,4020001,4020002	1050,1059	336,145
10501	Stage_StageNameId_10128	Stage_StageExplainId_10128	Stage_StageTargetTalk_2007	1,4	10,0	1	105	1	0	0	battle05	stage_xqnm03	10408			40000,50500	0	60500	0	6	6	45	763	0	0	0	20	3	0	0	1060	0	0	0	0	1060	0	0	0	0	1060	1060	1060	0	1060	1060	4020000	1060,1060,1060	-251,-78
10502	Stage_StageNameId_10129	Stage_StageExplainId_10129	Stage_StageTargetTalk_2008	1,4	10,0	1	105	1	0	0	battle05	stage_xqnm03	10501			40000,50502,50500	0	60500	0	6	6	45	769	0	0	0	20	3	0	1060	0	0	1060	1060	1060	1060	0	1060	1060	0	0	1066	0	0	0	0	4020000,4020004	1060,1060,1066	-493,-68
10503	Stage_StageNameId_10130	Stage_StageExplainId_10130	Stage_StageTargetTalk_2009	1,4	10,0	1	105	1	0	0	battle05	stage_xqnm03	10502			40000,50502,50500	0	60500	0	6	6	45	775	0	0	0	20	3	0	1061	0	0	0	1061	1061	0	1061	0	0	0	0	1067	0	0	0	0	4020000,4020004	1061,1061,1067	-484,52
10504	Stage_StageNameId_10131	Stage_StageExplainId_10131	Stage_StageTargetTalk_2000	1,4	10,0	2	105	1	0	0	battle05	stage_xqnm03	10503			40000,50502,50500	4020005:3,2:10,1:4000	60500	0	6	6	45	781	0	0	0	20	3	1061	1061	1061	0	0	0	0	1061	1061	0	0	0	0	1068	0	0	0	0	4020000,4020004	1061,1061,1068	-275,120
10505	Stage_StageNameId_10132	Stage_StageExplainId_10132	Stage_StageTargetTalk_2001	1,4	10,0	1	105	1	0	0	battle05	stage_xqnm03	10504			40000,50505,50500	0	60500	0	6	6	45	787	0	0	0	20	3	1060	1060	1060	0	0	0	1060	0	1060	0	1060	0	1060	1060	1060	0	0	0	4020000,4020006	1060,1060,1060	-101,34
10506	Stage_StageNameId_10133	Stage_StageExplainId_10133	Stage_StageTargetTalk_2002	1,4	10,0	1	105	1	0	0	battle05	stage_xqnm03	10505			40000,50505,50500	0	60500	0	6	6	45	793	0	0	0	20	3	0	0	1060	0	0	1060	0	1060	1060	0	1060	1060	0	1069	0	0	1070	0	4020000,4020006	1060,1060,1069	120,-130
10507	Stage_StageNameId_10134	Stage_StageExplainId_10134	Stage_StageTargetTalk_2003	1,4	10,0	2	105	1	0	0	battle05	stage_xqnm03	10506			40000,50505,50500	4020004:3,2:10,1:4000	60500	0	6	6	45	799	0	0	0	20	3	0	1062	1062	0	0	0	1062	0	1062	0	1062	0	0	1071	0	0	1072	0	4020000,4020006	1062,1062,1071	260,62
10508	Stage_StageNameId_10135	Stage_StageExplainId_10135	Stage_StageTargetTalk_2004	1,4	10,0	1	105	1	0	0	battle05	stage_xqnm03	10507			40000,50508,50500	0	60500	0	6	6	45	805	0	0	0	20	3	1062	1062	1062	0	0	0	0	1062	0	1062	1062	1062	0	1062	0	1062	1062	1062	4020000,4020005	1062,1062,1062	28,82
10509	Stage_StageNameId_10136	Stage_StageExplainId_10136	Stage_StageTargetTalk_2005	1,4	10,0	1	105	1	0	0	battle05	stage_xqnm03	10508			40000,50508,50500	4020006:3,2:10,1:4000	60500	0	6	6	45	811	0	0	0	20	3	0	1068	0	0	0	0	0	1067	0	0	0	0	0	1073	0	0	0	0	4020000,4020005	1068,1067,1073	98,152
10510	Stage_StageNameId_10137	Stage_StageExplainId_10137	Stage_StageTargetTalk_2006	1,4	10,0	3	105	1	0	0	battle05	stage_xqnm03	10509			40000,50508,50500	0	60500	0	6	6	45	817	0	0	0	20	3	1060	0	0	1060	0	0	1061	0	1061	0	1061	0	0	1074	0	1075	0	1073	4020000,4020005	1060,1061,1074	327,152
10601	Stage_StageNameId_10138	Stage_StageExplainId_10138	Stage_StageTargetTalk_2007	1,4	10,0	1	106	1	0	0	battle06	stage_xqnm03	10510			40000,50601,50600	0	60600	0	6	6	50	823	0	0	0	20	3	1076	1076	0	0	0	0	0	0	0	1076	0	1076	0	1076	0	1076	1076	1076	4020000,4020007,4020005,4020006	1076,1076,1076	-251,-78
10602	Stage_StageNameId_10139	Stage_StageExplainId_10139	Stage_StageTargetTalk_2008	1,4	10,0	1	106	1	0	0	battle06	stage_xqnm03	10601			40000,50601,50600	0	60600	0	6	6	50	829	0	0	0	20	3	0	1082	0	0	0	0	0	1083	0	0	0	0	0	1084	0	0	0	0	4020000,4020007,4020005,4020006	1082,1083,1084	-493,-68
10603	Stage_StageNameId_10140	Stage_StageExplainId_10140	Stage_StageTargetTalk_2009	1,4	10,0	1	106	1	0	0	battle06	stage_xqnm03	10602			40000,50601,50600	0	60600	0	6	6	50	835	0	0	0	20	3	0	1076	0	1076	0	0	0	1076	0	1076	1076	0	0	1085	0	0	0	1086	4020000,4020007,4020005,4020006	1076,1076,1085	-484,52
10604	Stage_StageNameId_10141	Stage_StageExplainId_10141	Stage_StageTargetTalk_2000	1,4	10,0	2	106	1	0	0	battle06	stage_xqnm03	10603			40000,50601,50600	6:1,2:10,1:5000	60600	0	6	6	50	841	0	0	0	20	3	0	1076	0	1076	0	0	0	0	1077	0	1077	1077	0	1086	0	0	1087	0	4020000,4020007,4020005,4020006	1076,1077,1086	-275,120
10605	Stage_StageNameId_10142	Stage_StageExplainId_10142	Stage_StageTargetTalk_2001	1,4	10,0	1	106	1	0	0	battle06	stage_xqnm03	10604			40000,50605,50600	0	60600	0	6	6	50	847	0	0	0	20	3	0	1077	0	0	1077	0	1077	0	0	1077	0	0	0	0	1077	0	1077	1077	4020000,4020008,4020004,4020006	1077,1077,1077	-101,34
10606	Stage_StageNameId_10143	Stage_StageExplainId_10143	Stage_StageTargetTalk_2002	1,4	10,0	1	106	1	0	0	battle06	stage_xqnm03	10605			40000,50605,50600	0	60600	0	6	6	50	853	0	0	0	20	3	0	1088	0	0	0	0	0	1089	0	0	0	0	0	1085	0	0	0	0	4020000,4020008,4020004,4020006	1088,1089,1085	120,-130
10607	Stage_StageNameId_10144	Stage_StageExplainId_10144	Stage_StageTargetTalk_2003	1,4	10,0	2	106	1	0	0	battle06	stage_xqnm03	10606			40000,50605,50600	6:1,2:10,1:5000	60600	0	6	6	50	859	0	0	0	20	3	1078	1078	0	0	1078	0	0	1078	0	0	1078	1078	0	1090	0	1091	0	0	4020000,4020008,4020004,4020006	1078,1078,1090	260,62
10608	Stage_StageNameId_10145	Stage_StageExplainId_10145	Stage_StageTargetTalk_2004	1,4	10,0	1	106	1	0	0	battle06	stage_xqnm03	10607			40000,50608,50600	0	60600	0	6	6	50	865	0	0	0	20	3	0	0	1078	0	1078	0	0	1078	0	1078	0	1078	1079	0	1079	0	1079	0	4020000,4020009,4020004,4020005	1078,1078,1079	28,82
10609	Stage_StageNameId_10146	Stage_StageExplainId_10146	Stage_StageTargetTalk_2005	1,4	10,0	1	106	1	0	0	battle06	stage_xqnm03	10608			40000,50608,50600	6:1,2:10,1:5000	60600	0	6	6	50	871	0	0	0	20	3	1079	1079	1079	0	0	0	0	1079	0	0	1079	0	0	1088	0	1092	1084	1087	4020000,4020009,4020004,4020005	1079,1079,1088	98,152
10610	Stage_StageNameId_10147	Stage_StageExplainId_10147	Stage_StageTargetTalk_2006	1,4	10,0	3	106	1	0	0	battle06	stage_xqnm03	10609			40000,50608,50600	0	60600	0	6	6	50	877	0	0	0	20	3	0	0	0	1079	0	1079	1077	0	0	1077	0	1077	0	1091	0	0	0	0	4020000,4020009,4020004,4020005	1079,1077,1091	327,152
10701	Stage_StageNameId_10148	Stage_StageExplainId_10148	Stage_StageTargetTalk_2007	1,4	10,0	1	107	1	0	0	battle01	stage_xqnm03	10610			40000,50701,50700	0	60700	0	6	6	55	883	0	0	0	20	3	1093	1093	1093	0	0	0	0	1093	0	1093	0	0	0	1093	0	1093	0	1093	4020000,4020007,4020006	1093,1093,1093	-251,-78
10702	Stage_StageNameId_10149	Stage_StageExplainId_10149	Stage_StageTargetTalk_2008	1,4	10,0	1	107	1	0	0	battle01	stage_xqnm03	10701			40000,50701,50700	0	60700	0	6	6	55	889	0	0	0	20	3	1094	1094	1094	0	1094	0	1094	1094	1094	0	0	0	1094	1099	1094	0	0	0	4020000,4020007,4020006	1094,1094,1094	-493,-68
10703	Stage_StageNameId_10150	Stage_StageExplainId_10150	Stage_StageTargetTalk_2009	1,4	10,0	1	107	1	0	0	battle01	stage_xqnm03	10702			40000,50701,50700	0	60700	0	6	6	55	895	0	0	0	20	3	1093	0	1093	1093	0	1093	0	1094	0	0	1094	0	0	1100	0	0	0	0	4020000,4020007,4020006	1093,1094,1100	-484,52
10704	Stage_StageNameId_10151	Stage_StageExplainId_10151	Stage_StageTargetTalk_2000	1,4	10,0	2	107	1	0	0	battle01	stage_xqnm03	10703			40000,50701,50700	6:1,2:10,1:20000,4080004:2	60700	0	6	6	55	901	0	0	0	20	3	1093	1093	1093	0	0	0	0	1094	0	1094	1094	1094	0	1101	0	0	1099	0	4020000,4020007,4020006	1093,1094,1101	-275,120
10705	Stage_StageNameId_10152	Stage_StageExplainId_10152	Stage_StageTargetTalk_2001	1,4	10,0	1	107	1	0	0	battle01	stage_xqnm03	10704			40000,50705,50700	0	60700	0	6	6	55	907	0	0	0	20	3	0	1095	0	1095	0	1095	1093	0	1093	1093	1093	1093	1095	0	1095	1095	1095	1095	4020000,4020009,4020005	1095,1093,1095	-101,34
10706	Stage_StageNameId_10153	Stage_StageExplainId_10153	Stage_StageTargetTalk_2002	1,4	10,0	1	107	1	0	0	battle01	stage_xqnm03	10705			40000,50705,50700	0	60700	0	6	6	55	913	0	0	0	20	3	0	0	0	1095	1095	1095	0	1094	0	0	1094	0	1100	1102	1103	0	0	0	4020000,4020009,4020005	1095,1094,1100	120,-130
10707	Stage_StageNameId_10154	Stage_StageExplainId_10154	Stage_StageTargetTalk_2003	1,4	10,0	2	107	1	0	0	battle01	stage_xqnm03	10706			40000,50705,50700	6:1,2:10,1:20000,4080004:2	60700	0	6	6	55	919	0	0	0	20	3	0	1094	1094	1094	1094	1094	1094	0	1094	0	1094	0	1093	1093	1093	0	1104	0	4020000,4020009,4020005	1094,1094,1093	260,62
10708	Stage_StageNameId_10155	Stage_StageExplainId_10155	Stage_StageTargetTalk_2004	1,4	10,0	1	107	1	0	0	battle01	stage_xqnm03	10707			40000,50708,50700	0	60700	0	6	6	55	925	0	0	0	20	3	1093	0	1093	1093	1093	1093	0	1093	0	1093	1093	1093	1094	1094	1094	0	1094	0	4020000,4020008,4020004	1093,1093,1094	28,82
10709	Stage_StageNameId_10156	Stage_StageExplainId_10156	Stage_StageTargetTalk_2005	1,4	10,0	1	107	1	0	0	battle01	stage_xqnm03	10708			40000,50708,50700	6:1,2:10,1:20000,4080004:2	60700	0	6	6	55	931	0	0	0	20	3	1095	1095	1095	1095	0	0	1093	1093	1093	1093	1093	1093	1094	1094	1094	0	1105	0	4020000,4020008,4020004	1095,1093,1094	98,152
10710	Stage_StageNameId_10157	Stage_StageExplainId_10157	Stage_StageTargetTalk_2006	1,4	10,0	3	107	1	0	0	battle01	stage_xqnm03	10709			40000,50708,50700	0	60700	0	6	6	55	937	0	0	0	20	3	1095	1095	1095	1095	0	0	1094	1094	1094	1094	1094	1094	0	1106	0	0	0	0	4020000,4020008,4020004	1095,1094,1106	327,152
10801	Stage_StageNameId_10158	Stage_StageExplainId_10158	Stage_StageTargetTalk_2007	1,4	10,0	1	108	1	0	0	battle06	stage_xqnm03	10710			40000,50801,50800	0	60800	0	6	6	60	943	0	0	0	20	3	1107	1107	1107	0	0	0	0	1107	0	1107	0	0	0	1107	0	1107	0	1107	4020000,4020010,4020008,4020003	1107,1107,1107	-251,-78
10802	Stage_StageNameId_10159	Stage_StageExplainId_10159	Stage_StageTargetTalk_2008	1,4	10,0	1	108	1	0	0	battle06	stage_xqnm03	10801			40000,50801,50800	0	60800	0	6	6	60	949	0	0	0	20	3	1107	1107	1107	0	1107	0	1108	1108	1108	0	0	0	0	1113	0	0	0	0	4020000,4020010,4020008,4020003	1107,1108,1113	-493,-68
10803	Stage_StageNameId_10160	Stage_StageExplainId_10160	Stage_StageTargetTalk_2009	1,4	10,0	1	108	1	0	0	battle06	stage_xqnm03	10802			40000,50801,50800	0	60800	0	6	6	60	955	0	0	0	20	3	0	1107	0	1107	0	1107	0	1108	0	0	1108	0	0	1114	0	0	0	0	4020000,4020010,4020008,4020003	1107,1108,1114	-484,52
10804	Stage_StageNameId_10161	Stage_StageExplainId_10161	Stage_StageTargetTalk_2000	1,4	10,0	2	108	1	0	0	battle06	stage_xqnm03	10803			40000,50801,50800	6:1,2:10,1:60000,4080004:4	60800	0	6	6	60	961	0	0	0	20	3	1108	1108	1108	0	0	0	0	1107	0	1107	1107	1107	0	1115	0	0	1116	0	4020000,4020010,4020008,4020003	1108,1107,1115	-275,120
10805	Stage_StageNameId_10162	Stage_StageExplainId_10162	Stage_StageTargetTalk_2001	1,4	10,0	1	108	1	0	0	battle06	stage_xqnm03	10804			40000,50805,50800	0	60800	0	6	6	60	967	0	0	0	20	3	0	1108	0	1108	0	1108	1107	0	1107	1107	1107	1107	1107	0	1107	1107	1107	1107	4020000,4020011,4020009,4020001	1108,1107,1107	-101,34
10806	Stage_StageNameId_10163	Stage_StageExplainId_10163	Stage_StageTargetTalk_2002	1,4	10,0	1	108	1	0	0	battle06	stage_xqnm03	10805			40000,50805,50800	0	60800	0	6	6	60	973	0	0	0	20	3	0	0	0	1109	1109	1109	0	1109	0	0	1109	0	1114	1117	1118	0	0	0	4020000,4020011,4020009,4020001	1109,1109,1114	120,-130
10807	Stage_StageNameId_10164	Stage_StageExplainId_10164	Stage_StageTargetTalk_2003	1,4	10,0	2	108	1	0	0	battle06	stage_xqnm03	10806			40000,50805,50800	6:1,2:10,1:60000,4080004:4	60800	0	6	6	60	979	0	0	0	20	3	0	1119	0	0	0	0	0	1115	0	0	0	0	0	1120	0	0	0	0	4020000,4020011,4020009,4020001	1119,1115,1120	260,62
10808	Stage_StageNameId_10165	Stage_StageExplainId_10165	Stage_StageTargetTalk_2004	1,4	10,0	1	108	1	0	0	battle06	stage_xqnm03	10807			40000,50808,50800	0	60800	0	6	6	60	985	0	0	0	20	3	1107	0	1107	1107	1107	1107	0	1108	0	1108	1108	1108	1109	1109	1109	1109	1109	1109	4020000,4020012,4020007,4020002	1107,1108,1109	28,82
10809	Stage_StageNameId_10166	Stage_StageExplainId_10166	Stage_StageTargetTalk_2005	1,4	10,0	1	108	1	0	0	battle06	stage_xqnm03	10808			40000,50808,50800	6:1,2:10,1:60000,4080004:4	60800	0	6	6	60	991	0	0	0	20	3	1107	1107	1107	1107	0	0	1108	1108	1108	1108	1108	1108	1109	1109	1109	0	1121	0	4020000,4020012,4020007,4020002	1107,1108,1109	98,152
10810	Stage_StageNameId_10167	Stage_StageExplainId_10167	Stage_StageTargetTalk_2006	1,4	10,0	3	108	1	0	0	battle06	stage_xqnm03	10809			40000,50808,50800	0	60800	0	6	6	60	997	0	0	0	20	3	1109	1109	1109	0	0	0	1107	1107	1107	1107	1107	1107	1119	0	1121	1115	0	1122	4020000,4020012,4020007,4020002	1109,1107,1119	327,152
10901	Stage_StageNameId_10168	Stage_StageExplainId_10168	Stage_StageTargetTalk_2007	1,4	10,0	1	109	1	0	0	battle03	stage_xqnm03	10810			40000,50901,50900	0	60900	0	6	6	85	1003	0	0	0	20	3	1123	0	1123	0	1123	0	1123	1123	1123	0	1123	0	1123	1123	1123	0	0	0	4020000,4020010,4020009	1123,1123,1123	-251,-78
