技能ID	技能动画	技能名称	技能icon	技能描述	技能大类型	技能实际类型	技能范围	技能范围条件	技能范围值	技能系数	技能固定值	系数步长	固定值步长	BUFF触发点	BUFFID	BUFF实际类型	BUFF触发条件	BUFF触发值	BUFF概率	BUFF概率步长	BUFF范围	BUFF范围条件	BUFF范围值	BUFF回合	BUFF系数	BUFF固定值	BUFF系数步长	BUFF固定值步长
27	11027				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	11028				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10001	12001	SkillNameId_10001	Skillicon10001	SkillExplainId_10001	1	1	3	0	0	14500	8	10	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10002	12002	SkillNameId_10002	Skillicon10002	SkillExplainId_10002	1	1	3	0	0	14000	7	10	7	3	1	2	0	0	1500	0	0	0	0	1	0	0	0	0
10003	12003	SkillNameId_10003	Skillicon10003	SkillExplainId_10003	1	1	3	0	0	14000	8	10	8	2	23	1	0	0	10000	0	1	0	0	2	0	0	0	0
10004	12004	SkillNameId_10004	Skillicon10004	SkillExplainId_10004	1	1	3	1	10000	13000	8	10	8	3	13	1	0	0	10000	0	4	7	0	2	1500	0	0	0
10005	12005	SkillNameId_10005	Skillicon10005	SkillExplainId_10005	1	1	3	0	0	16000	10	10	10	3	113	2	0	0	10000	0	0	0	0	2	9000	0	0	0
10006	12006	SkillNameId_10006	Skillicon10006	SkillExplainId_10006	1	1	3	0	0	14500	8	10	8	2	203	1	0	0	2000	0	0	0	0	0	0	0	0	0
10007	12007	SkillNameId_10007	Skillicon10007	SkillExplainId_10007	1	1	3	0	0	14500	8	10	8	3	12	2	0	0	3000	0	2	0	0	2	500	0	0	0
10008	12008	SkillNameId_10008	Skillicon10008	SkillExplainId_10008	1	1	3	0	0	14500	8	10	8	3	206	1	0	0	10000	0	1	0	0	2	3000	0	0	0
10009	12009	SkillNameId_10009	Skillicon10009	SkillExplainId_10009	1	1	3	0	0	14500	8	10	8	3	1	2	0	0	1500	0	0	0	0	1	0	0	0	0
10010	12010	SkillNameId_10010	Skillicon10010	SkillExplainId_10010	1	1	3	0	0	14500	8	10	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10011	12011	SkillNameId_10011	Skillicon10011	SkillExplainId_10011	1	1	3	0	0	14500	8	10	8	3	1	2	0	0	1500	0	0	0	0	1	0	0	0	0
10012	12012	SkillNameId_10012	Skillicon10012	SkillExplainId_10012	1	1	3	0	0	15500	15	10	15	3,2	4,21	2,1	0,0	0,0	2000,10000	0,0	0,1	0,0	0,0	1,0	0,6000	0,0	0,0	0,0
10013	12013	SkillNameId_10013	Skillicon10013	SkillExplainId_10013	1	1	3	0	0	16000	8	10	8	3,3,6	6,210,212	2,1,1	0,0,0	0,0,0	10000,10000,10000	0,0,0	0,1,1	0,0,0	0,0,0	2,2,2	1500,1000,1000	8,0,0	0,0,0	8,0,0
10014	12014	SkillNameId_10014	Skillicon10014	SkillExplainId_10014	1	1	3	0	0	15500	15	10	15	2	203	1	0	0	10000	0	1	0	0	2	3000	0	0	0
10015	12015	SkillNameId_10015	Skillicon10015	SkillExplainId_10015	1	1	3	0	0	15000	8	10	8	3,3	6,19	1,2	0,0	0,0	10000,10000	0,0	0,0	0,0	0,0	2,0	1500,0	8,200	0,0	8,0
10016	12016	SkillNameId_10016	Skillicon10016	SkillExplainId_10016	1	1	3	0	0	14500	8	10	8	3	203	1	0	0	10000	0	2	0	0	2	600	0	0	0
10017	12017	SkillNameId_10017	Skillicon10017	SkillExplainId_10017	1	1	3	0	0	16000	7	10	7	2,2	203,205	1,1	0,0	0,0	10000,10000	0,0	1,1	0,0	0,0	2,2	4000,6000	0,0	0,0	0,0
10018	12018	SkillNameId_10018	Skillicon10018	SkillExplainId_10018	1	1	3	0	0	14000	8	10	8	3	1	2	0	0	1400	0	0	0	0	1	0	0	0	0
10019	12019	SkillNameId_10019	Skillicon10019	SkillExplainId_10019	1	1	3	0	0	14500	8	10	8	3	4	2	0	0	2000	0	0	0	0	1	0	0	0	0
10020	12020	SkillNameId_10020	Skillicon10020	SkillExplainId_10020	1	1	3	0	0	14500	8	10	8	3	119	2	0	0	10000	0	0	0	0	0	0	300	0	0
10021	12021	SkillNameId_10021	Skillicon10021	SkillExplainId_10021	1	1	3	0	0	14000	8	10	8	3	208	1	0	0	10000	0	1	9	0	2	4000	0	0	0
10022	12022	SkillNameId_10022	Skillicon10023	SkillExplainId_10022	1	1	3	0	0	14000	8	10	8	3	206	1	0	0	10000	0	5	0	0	2	2000	0	0	0
10023	12023	SkillNameId_10023	Skillicon10022	SkillExplainId_10023	1	1	3	0	0	14000	8	10	8	3,3	103,4	2,2	0,0	0,0	10000,2000	0,0	0,0	0,0	0,0	2,1	2000,0	0,0	0,0	0,0
10024	12024	SkillNameId_10024	Skillicon10024	SkillExplainId_10024	1	1	3	0	0	14000	8	10	8	2	23	1	0	0	10000	0	1	0	0	2	0	0	0	0
10025	12025	SkillNameId_10025	Skillicon10025	SkillExplainId_10025	1	1	3	0	0	14000	8	10	8	3,3	207,204	1,1	0,0	0,0	10000,10000	0,0	6,5	0,0	0,0	2,2	2000,2000	0,0	0,0	0,0
10026	12026	SkillNameId_10026	Skillicon10026	SkillExplainId_10026	1	1	3	0	0	14000	8	10	8	3	219	1	0	0	10000	0	1	0	0	0	0	100	0	0
10027	12027	SkillNameId_10027	Skillicon10027	SkillExplainId_10027	1	1	3	0	0	14000	8	10	8	2	24	1	0	0	10000	0	1	0	0	2	0	0	0	0
10028	12028	SkillNameId_10028	Skillicon10028	SkillExplainId_10028	1	1	3	0	0	14000	8	10	8	3	203	1	0	0	10000	0	2	2	0	2	500	0	0	0
20001	13001	SkillNameId_20001	Skillicon20001	SkillExplainId_20001	2	1	4	0	0	25000	12	20	12	3	6	2	0	0	10000	0	0	0	0	2	2000	12	0	12
20002	13002	SkillNameId_20002	Skillicon20002	SkillExplainId_20002	2	1	3	0	0	36000	12	10	20	3,3	1,12	2,2	0,0	0,0	3600,10000	0,0	0,2	0,3	0,0	1,2	0,1500	0,0	0,0	0,0
20003	13003	SkillNameId_20003	Skillicon20003	SkillExplainId_20003	2	1	2	0	0	14000	8	10	8	3	1	2	0	0	1250	0	0	0	0	1	0	0	0	0
20004	13004	SkillNameId_20004	Skillicon20004	SkillExplainId_20004	2	1	3	1	4000	34000	20	30	20	3	206	1	0	0	10000	0	4	7	0	2	3000	0	0	0
20005	13005	SkillNameId_20005	Skillicon20005	SkillExplainId_20005	2	2	1	0	0	9000	12	10	12	2	7	1			10000	0	5	5	5	1	9000	12	0	0
20006	13006	SkillNameId_20006	Skillicon20006	SkillExplainId_20006	2	1	4	0	0	20000	12	20	10	3	113	2	0	0	10000	0	0	0	0	2	8500	0	0	0
20007	13007	SkillNameId_20007	Skillicon20007	SkillExplainId_20007	2	1	4	0	0	25000	12	20	12	3,3,3	14,1,12	2,2,2	0,0,0	0,0,0	10000,3200,5000	0,0,0	0,0,2	0,0,0	0,0,0	1,1,2	0,0,500	0,0,0	0,0,0	0,0,0
20008	13008	SkillNameId_20008	Skillicon20008	SkillExplainId_20008	2	1	3	0	0	36000	20	40	20	3,3	13,210	1,1	0,0	0,0	10000,10000	0,0	1,1	0,0	0,0	2,2	5000,2000	0,0	0,0	0,0
20009	13009	SkillNameId_20009	Skillicon20009	SkillExplainId_20009	2	1	6	0	0	20000	15	20	15	3,3	6,14	2,2	0,0	0,0	10000,10000	0,0	0,0	0,0	0,0	2,2	2000,2500	10,0	0,0	10,0
20010	13010	SkillNameId_20010	Skillicon20010	SkillExplainId_20010	2	1	2	4	3	18000	10	10	10	2,2	20,25	1,1	0,0	0,0	10000,10000	0,0	1,1	0,0	0,0	0,1	3000,0	0,0	0,0	0,0
20011	13011	SkillNameId_20011	Skillicon20011	SkillExplainId_20011	2	1	4	0	0	40000	24	40	24	3,3	15,16	1,1	0,0	0,0	10000,10000	0,0	0,0	0,0	0,0	2,2	1000,2000	0,0	0,0	0,0
20012	13012	SkillNameId_20012	Skillicon20012	SkillExplainId_20012	2	1	2	0	0	15500	15	20	15	3,3	119,1	2,2	0,0	0,0	3000,1500	0,0	0,0	0,0	0,0	0,1	0,0	300,0	0,0	0,0
20013	13013	SkillNameId_20013	Skillicon20012	SkillExplainId_20013	2	1	4	0	0	25000	12	20	12	3,3,3,3,3	210,212,10,119,14	1,1,2,2,2	0,0,0,0,9	0,0,0,0,	10000,10000,10000,10000,10000	0,0,0,0,0	1,1,0,0,0	0,0,0,0,0	0,0,0,0,0	2,2,0,0,2	1000,1000,600,0,3000	0,0,0,100,0	0,0,0,0,0	0,0,0,0,0
20014	13014	SkillNameId_20014	Skillicon20014	SkillExplainId_20014	2	1	4	0	0	26500	18	20	18	2,3	203,203	1,1	0,0	0,0	10000,10000	0,0	1,3	0,1	0,0	2,2	4000,2000	0,0	0,0	0,0
20015	13015	SkillNameId_20015	Skillicon20015	SkillExplainId_20015	2	1	2	0	0	24800	12	20	12	3,3,3	17,18,2	1,1,2	0,0,0	0,0,0	10000,10000,1500	0,0,0	0,0,0	0,0,0	0,0,0	2,2,1	1200,1200,0	0,0,0	0,0,0	0,0,0
20016	13016	SkillNameId_20016	Skillicon20016	SkillExplainId_20016	2	1	4	0	0	20000	12	20	10	3	203	1	0	0	10000	0	1	0	0	2	3000	0	0	0
20017	13017	SkillNameId_20017	Skillicon20017	SkillExplainId_20017	2	1	3	0	0	16000	12	20	12	3	7	1	0	0	10000	0	2	11	0	0	18000	12	20	12
20018	13018	SkillNameId_20018	Skillicon20018	SkillExplainId_20018	2	1	3	1	4000	36000	20	40	20	3	1	2	0	0	3200	0	0	0	0	1	0	0	0	0
20019	13019	SkillNameId_20019	Skillicon20019	SkillExplainId_20019	2	1	2	0	0	13500	9	10	9	3	4	2	0	0	2800	0	0	0	0	1	0	0	0	0
20020	13020	SkillNameId_20020	Skillicon20020	SkillExplainId_20020	2	1	3	0	0	37000	20	40	20	3,3	14,119	2,2	0,0	0,0	10000,10000	0,0	0,0	0,0	0,0	2,0	1000,0	0,500	0,0	0,0
20021	13021	SkillNameId_20021	Skillicon20021	SkillExplainId_20021	2	1	4	0	0	23000	12	20	12	3,3,3	119,13,13	2,1,1	0,0,0	0,0,0	10000,10000,10000	0,0,0	0,5,1	0,0,0	0,0,0	0,2,2	0,2000,3000	200,0,0	0,0,0	0,0,0
20022	13022	SkillNameId_20022	Skillicon20023	SkillExplainId_20022	2	1	4	0	0	24000	12	20	12	3,3	12,210	2,1	0,0	0,0	10000,10000	0,0	0,1	0,0	0,0	2,2	1500,2500	0,0	0,0	0,0
20023	13023	SkillNameId_20023	Skillicon20022	SkillExplainId_20023	2	1	3	0	0	36000	20	40	20	3,3	4,22	2,1	0,0	0,0	5000,10000	0,0	0,2	0,8	0,0	1,2	0,2000	0,0	0,0	0,0
20024	13024	SkillNameId_20024	Skillicon20024	SkillExplainId_20024	2	1	2	11	0	37000	20	30	20	2	23	1	0	0	10000	0	2	8	0	2	0	0	0	0
20025	13025	SkillNameId_20025	Skillicon20025	SkillExplainId_20025	2	1	6	0	0	20000	10	20	10	3	1	2	0	0	1200	0	0	0	0	1	1200	0	0	0
20026	13026	SkillNameId_20026	Skillicon20026	SkillExplainId_20026	2	1	2	0	0	12500	8	10	8	3	219	2	0	0	10000	0	0	0	0	0	0	100	0	0
20027	13027	SkillNameId_20027	Skillicon20027	SkillExplainId_20027	2	1	2	12	0	37000	20	40	20	2	24	1	0	0	10000	0	6	0	0	2	0	0	0	0
20028	13028	SkillNameId_20028	Skillicon20028	SkillExplainId_20028	2	1	4	0	0	24000	12	20	12	3	11	1	0	0	10000	0	2	2	0	2	1200	0	0	0
30001	0	SkillNameId_30001	Skillicon30001	SkillExplainId_30001	3	3	0	0	0	0	0	0	0	6	216	1	0	0	10000	0	1	0	0	0	500	0	10	0
30002	0	SkillNameId_30002	Skillicon30001	SkillExplainId_30002	3	3	0	0	0	0	0	0	0	6	216	1	0	0	10000	0	1	0	0	0	400	0	10	0
30003	0	SkillNameId_30003	Skillicon30003	SkillExplainId_30003	3	3	0	0	0	0	0	0	0	6	218	1	0	0	10000	0	1	0	0	0	500	0	10	0
30004	0	SkillNameId_30004	Skillicon30003	SkillExplainId_30004	3	3	0	0	0	0	0	0	0	6	218	1	0	0	10000	0	1	0	0	0	300	0	10	0
30005	0	SkillNameId_30005	Skillicon30003	SkillExplainId_30005	3	3	0	0	0	0	0	0	0	6	218	1	0	0	10000	0	1	0	0	0	400	0	10	0
30006	0	SkillNameId_30006	Skillicon30001	SkillExplainId_30006	3	3	0	0	0	0	0	0	0	6	216	1	0	0	10000	0	1	0	0	0	500	0	10	0
30007	0	SkillNameId_30007	Skillicon30001	SkillExplainId_30007	3	3	0	0	0	0	0	0	0	6	216	1	0	0	10000	0	1	0	0	0	500	0	10	0
30008	0	SkillNameId_30008	Skillicon30003	SkillExplainId_30008	3	3	0	0	0	0	0	0	0	6	218	1	0	0	10000	0	1	0	0	0	500	0	10	0
30009	0	SkillNameId_30009	Skillicon30003	SkillExplainId_30009	3	3	0	0	0	0	0	0	0	6	218	1	0	0	10000	0	1	0	0	0	500	0	10	0
30010	0	SkillNameId_30010	Skillicon30003	SkillExplainId_30010	3	3	0	0	0	0	0	0	0	6	218	1	0	0	10000	0	1	0	0	0	500	0	10	0
30011	0	SkillNameId_30011	Skillicon30001	SkillExplainId_30011	3	3	0	0	0	0	0	0	0	6	216	1	0	0	10000	0	1	0	0	0	500	0	10	0
30012	0	SkillNameId_30012	Skillicon30001	SkillExplainId_30012	3	3	0	0	0	0	0	0	0	6	216	1	0	0	10000	0	1	0	0	0	700	0	10	0
30013	0	SkillNameId_30013	Skillicon30001	SkillExplainId_30013	3	3	0	0	0	0	0	0	0	6	216	1	0	0	10000	0	1	0	0	0	700	0	10	0
30014	0	SkillNameId_30014	Skillicon30001	SkillExplainId_30014	3	3	0	0	0	0	0	0	0	6	216	1	0	0	10000	0	1	0	0	0	700	0	10	0
30015	0	SkillNameId_30015	Skillicon30001	SkillExplainId_30015	3	3	0	0	0	0	0	0	0	6	216	1	0	0	10000	0	1	0	0	0	700	0	10	0
30016	0	SkillNameId_30016	Skillicon30003	SkillExplainId_30016	3	3	0	0	0	0	0	0	0	6	218	1	0	0	10000	0	1	0	0	0	400	0	10	0
30017	0	SkillNameId_30017	Skillicon30003	SkillExplainId_30017	3	3	0	0	0	0	0	0	0	6	218	1	0	0	10000	0	1	0	0	0	300	0	10	0
30018	0	SkillNameId_30018	Skillicon30003	SkillExplainId_30018	3	3	0	0	0	0	0	0	0	6	218	1	0	0	10000	0	1	0	0	0	300	0	10	0
30019	0	SkillNameId_30019	Skillicon30003	SkillExplainId_30019	3	3	0	0	0	0	0	0	0	6	218	1	0	0	10000	0	1	0	0	0	500	0	10	0
30020	0	SkillNameId_30020	Skillicon30001	SkillExplainId_30020	3	3	0	0	0	0	0	0	0	6	216	1	0	0	10000	0	1	0	0	0	400	0	10	0
30021	0	SkillNameId_30021	Skillicon30003	SkillExplainId_30021	3	3	0	0	0	0	0	0	0	6	218	1	0	0	10000	0	1	0	0	0	400	0	10	0
30022	0	SkillNameId_30022	Skillicon30003	SkillExplainId_30022	3	3	0	0	0	0	0	0	0	6	218	1	0	0	10000	0	1	0	0	0	400	0	10	0
30023	0	SkillNameId_30023	Skillicon30001	SkillExplainId_30023	3	3	0	0	0	0	0	0	0	6	216	1	0	0	10000	0	1	0	0	0	300	0	10	0
30024	0	SkillNameId_30024	Skillicon30001	SkillExplainId_30024	3	3	0	0	0	0	0	0	0	6	216	1	0	0	10000	0	1	0	0	0	400	0	10	0
30025	0	SkillNameId_30025	Skillicon30001	SkillExplainId_30025	3	3	0	0	0	0	0	0	0	6	216	1	0	0	10000	0	1	0	0	0	400	0	10	0
30026	0	SkillNameId_30026	Skillicon30001	SkillExplainId_30026	3	3	0	0	0	0	0	0	0	6	216	1	0	0	10000	0	1	0	0	0	400	0	10	0
30027	0	SkillNameId_30027	Skillicon30001	SkillExplainId_30027	3	3	0	0	0	0	0	0	0	6	216	1	0	0	10000	0	1	0	0	0	400	0	10	0
30028	0	SkillNameId_30028	Skillicon30001	SkillExplainId_30028	3	3	0	0	0	0	0	0	0	6	216	1	0	0	10000	0	1	0	0	0	300	0	10	0
40001	0	SkillNameId_40001	Skillicon40001	SkillExplainId_40001	4	3	0	0	0	0	0	0	0	5	11	1	0	0	10000	0	2	0	0	0	6	0	6	0
40002	0	SkillNameId_40002	Skillicon40002	SkillExplainId_40002	4	3	0	0	0	0	0	0	0	5	101	2	0	0	10000	0	2	3	0	0	0	10	0	10
40003	0	SkillNameId_40003	Skillicon40003	SkillExplainId_40003	4	3	0	0	0	0	0	0	0	4	8	1	0	0	3500	10	1	0	0	0	4000	0	20	0
40004	0	SkillNameId_40004	Skillicon40018	SkillExplainId_40004	4	3	0	0	0	0	0	0	0	5	201	1	0	0	10000	0	1	0	0	0	0	10	0	10
40005	0	SkillNameId_40005	Skillicon40005	SkillExplainId_40005	4	3	0	0	0	0	0	0	0	5	201	1	0	0	10000	0	5	0	0	0	0	6	0	6
40006	0	SkillNameId_40006	Skillicon40006	SkillExplainId_40006	4	3	0	0	0	0	0	0	0	5	101	2	0	0	10000	0	2	3	0	0	0	10	0	10
40007	0	SkillNameId_40007	Skillicon40007	SkillExplainId_40007	4	3	0	0	0	0	0	0	0	5	12	2	0	0	10000	0	2	0	0	0	5	0	5	0
40008	0	SkillNameId_40008	Skillicon40008	SkillExplainId_40008	4	3	0	0	0	0	0	0	0	5	13	1	0	0	10000	0	2	0	0	0	5	0	5	0
40009	0	SkillNameId_40009	Skillicon40012	SkillExplainId_40009	4	3	0	0	0	0	0	0	0	5	200	1	0	0	10000	0	6	0	0	0	0	6	0	6
40010	0	SkillNameId_40010	Skillicon40010	SkillExplainId_40010	4	3	0	0	0	0	0	0	0	5	201	1	0	0	10000	0	2	9	0	0	0	5	0	5
40011	0	SkillNameId_40011	Skillicon40011	SkillExplainId_40011	4	3	0	0	0	0	0	0	0	5	14	2	0	0	10000	0	2	0	0	0	6	0	6	0
40012	0	SkillNameId_40012	Skillicon40012	SkillExplainId_40012	4	3	0	0	0	0	0	0	0	5	215	1	10	0	10000	0	2	0	0	0	200	0	2	0
40013	0	SkillNameId_40013	Skillicon40013	SkillExplainId_40013	4	3	0	0	0	0	0	0	0	5	209	1	0	0	10000	0	2	0	0	0	200	0	2	0
40014	0	SkillNameId_40014	Skillicon40014	SkillExplainId_40014	4	3	0	0	0	0	0	0	0	5	209	1	0	0	10000	0	2	0	0	0	200	0	2	0
40015	0	SkillNameId_40015	Skillicon40015	SkillExplainId_40015	4	3	0	0	0	0	0	0	0	5,1	211,210	1,1	0,0	0,0	10000,0	0,0	1,2	0,0	0,0	0,1	1500,1500	0,0	5,10	0,0
40016	0	SkillNameId_40016	Skillicon40016	SkillExplainId_40016	4	3	0	0	0	0	0	0	0	5	201	1	0	0	10000	0	1	0	0	0	0	15	0	12
40017	0	SkillNameId_40017	Skillicon40017	SkillExplainId_40017	4	3	0	0	0	0	0	0	0	5	213	1	0	0	10000	0	1	0	0	0	2000	0	20	0
40018	0	SkillNameId_40018	Skillicon40018	SkillExplainId_40018	4	3	0	0	0	0	0	0	0	5	201	1	0	0	10000	0	1	0	0	0	0	10	0	10
40019	0	SkillNameId_40019	Skillicon40019	SkillExplainId_40019	4	3	0	0	0	0	0	0	0	5	101	2	0	0	10000	0	2	2	0	0	0	10	0	10
40020	0	SkillNameId_40020	Skillicon40012	SkillExplainId_40020	4	3	0	0	0	0	0	0	0	5	200	1	0	0	10000	0	1	0	0	0	0	6	0	6
40021	0	SkillNameId_40021	Skillicon40018	SkillExplainId_40021	4	3	0	0	0	0	0	0	0	5	201	1	0	0	10000	0	1	0	0	0	0	10	0	10
40022	0	SkillNameId_40022	Skillicon40023	SkillExplainId_40022	4	3	0	0	0	0	0	0	0	5	212	1	0	0	10000	0	1	0	0	0	1000	0	10	0
40023	0	SkillNameId_40023	Skillicon40022	SkillExplainId_40023	4	3	0	0	0	0	0	0	0	5	22	1	0	0	10000	0	1	0	0	0	500	0	5	0
40024	0	SkillNameId_40024	Skillicon40012	SkillExplainId_40024	4	3	0	0	0	0	0	0	0	5	200	1	0	0	10000	0	1	0	0	0	0	10	0	10
40025	0	SkillNameId_40025	Skillicon40022	SkillExplainId_40025	4	3	0	0	0	0	0	0	0	5	22	1	0	0	10000	0	1	0	0	0	500	0	5	0
40026	0	SkillNameId_40026	Skillicon40026	SkillExplainId_40026	4	3	0	0	0	0	0	0	0	5	100	2	0	0	10000	0	2	3	0	0	0	6	0	6
40027	0	SkillNameId_40027	Skillicon40027	SkillExplainId_40027	4	3	0	0	0	0	0	0	0	5	200	1	0	0	10000	0	1	0	0	0	0	10	0	10
40028	0	SkillNameId_40028	Skillicon40028	SkillExplainId_40028	4	3	0	0	0	0	0	0	0	5	200	1	0	0	10000	0	2	2	0	0	0	5	0	5
50001	0	SkillNameId_50001	Skillicon50001	SkillExplainId_50001	5	3	0	0	0	0	0	0	0	5	209	1	0	0	10000	0	1	0	0	0	500	0	5	0
60001	0	SkillNameId_60001	Skillicon60001	SkillExplainId_60001	6	3	0	0	0	0	0	0	0	5	210	1	0	0	10000	0	1	0	0	0	500	0	5	0
70001	13001	SkillNameId_70001	Skillicon20001	SkillExplainId_70001	7	1	4	0	0	27000	12	20	12	3,3	6,119	2,2	0,0	0,0	10000,10000	0,0	0,0	0,0	0,0	2,0	2000,0	12,300	0,0	12,0
70002	13002	SkillNameId_70002	Skillicon20002	SkillExplainId_70002	7	1	3	0	0	38000	12	10	20	3,3	1,12	2,2	0,0	0,0	5000,10000	0,0	0,2	0,3	0,0	1,2	0,2500	0,0	0,0	0,0
70003	13003	SkillNameId_70003	Skillicon20003	SkillExplainId_70003	7	1	2	0	0	16000	8	10	8	3	1	2	0	0	2000	0	0	0	0	1	0	0	0	0
70004	13004	SkillNameId_70004	Skillicon20004	SkillExplainId_70004	7	1	3	1	5000	36000	20	30	20	3	206	1	0	0	10000	0	4	7	0	2	4000	0	0	0
70005	13005	SkillNameId_70005	Skillicon20005	SkillExplainId_70005	7	2	2	0	0	9000	12	10	12	2	7	1			10000	0	5	5	5	1	9000	12	0	0
70006	13006	SkillNameId_70006	Skillicon20006	SkillExplainId_70006	7	1	2	0	0	20000	12	20	10	3	113	2	0	0	10000	0	0	0	0	2	8500	0	0	0
70007	13007	SkillNameId_70007	Skillicon20007	SkillExplainId_70007	7	1	4	0	0	27000	12	20	12	3,3,3	14,1,12	2,2,2	0,0,0	0,0,0	10000,3200,5000	0,0,0	0,0,2	0,0,0	0,0,0	1,1,2	0,0,500	0,0,0	0,0,0	0,0,0
70008	13008	SkillNameId_70008	Skillicon20008	SkillExplainId_70008	7	1	3	0	0	38000	20	40	20	3,3,3	13,210,1	1,1,2	0,0,0	0,0,0	10000,10000,1500	0,0,0	1,1,0	0,0,0	0,0,0	2,2,1	5000,2000,0	0,0,0	0,0,0	0,0,0
70009	13009	SkillNameId_70009	Skillicon20009	SkillExplainId_70009	7	1	6	0	0	22000	15	20	15	3,3	6,14	2,2	0,0	0,0	10000,10000	0,0	0,0	0,0	0,0	2,2	20004000	10,0	0,0	10,0
70010	13010	SkillNameId_70010	Skillicon20010	SkillExplainId_70010	7	1	2	4	3	20000	10	10	10	2,2	20,25	1,1	0,0	0,0	10000,10000	0,0	1,1	0,0	0,0	0,1	4000,0	0,0	0,0	0,0
70011	13011	SkillNameId_70011	Skillicon20011	SkillExplainId_70011	7	1	3	0	0	42000	24	40	24	3,3	15,16	1,1	0,0	0,0	10000,10000	0,0	0,0	0,0	0,0	2,2	15003000	0,0	0,0	0,0
