基础ID	卡片资质类型	装备等级	武器金币消耗	衣服金币消耗	裤子金币消耗	鞋金币消耗
170	1	70	11300	11300	11300	11300
171	1	71	11300	11300	11300	11300
172	1	72	11300	11300	11300	11300
173	1	73	11300	11300	11300	11300
174	1	74	11300	11300	11300	11300
175	1	75	16300	16300	16300	16300
176	1	76	16300	16300	16300	16300
177	1	77	16300	16300	16300	16300
178	1	78	16300	16300	16300	16300
179	1	79	16300	16300	16300	16300
180	1	80	26300	26300	26300	26300
181	1	81	26300	26300	26300	26300
182	1	82	26300	26300	26300	26300
183	1	83	26300	26300	26300	26300
184	1	84	26300	26300	26300	26300
185	1	85	41300	41300	41300	41300
186	1	86	41300	41300	41300	41300
187	1	87	41300	41300	41300	41300
188	1	88	41300	41300	41300	41300
189	1	89	41300	41300	41300	41300
190	1	90	63800	63800	63800	63800
191	1	91	63800	63800	63800	63800
192	1	92	63800	63800	63800	63800
193	1	93	63800	63800	63800	63800
194	1	94	63800	63800	63800	63800
195	1	95	93800	93800	93800	93800
196	1	96	93800	93800	93800	93800
197	1	97	93800	93800	93800	93800
198	1	98	93800	93800	93800	93800
199	1	99	93800	93800	93800	93800
200	1	100	133800	133800	133800	133800
201	1	101	133800	133800	133800	133800
202	1	102	133800	133800	133800	133800
203	1	103	133800	133800	133800	133800
204	1	104	133800	133800	133800	133800
205	1	105	0	0	0	0
206	2	1	1200	1200	1200	1200
207	2	2	1200	1200	1200	1200
208	2	3	1200	1200	1200	1200
209	2	4	1200	1200	1200	1200
210	2	5	1200	1200	1200	1200
211	2	6	1200	1200	1200	1200
212	2	7	1200	1200	1200	1200
213	2	8	1200	1200	1200	1200
214	2	9	1200	1200	1200	1200
215	2	10	2640	2640	2640	2640
216	2	11	2640	2640	2640	2640
217	2	12	2640	2640	2640	2640
218	2	13	2640	2640	2640	2640
219	2	14	2640	2640	2640	2640
220	2	15	3000	3000	3000	3000
221	2	16	3000	3000	3000	3000
222	2	17	3000	3000	3000	3000
223	2	18	3000	3000	3000	3000
224	2	19	3000	3000	3000	3000
225	2	20	3250	3250	3250	3250
226	2	21	3250	3250	3250	3250
227	2	22	3250	3250	3250	3250
228	2	23	3250	3250	3250	3250
229	2	24	3250	3250	3250	3250
230	2	25	3500	3500	3500	3500
231	2	26	3500	3500	3500	3500
232	2	27	3500	3500	3500	3500
233	2	28	3500	3500	3500	3500
234	2	29	3500	3500	3500	3500
235	2	30	3900	3900	3900	3900
236	2	31	3900	3900	3900	3900
237	2	32	3900	3900	3900	3900
238	2	33	3900	3900	3900	3900
239	2	34	3900	3900	3900	3900
240	2	35	4300	4300	4300	4300
241	2	36	4300	4300	4300	4300
242	2	37	4300	4300	4300	4300
243	2	38	4300	4300	4300	4300
244	2	39	4300	4300	4300	4300
245	2	40	4800	4800	4800	4800
246	2	41	4800	4800	4800	4800
247	2	42	4800	4800	4800	4800
248	2	43	4800	4800	4800	4800
249	2	44	4800	4800	4800	4800
250	2	45	5300	5300	5300	5300
251	2	46	5300	5300	5300	5300
252	2	47	5300	5300	5300	5300
253	2	48	5300	5300	5300	5300
254	2	49	5300	5300	5300	5300
255	2	50	6050	6050	6050	6050
256	2	51	6050	6050	6050	6050
257	2	52	6050	6050	6050	6050
258	2	53	6050	6050	6050	6050
259	2	54	6050	6050	6050	6050
260	2	55	6800	6800	6800	6800
261	2	56	6800	6800	6800	6800
262	2	57	6800	6800	6800	6800
263	2	58	6800	6800	6800	6800
264	2	59	6800	6800	6800	6800
265	2	60	7800	7800	7800	7800
266	2	61	7800	7800	7800	7800
267	2	62	7800	7800	7800	7800
268	2	63	7800	7800	7800	7800
269	2	64	7800	7800	7800	7800
270	2	65	8800	8800	8800	8800
271	2	66	8800	8800	8800	8800
272	2	67	8800	8800	8800	8800
273	2	68	8800	8800	8800	8800
274	2	69	8800	8800	8800	8800
275	2	70	11300	11300	11300	11300
276	2	71	11300	11300	11300	11300
277	2	72	11300	11300	11300	11300
278	2	73	11300	11300	11300	11300
279	2	74	11300	11300	11300	11300
280	2	75	16300	16300	16300	16300
281	2	76	16300	16300	16300	16300
282	2	77	16300	16300	16300	16300
283	2	78	16300	16300	16300	16300
284	2	79	16300	16300	16300	16300
285	2	80	26300	26300	26300	26300
286	2	81	26300	26300	26300	26300
287	2	82	26300	26300	26300	26300
288	2	83	26300	26300	26300	26300
289	2	84	26300	26300	26300	26300
290	2	85	41300	41300	41300	41300
291	2	86	41300	41300	41300	41300
292	2	87	41300	41300	41300	41300
293	2	88	41300	41300	41300	41300
294	2	89	41300	41300	41300	41300
295	2	90	63800	63800	63800	63800
296	2	91	63800	63800	63800	63800
297	2	92	63800	63800	63800	63800
298	2	93	63800	63800	63800	63800
299	2	94	63800	63800	63800	63800
300	2	95	93800	93800	93800	93800
301	2	96	93800	93800	93800	93800
302	2	97	93800	93800	93800	93800
303	2	98	93800	93800	93800	93800
304	2	99	93800	93800	93800	93800
305	2	100	133800	133800	133800	133800
306	2	101	133800	133800	133800	133800
307	2	102	133800	133800	133800	133800
308	2	103	133800	133800	133800	133800
309	2	104	133800	133800	133800	133800
310	2	105	0	0	0	0
