怪物ID	卡片ID	初始怒气	攻击怒气	被击怒气	击杀怒气	攻击	防御	生命	伤害	免伤	暴击	抗暴	暴击强度	破档	格挡	格挡强度	治疗	吸血	反伤	控制率	免控	是否物品怪	形象模型阶段	怪物是否为觉醒	小技能释放概率	小技能等级	怒气技能等级	被动1等级	被动2等级	被动3等级	被动4等级	卡片战魂等级
1021	2000104	-1000000	200	10000	300	97	33	407	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1022	2000105	-1000000	200	10000	300	97	33	407	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1023	2000106	-1000000	200	10000	300	97	33	407	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1024	2000109	-1000000	200	10000	300	97	33	407	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1025	1000002	-1000000	200	10000	300	150	20	1800	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1026	1000026	-1000000	200	10000	300	160	20	2200	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1027	1000001	-1000000	200	10000	300	200	20	2400	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1028	1000011	-1000000	200	10000	300	240	20	3200	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1029	2000101	-1000000	200	10000	300	106	36	434	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1030	2000102	-1000000	200	10000	300	106	36	434	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1031	2000104	-1000000	200	10000	300	106	36	434	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1032	2000105	-1000000	200	10000	300	106	36	434	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1033	2000106	-1000000	200	10000	300	106	36	434	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1034	2000109	-1000000	200	10000	300	106	36	434	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1035	1000024	-1000000	200	10000	300	426	134	5040	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1036	1000022	-1000000	200	10000	300	281	90	3360	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1037	1000008	-1000000	200	10000	300	269	185	5854	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1038	2000101	-1000000	200	10000	300	114	38	761	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1039	2000102	-1000000	200	10000	300	114	38	761	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1040	2000104	-1000000	200	10000	300	114	38	761	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1041	2000105	-1000000	200	10000	300	114	38	761	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1042	2000106	-1000000	200	10000	300	114	38	761	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1043	2000109	-1000000	200	10000	300	114	38	761	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1044	1000023	-1000000	200	10000	300	274	188	5908	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1045	1000024	-1000000	200	10000	300	651	205	7695	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1046	1000021	-1000000	200	10000	300	278	191	6018	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1047	1000026	-1000000	200	10000	300	744	337	10230	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1048	2000101	-1000000	200	10000	300	314	106	1256	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1049	2000102	-1000000	200	10000	300	314	106	1256	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1050	2000104	-1000000	200	10000	300	314	106	1256	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1051	2000105	-1000000	200	10000	300	314	106	1256	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1052	2000106	-1000000	200	10000	300	314	106	1256	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1053	2000109	-1000000	200	10000	300	314	106	1256	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1054	1000020	-1000000	200	10000	300	503	286	9206	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1055	1000002	-1000000	200	10000	300	610	267	8160	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1056	1000026	-1000000	200	10000	300	813	360	10950	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1057	1000027	-1000000	200	10000	300	934	303	10908	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1058	1000024	-1000000	200	10000	300	934	303	10908	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1059	1000012	-1000000	200	10000	300	1433	639	19320	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1060	2000101	-1000000	200	10000	300	366	120	1418	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1061	2000102	-1000000	200	10000	300	366	120	1418	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1062	2000104	-1000000	200	10000	300	366	120	1418	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1063	2000105	-1000000	200	10000	300	366	120	1418	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1064	2000106	-1000000	200	10000	300	366	120	1418	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1065	2000109	-1000000	200	10000	300	366	120	1418	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1066	1000001	-1000000	200	10000	300	984	317	11388	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1067	1000022	-1000000	200	10000	300	732	240	8508	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1068	1000020	-1000000	200	10000	300	536	299	9654	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1069	1000021	-1000000	200	10000	300	536	299	9654	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1070	1000016	-1000000	200	10000	300	690	404	13116	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1071	1000001	-1000000	200	10000	300	536	299	9654	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1072	1000026	-1000000	200	10000	300	860	376	11430	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1073	1000024	-1000000	200	10000	300	984	317	11388	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1074	1000015	-1000000	200	10000	300	1752	547	20028	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1075	1000027	-1000000	200	10000	300	984	317	11388	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1076	2000101	-1000000	200	10000	300	557	183	2101	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1077	2000102	-1000000	200	10000	300	557	183	2101	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1078	2000104	-1000000	200	10000	300	557	183	2101	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1079	2000105	-1000000	200	10000	300	557	183	2101	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1080	2000106	-1000000	200	10000	300	557	183	2101	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1081	2000109	-1000000	200	10000	300	557	183	2101	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1082	1000021	-1000000	200	10000	300	827	449	14303	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1083	1000025	-1000000	200	10000	300	995	422	12645	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1084	1000007	-1000000	200	10000	300	1300	560	16785	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1085	1000001	-1000000	200	10000	300	1047	601	19306	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1086	1000017	-1000000	200	10000	300	995	422	12645	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1087	1000005	-1000000	200	10000	300	995	422	12645	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1088	1000001	-1000000	200	10000	300	827	449	14303	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1089	1000003	-1000000	200	10000	300	1047	601	19306	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1090	1000027	-1000000	200	10000	300	1479	476	16743	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1091	1000026	-1000000	200	10000	300	1300	560	16785	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1092	1000008	-1000000	200	10000	300	1047	601	19306	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1093	2000101	-1000000	200	10000	300	1073	374	3993	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1094	2000102	-1000000	200	10000	300	1073	374	3993	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1095	2000104	-1000000	200	10000	300	1073	374	3993	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1096	2000105	-1000000	200	10000	300	1073	374	3993	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1097	2000106	-1000000	200	10000	300	1073	374	3993	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1098	2000109	-1000000	200	10000	300	1073	374	3993	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1099	1000001	-1000000	200	10000	300	2071	660	22848	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1100	1000027	-1000000	200	10000	300	2071	660	22848	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1101	1000016	-1000000	200	10000	300	1469	828	26665	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1102	1000022	-1000000	200	10000	300	1579	512	17298	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1103	1000024	-1000000	200	10000	300	2071	660	22848	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1104	1000007	-1000000	200	10000	300	1830	772	22890	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1105	1000011	-1000000	200	10000	300	2500	704	29498	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1106	1000015	-1000000	200	10000	300	2500	704	29498	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1107	2000101	-1000000	200	10000	300	1848	520	6727	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1108	2000102	-1000000	200	10000	300	1848	520	6727	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1109	2000104	-1000000	200	10000	300	1848	520	6727	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1110	2000105	-1000000	200	10000	300	1848	520	6727	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1111	2000106	-1000000	200	10000	300	1848	520	6727	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1112	2000109	-1000000	200	10000	300	1848	520	6727	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1113	1000009	-1000000	200	10000	300	3547	1605	44805	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1114	1000027	-1000000	200	10000	300	4030	1356	44301	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1115	1000025	-1000000	200	10000	300	2754	1210	34140	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
