天赋ID	天赋ID	天赋名称	天赋描述	天赋ICON	需要战队等级	前置天赋ID	后置天赋ID	影响玩法类型	天赋等级	所在天赋树ID	天赋类型	天赋范围	天赋范围条件	属性编号	属性值	金币消耗	天赋点消耗
400701	400070	TalentNameId_400070	TalentExplainId_400070	TalentIcon_400070	40	400607	400702	1	1	1	1	6	0	11	100	5000	2
400702	400070	TalentNameId_400070	TalentExplainId_400070	TalentIcon_400070	40	400701	400703	1	2	1	1	6	0	11	200	10000	2
400703	400070	TalentNameId_400070	TalentExplainId_400070	TalentIcon_400070	40	400702	400704	1	3	1	1	6	0	11	300	20000	2
400704	400070	TalentNameId_400070	TalentExplainId_400070	TalentIcon_400070	40	400703	400705	1	4	1	1	6	0	11	400	30000	3
400705	400070	TalentNameId_400070	TalentExplainId_400070	TalentIcon_400070	40	400704	400706	1	5	1	1	6	0	11	500	30000	3
400706	400070	TalentNameId_400070	TalentExplainId_400070	TalentIcon_400070	40	400705	400707	1	6	1	1	6	0	11	600	40000	4
400707	400070	TalentNameId_400070	TalentExplainId_400070	TalentIcon_400070	40	400706	400708	1	7	1	1	6	0	11	700	40000	4
400708	400070	TalentNameId_400070	TalentExplainId_400070	TalentIcon_400070	40	400707	400709	1	8	1	1	6	0	11	800	60000	5
400709	400070	TalentNameId_400070	TalentExplainId_400070	TalentIcon_400070	40	400708	400710	1	9	1	1	6	0	11	900	80000	5
400710	400070	TalentNameId_400070	TalentExplainId_400070	TalentIcon_400070	40	400709	0	1	10	1	1	6	0	11	1000	100000	6
400801	400080	TalentNameId_400080	TalentExplainId_400080	TalentIcon_400080	0	0	400802	1	1	2	1	2,2	0,0	3,1	80,10	20000	2
400802	400080	TalentNameId_400080	TalentExplainId_400080	TalentIcon_400080	0	400801	400803	1	2	2	1	2,2	0,0	3,1	160,20	20000	2
400803	400080	TalentNameId_400080	TalentExplainId_400080	TalentIcon_400080	0	400802	400804	1	3	2	1	2,2	0,0	3,1	240,30	3000	2
400804	400080	TalentNameId_400080	TalentExplainId_400080	TalentIcon_400080	0	400803	400805	1	4	2	1	2,2	0,0	3,1	320,40	40000	3
400805	400080	TalentNameId_400080	TalentExplainId_400080	TalentIcon_400080	0	400804	400806	1	5	2	1	2,2	0,0	3,1	400,50	50000	3
400806	400080	TalentNameId_400080	TalentExplainId_400080	TalentIcon_400080	0	400805	400807	1	6	2	1	2,2	0,0	3,1	480,60	60000	4
400807	400080	TalentNameId_400080	TalentExplainId_400080	TalentIcon_400080	0	400806	400808	1	7	2	1	2,2	0,0	3,1	560,70	80000	4
400808	400080	TalentNameId_400080	TalentExplainId_400080	TalentIcon_400080	0	400807	400809	1	8	2	1	2,2	0,0	3,1	640,80	100000	5
400809	400080	TalentNameId_400080	TalentExplainId_400080	TalentIcon_400080	0	400808	400810	1	9	2	1	2,2	0,0	3,1	720,90	120000	5
400810	400080	TalentNameId_400080	TalentExplainId_400080	TalentIcon_400080	0	400809	0	1	10	2	1	2,2	0,0	3,1	800,100	150000	6
400901	400090	TalentNameId_400090	TalentExplainId_400090	TalentIcon_400090	50	400807	400902	1	1	2	1	2	8	1	25	20000	2
400902	400090	TalentNameId_400090	TalentExplainId_400090	TalentIcon_400090	50	400901	400903	1	2	2	1	2	8	1	50	20000	2
400903	400090	TalentNameId_400090	TalentExplainId_400090	TalentIcon_400090	50	400902	400904	1	3	2	1	2	8	1	75	3000	2
400904	400090	TalentNameId_400090	TalentExplainId_400090	TalentIcon_400090	50	400903	400905	1	4	2	1	2	8	1	100	40000	3
400905	400090	TalentNameId_400090	TalentExplainId_400090	TalentIcon_400090	50	400904	400906	1	5	2	1	2	8	1	125	50000	3
400906	400090	TalentNameId_400090	TalentExplainId_400090	TalentIcon_400090	50	400905	400907	1	6	2	1	2	8	1	150	60000	4
400907	400090	TalentNameId_400090	TalentExplainId_400090	TalentIcon_400090	50	400906	400908	1	7	2	1	2	8	1	175	80000	4
400908	400090	TalentNameId_400090	TalentExplainId_400090	TalentIcon_400090	50	400907	400909	1	8	2	1	2	8	1	200	100000	5
400909	400090	TalentNameId_400090	TalentExplainId_400090	TalentIcon_400090	50	400908	400910	1	9	2	1	2	8	1	225	120000	5
400910	400090	TalentNameId_400090	TalentExplainId_400090	TalentIcon_400090	50	400909	0	1	10	2	1	2	8	1	250	150000	6
401001	400100	TalentNameId_400100	TalentExplainId_400100	TalentIcon_400100	55	400907	401002	1	1	2	1	2	8	33	100	20000	2
401002	400100	TalentNameId_400100	TalentExplainId_400100	TalentIcon_400100	55	401001	401003	1	2	2	1	2	8	33	200	20000	2
401003	400100	TalentNameId_400100	TalentExplainId_400100	TalentIcon_400100	55	401002	401004	1	3	2	1	2	8	33	300	3000	2
401004	400100	TalentNameId_400100	TalentExplainId_400100	TalentIcon_400100	55	401003	401005	1	4	2	1	2	8	33	400	40000	3
401005	400100	TalentNameId_400100	TalentExplainId_400100	TalentIcon_400100	55	401004	401006	1	5	2	1	2	8	33	500	50000	3
401006	400100	TalentNameId_400100	TalentExplainId_400100	TalentIcon_400100	55	401005	401007	1	6	2	1	2	8	33	600	60000	4
401007	400100	TalentNameId_400100	TalentExplainId_400100	TalentIcon_400100	55	401006	401008	1	7	2	1	2	8	33	700	80000	4
401008	400100	TalentNameId_400100	TalentExplainId_400100	TalentIcon_400100	55	401007	401009	1	8	2	1	2	8	33	800	100000	5
401009	400100	TalentNameId_400100	TalentExplainId_400100	TalentIcon_400100	55	401008	401010	1	9	2	1	2	8	33	900	120000	5
401010	400100	TalentNameId_400100	TalentExplainId_400100	TalentIcon_400100	55	401009	0	1	10	2	1	2	8	33	1000	150000	6
401101	400110	TalentNameId_400110	TalentExplainId_400110	TalentIcon_400110	60	401007	401102	1	1	2	1	2	8	41	100	20000	2
401102	400110	TalentNameId_400110	TalentExplainId_400110	TalentIcon_400110	60	401101	401103	1	2	2	1	2	8	41	200	20000	2
401103	400110	TalentNameId_400110	TalentExplainId_400110	TalentIcon_400110	60	401102	401104	1	3	2	1	2	8	41	300	3000	2
401104	400110	TalentNameId_400110	TalentExplainId_400110	TalentIcon_400110	60	401103	401105	1	4	2	1	2	8	41	400	40000	3
401105	400110	TalentNameId_400110	TalentExplainId_400110	TalentIcon_400110	60	401104	401106	1	5	2	1	2	8	41	500	50000	3
401106	400110	TalentNameId_400110	TalentExplainId_400110	TalentIcon_400110	60	401105	401107	1	6	2	1	2	8	41	600	60000	4
401107	400110	TalentNameId_400110	TalentExplainId_400110	TalentIcon_400110	60	401106	401108	1	7	2	1	2	8	41	700	80000	4
401108	400110	TalentNameId_400110	TalentExplainId_400110	TalentIcon_400110	60	401107	401109	1	8	2	1	2	8	41	800	100000	5
401109	400110	TalentNameId_400110	TalentExplainId_400110	TalentIcon_400110	60	401108	401110	1	9	2	1	2	8	41	900	120000	5
401110	400110	TalentNameId_400110	TalentExplainId_400110	TalentIcon_400110	60	401109	0	1	10	2	1	2	8	41	1000	150000	6
401201	400120	TalentNameId_400120	TalentExplainId_400120	TalentIcon_400120	50	400807	401202	1	1	2	1	2,2	10,10	3,1	100,15	20000	2
401202	400120	TalentNameId_400120	TalentExplainId_400120	TalentIcon_400120	50	401201	401203	1	2	2	1	2,2	10,10	3,1	200,30	20000	2
401203	400120	TalentNameId_400120	TalentExplainId_400120	TalentIcon_400120	50	401202	401204	1	3	2	1	2,2	10,10	3,1	300,45	3000	2
401204	400120	TalentNameId_400120	TalentExplainId_400120	TalentIcon_400120	50	401203	401205	1	4	2	1	2,2	10,10	3,1	400,60	40000	3
401205	400120	TalentNameId_400120	TalentExplainId_400120	TalentIcon_400120	50	401204	401206	1	5	2	1	2,2	10,10	3,1	500,75	50000	3
401206	400120	TalentNameId_400120	TalentExplainId_400120	TalentIcon_400120	50	401205	401207	1	6	2	1	2,2	10,10	3,1	600,90	60000	4
401207	400120	TalentNameId_400120	TalentExplainId_400120	TalentIcon_400120	50	401206	401208	1	7	2	1	2,2	10,10	3,1	700,105	80000	4
401208	400120	TalentNameId_400120	TalentExplainId_400120	TalentIcon_400120	50	401207	401209	1	8	2	1	2,2	10,10	3,1	800,120	100000	5
401209	400120	TalentNameId_400120	TalentExplainId_400120	TalentIcon_400120	50	401208	401210	1	9	2	1	2,2	10,10	3,1	900,135	120000	5
401210	400120	TalentNameId_400120	TalentExplainId_400120	TalentIcon_400120	50	401209	0	1	10	2	1	2,2	10,10	3,1	1000,150	150000	6
401301	400130	TalentNameId_400130	TalentExplainId_400130	TalentIcon_400130	55	401207	401302	1	1	2	1	2	10	35	100	20000	2
401302	400130	TalentNameId_400130	TalentExplainId_400130	TalentIcon_400130	55	401301	401303	1	2	2	1	2	10	35	200	20000	2
401303	400130	TalentNameId_400130	TalentExplainId_400130	TalentIcon_400130	55	401302	401304	1	3	2	1	2	10	35	300	3000	2
401304	400130	TalentNameId_400130	TalentExplainId_400130	TalentIcon_400130	55	401303	401305	1	4	2	1	2	10	35	400	40000	3
401305	400130	TalentNameId_400130	TalentExplainId_400130	TalentIcon_400130	55	401304	401306	1	5	2	1	2	10	35	500	50000	3
401306	400130	TalentNameId_400130	TalentExplainId_400130	TalentIcon_400130	55	401305	401307	1	6	2	1	2	10	35	600	60000	4
401307	400130	TalentNameId_400130	TalentExplainId_400130	TalentIcon_400130	55	401306	401308	1	7	2	1	2	10	35	700	80000	4
401308	400130	TalentNameId_400130	TalentExplainId_400130	TalentIcon_400130	55	401307	401309	1	8	2	1	2	10	35	800	100000	5
401309	400130	TalentNameId_400130	TalentExplainId_400130	TalentIcon_400130	55	401308	401310	1	9	2	1	2	10	35	900	120000	5
401310	400130	TalentNameId_400130	TalentExplainId_400130	TalentIcon_400130	55	401309	0	1	10	2	1	2	10	35	1000	150000	6
401401	400140	TalentNameId_400140	TalentExplainId_400140	TalentIcon_400140	60	401307	401402	1	1	2	1	2	10	40	100	20000	2
401402	400140	TalentNameId_400140	TalentExplainId_400140	TalentIcon_400140	60	401401	401403	1	2	2	1	2	10	40	200	20000	2
401403	400140	TalentNameId_400140	TalentExplainId_400140	TalentIcon_400140	60	401402	401404	1	3	2	1	2	10	40	300	3000	2
401404	400140	TalentNameId_400140	TalentExplainId_400140	TalentIcon_400140	60	401403	401405	1	4	2	1	2	10	40	400	40000	3
401405	400140	TalentNameId_400140	TalentExplainId_400140	TalentIcon_400140	60	401404	401406	1	5	2	1	2	10	40	500	50000	3
401406	400140	TalentNameId_400140	TalentExplainId_400140	TalentIcon_400140	60	401405	401407	1	6	2	1	2	10	40	600	60000	4
401407	400140	TalentNameId_400140	TalentExplainId_400140	TalentIcon_400140	60	401406	401408	1	7	2	1	2	10	40	700	80000	4
401408	400140	TalentNameId_400140	TalentExplainId_400140	TalentIcon_400140	60	401407	401409	1	8	2	1	2	10	40	800	100000	5
401409	400140	TalentNameId_400140	TalentExplainId_400140	TalentIcon_400140	60	401408	401410	1	9	2	1	2	10	40	900	120000	5
401410	400140	TalentNameId_400140	TalentExplainId_400140	TalentIcon_400140	60	401409	0	1	10	2	1	2	10	40	1000	150000	6
401501	400150	TalentNameId_400150	TalentExplainId_400150	TalentIcon_400150	50	400807	401502	1	1	2	1	2	9	3	200	20000	2
401502	400150	TalentNameId_400150	TalentExplainId_400150	TalentIcon_400150	50	401501	401503	1	2	2	1	2	9	3	400	20000	2
401503	400150	TalentNameId_400150	TalentExplainId_400150	TalentIcon_400150	50	401502	401504	1	3	2	1	2	9	3	600	3000	2
401504	400150	TalentNameId_400150	TalentExplainId_400150	TalentIcon_400150	50	401503	401505	1	4	2	1	2	9	3	800	40000	3
401505	400150	TalentNameId_400150	TalentExplainId_400150	TalentIcon_400150	50	401504	401506	1	5	2	1	2	9	3	1000	50000	3
401506	400150	TalentNameId_400150	TalentExplainId_400150	TalentIcon_400150	50	401505	401507	1	6	2	1	2	9	3	1200	60000	4
401507	400150	TalentNameId_400150	TalentExplainId_400150	TalentIcon_400150	50	401506	401508	1	7	2	1	2	9	3	1400	80000	4
401508	400150	TalentNameId_400150	TalentExplainId_400150	TalentIcon_400150	50	401507	401509	1	8	2	1	2	9	3	1600	100000	5
401509	400150	TalentNameId_400150	TalentExplainId_400150	TalentIcon_400150	50	401508	401510	1	9	2	1	2	9	3	1800	120000	5
401510	400150	TalentNameId_400150	TalentExplainId_400150	TalentIcon_400150	50	401509	0	1	10	2	1	2	9	3	2000	150000	6
401601	400160	TalentNameId_400160	TalentExplainId_400160	TalentIcon_400160	55	401507	401602	1	1	2	1	2	9	37	100	20000	2
401602	400160	TalentNameId_400160	TalentExplainId_400160	TalentIcon_400160	55	401601	401603	1	2	2	1	2	9	37	200	20000	2
401603	400160	TalentNameId_400160	TalentExplainId_400160	TalentIcon_400160	55	401602	401604	1	3	2	1	2	9	37	300	3000	2
401604	400160	TalentNameId_400160	TalentExplainId_400160	TalentIcon_400160	55	401603	401605	1	4	2	1	2	9	37	400	40000	3
401605	400160	TalentNameId_400160	TalentExplainId_400160	TalentIcon_400160	55	401604	401606	1	5	2	1	2	9	37	500	50000	3
401606	400160	TalentNameId_400160	TalentExplainId_400160	TalentIcon_400160	55	401605	401607	1	6	2	1	2	9	37	600	60000	4
401607	400160	TalentNameId_400160	TalentExplainId_400160	TalentIcon_400160	55	401606	401608	1	7	2	1	2	9	37	700	80000	4
401608	400160	TalentNameId_400160	TalentExplainId_400160	TalentIcon_400160	55	401607	401609	1	8	2	1	2	9	37	800	100000	5
401609	400160	TalentNameId_400160	TalentExplainId_400160	TalentIcon_400160	55	401608	401610	1	9	2	1	2	9	37	900	120000	5
401610	400160	TalentNameId_400160	TalentExplainId_400160	TalentIcon_400160	55	401609	0	1	10	2	1	2	9	37	1000	150000	6
401701	400170	TalentNameId_400170	TalentExplainId_400170	TalentIcon_400170	60	401607	401702	1	1	2	1	2	9	39	100	20000	2
401702	400170	TalentNameId_400170	TalentExplainId_400170	TalentIcon_400170	60	401701	401703	1	2	2	1	2	9	39	200	20000	2
401703	400170	TalentNameId_400170	TalentExplainId_400170	TalentIcon_400170	60	401702	401704	1	3	2	1	2	9	39	300	3000	2
401704	400170	TalentNameId_400170	TalentExplainId_400170	TalentIcon_400170	60	401703	401705	1	4	2	1	2	9	39	400	40000	3
401705	400170	TalentNameId_400170	TalentExplainId_400170	TalentIcon_400170	60	401704	401706	1	5	2	1	2	9	39	500	50000	3
401706	400170	TalentNameId_400170	TalentExplainId_400170	TalentIcon_400170	60	401705	401707	1	6	2	1	2	9	39	600	60000	4
401707	400170	TalentNameId_400170	TalentExplainId_400170	TalentIcon_400170	60	401706	401708	1	7	2	1	2	9	39	700	80000	4
401708	400170	TalentNameId_400170	TalentExplainId_400170	TalentIcon_400170	60	401707	401709	1	8	2	1	2	9	39	800	100000	5
401709	400170	TalentNameId_400170	TalentExplainId_400170	TalentIcon_400170	60	401708	401710	1	9	2	1	2	9	39	900	120000	5
401710	400170	TalentNameId_400170	TalentExplainId_400170	TalentIcon_400170	60	401709	0	1	10	2	1	2	9	39	1000	150000	6
401801	400180	TalentNameId_400180	TalentExplainId_400180	TalentIcon_400180	0	0	401802	1	1	3	1	2,2	0,0	3,1	160,20	30000	3
401802	400180	TalentNameId_400180	TalentExplainId_400180	TalentIcon_400180	0	401801	401803	1	2	3	1	2,2	0,0	3,1	320,40	60000	3
401803	400180	TalentNameId_400180	TalentExplainId_400180	TalentIcon_400180	0	401802	401804	1	3	3	1	2,2	0,0	3,1	480,60	100000	3
401804	400180	TalentNameId_400180	TalentExplainId_400180	TalentIcon_400180	0	401803	401805	1	4	3	1	2,2	0,0	3,1	640,80	150000	4
401805	400180	TalentNameId_400180	TalentExplainId_400180	TalentIcon_400180	0	401804	401806	1	5	3	1	2,2	0,0	3,1	800,100	200000	4
401806	400180	TalentNameId_400180	TalentExplainId_400180	TalentIcon_400180	0	401805	401807	1	6	3	1	2,2	0,0	3,1	960,120	250000	5
401807	400180	TalentNameId_400180	TalentExplainId_400180	TalentIcon_400180	0	401806	401808	1	7	3	1	2,2	0,0	3,1	1120,140	300000	5
401808	400180	TalentNameId_400180	TalentExplainId_400180	TalentIcon_400180	0	401807	401809	1	8	3	1	2,2	0,0	3,1	1280,160	350000	6
401809	400180	TalentNameId_400180	TalentExplainId_400180	TalentIcon_400180	0	401808	401810	1	9	3	1	2,2	0,0	3,1	1440,180	400000	6
401810	400180	TalentNameId_400180	TalentExplainId_400180	TalentIcon_400180	0	401809	0	1	10	3	1	2,2	0,0	3,1	1600,200	500000	7
401901	400190	TalentNameId_400190	TalentExplainId_400190	TalentIcon_400190	70	401807	401902	1	1	3	1	2	8	5	100	30000	3
401902	400190	TalentNameId_400190	TalentExplainId_400190	TalentIcon_400190	70	401901	401903	1	2	3	1	2	8	5	200	60000	3
401903	400190	TalentNameId_400190	TalentExplainId_400190	TalentIcon_400190	70	401902	401904	1	3	3	1	2	8	5	300	100000	3
401904	400190	TalentNameId_400190	TalentExplainId_400190	TalentIcon_400190	70	401903	401905	1	4	3	1	2	8	5	400	150000	4
401905	400190	TalentNameId_400190	TalentExplainId_400190	TalentIcon_400190	70	401904	401906	1	5	3	1	2	8	5	500	200000	4
401906	400190	TalentNameId_400190	TalentExplainId_400190	TalentIcon_400190	70	401905	401907	1	6	3	1	2	8	5	600	250000	5
401907	400190	TalentNameId_400190	TalentExplainId_400190	TalentIcon_400190	70	401906	401908	1	7	3	1	2	8	5	700	300000	5
401908	400190	TalentNameId_400190	TalentExplainId_400190	TalentIcon_400190	70	401907	401909	1	8	3	1	2	8	5	800	350000	6
401909	400190	TalentNameId_400190	TalentExplainId_400190	TalentIcon_400190	70	401908	401910	1	9	3	1	2	8	5	900	400000	6
401910	400190	TalentNameId_400190	TalentExplainId_400190	TalentIcon_400190	70	401909	0	1	10	3	1	2	8	5	1000	500000	7
402001	400200	TalentNameId_400200	TalentExplainId_400200	TalentIcon_400200	75	401907	402002	1	1	3	1	2	8	7	300	30000	3
402002	400200	TalentNameId_400200	TalentExplainId_400200	TalentIcon_400200	75	402001	402003	1	2	3	1	2	8	7	600	60000	3
402003	400200	TalentNameId_400200	TalentExplainId_400200	TalentIcon_400200	75	402002	402004	1	3	3	1	2	8	7	900	100000	3
402004	400200	TalentNameId_400200	TalentExplainId_400200	TalentIcon_400200	75	402003	402005	1	4	3	1	2	8	7	1200	150000	4
402005	400200	TalentNameId_400200	TalentExplainId_400200	TalentIcon_400200	75	402004	402006	1	5	3	1	2	8	7	1500	200000	4
402006	400200	TalentNameId_400200	TalentExplainId_400200	TalentIcon_400200	75	402005	402007	1	6	3	1	2	8	7	1800	250000	5
402007	400200	TalentNameId_400200	TalentExplainId_400200	TalentIcon_400200	75	402006	402008	1	7	3	1	2	8	7	2100	300000	5
402008	400200	TalentNameId_400200	TalentExplainId_400200	TalentIcon_400200	75	402007	402009	1	8	3	1	2	8	7	2400	350000	6
402009	400200	TalentNameId_400200	TalentExplainId_400200	TalentIcon_400200	75	402008	402010	1	9	3	1	2	8	7	2700	400000	6
402010	400200	TalentNameId_400200	TalentExplainId_400200	TalentIcon_400200	75	402009	0	1	10	3	1	2	8	7	3000	500000	7
402101	400210	TalentNameId_400210	TalentExplainId_400210	TalentIcon_400210	80	402007	402102	1	1	3	1	2	8	13	100	30000	3
