ID	月份	签到天数	是否双倍	双倍需要VIP等级	奖品ID数量
205	1	22	0	0	2:60
206	1	23	1	11	4100007:1
207	1	24	0	0	4080004:15
208	1	25	1	12	4070002:5
209	1	26	1	13	1:50000
210	1	27	0	0	2:70
211	1	28	1	14	4100007:1
212	1	29	0	0	4080004:15
213	1	30	1	15	4070002:5
214	1	31	1	15	1:50000
215	5	1	1	1	1:30000
216	5	2	0	0	2:35
217	5	3	1	2	4100007:1
218	5	4	0	0	4080004:15
219	5	5	1	3	4070001:5
220	5	6	1	3	1:35000
221	5	7	0	0	2:40
222	5	8	1	4	4100007:1
223	5	9	0	0	4080004:15
224	5	10	1	4	4070001:5
225	5	11	1	5	1:40000
226	5	12	0	0	2:45
227	5	13	1	6	4100007:1
228	5	14	0	0	4080004:15
229	5	15	1	7	4070001:5
230	5	16	1	8	1:45000
231	5	17	0	0	2:50
232	5	18	1	9	4100007:1
233	5	19	0	0	4080004:15
234	5	20	1	10	4070001:5
235	5	21	1	10	1:50000
236	5	22	0	0	2:60
237	5	23	1	11	4100007:1
238	5	24	0	0	4080004:15
239	5	25	1	12	4070001:5
240	5	26	1	13	1:50000
241	5	27	0	0	2:70
242	5	28	1	14	4100007:1
243	5	29	0	0	4080004:15
244	5	30	1	15	4070001:5
245	5	31	1	15	1:50000
246	2	1	1	1	1:30000
247	2	2	0	0	2:35
248	2	3	1	2	4100007:1
249	2	4	0	0	4080004:15
250	2	5	1	3	4070001:5
251	2	6	1	3	1:35000
252	2	7	0	0	2:40
253	2	8	1	4	4100007:1
254	2	9	0	0	4080004:15
255	2	10	1	4	4070001:5
256	2	11	1	5	1:40000
257	2	12	0	0	2:45
258	2	13	1	6	4100007:1
259	2	14	0	0	4080004:15
260	2	15	1	7	4070001:5
261	2	16	1	8	1:45000
262	2	17	0	0	2:50
263	2	18	1	9	4100007:1
264	2	19	0	0	4080004:15
265	2	20	1	10	4070001:5
266	2	21	1	10	1:50000
267	2	22	0	0	2:60
268	2	23	1	11	4100007:1
269	2	24	0	0	4080004:15
270	2	25	1	12	4070001:5
271	2	26	1	13	1:50000
272	2	27	0	0	2:70
273	2	28	1	14	4100007:1
274	3	1	1	1	1:30000
275	3	2	0	0	2:35
276	3	3	1	2	4100007:1
277	3	4	0	0	4080004:15
278	3	5	1	3	4070002:5
279	3	6	1	3	1:35000
280	3	7	0	0	2:40
281	3	8	1	4	4100007:1
282	3	9	0	0	4080004:15
283	3	10	1	4	4070002:5
284	3	11	1	5	1:40000
285	3	12	0	0	2:45
286	3	13	1	6	4100007:1
287	3	14	0	0	4080004:15
288	3	15	1	7	4070002:5
289	3	16	1	8	1:45000
290	3	17	0	0	2:50
291	3	18	1	9	4100007:1
292	3	19	0	0	4080004:15
293	3	20	1	10	4070002:5
294	3	21	1	10	1:50000
295	3	22	0	0	2:60
296	3	23	1	11	4100007:1
297	3	24	0	0	4080004:15
298	3	25	1	12	4070002:5
299	3	26	1	13	1:50000
300	3	27	0	0	2:70
301	3	28	1	14	4100007:1
302	3	29	0	0	4080004:15
303	3	30	1	15	4070002:5
304	3	31	1	15	1:50000
305	6	1	1	1	1:30000
306	6	2	0	0	2:35
307	6	3	1	2	4100007:1
308	6	4	0	0	4080004:15
309	6	5	1	3	4070001:5
310	6	6	1	3	1:35000
311	6	7	0	0	2:40
312	6	8	1	4	4100007:1
313	6	9	0	0	4080004:15
314	6	10	1	4	4070001:5
315	6	11	1	5	1:40000
316	6	12	0	0	2:45
317	6	13	1	6	4100007:1
318	6	14	0	0	4080004:15
319	6	15	1	7	4070001:5
320	6	16	1	8	1:45000
321	6	17	0	0	2:50
322	6	18	1	9	4100007:1
323	6	19	0	0	4080004:15
324	6	20	1	10	4070001:5
325	6	21	1	10	1:50000
326	6	22	0	0	2:60
327	6	23	1	11	4100007:1
328	6	24	0	0	4080004:15
329	6	25	1	12	4070001:5
330	6	26	1	13	1:50000
331	6	27	0	0	2:70
332	6	28	1	14	4100007:1
333	6	29	0	0	4080004:15
334	6	30	1	15	4070001:5
335	7	1	1	1	1:30000
336	7	2	0	0	2:35
337	7	3	1	2	4100007:1
338	7	4	0	0	4080004:15
339	7	5	1	3	4070002:5
340	7	6	1	3	1:35000
341	7	7	0	0	2:40
342	7	8	1	4	4100007:1
343	7	9	0	0	4080004:15
344	7	10	1	4	4070002:5
345	7	11	1	5	1:40000
346	7	12	0	0	2:45
347	7	13	1	6	4100007:1
348	7	14	0	0	4080004:15
349	7	15	1	7	4070002:5
350	7	16	1	8	1:45000
351	7	17	0	0	2:50
352	7	18	1	9	4100007:1
353	7	19	0	0	4080004:15
354	7	20	1	10	4070002:5
355	7	21	1	10	1:50000
356	7	22	0	0	2:60
357	7	23	1	11	4100007:1
358	7	24	0	0	4080004:15
359	7	25	1	12	4070002:5
360	7	26	1	13	1:50000
361	7	27	0	0	2:70
362	7	28	1	14	4100007:1
363	7	29	0	0	4080004:15
364	7	30	1	15	4070002:5
365	7	31	1	15	1:50000
